Symbol,Date,Open,High,Low,Close,Volume,ENKS SMA,ENKS spanTwelveEMA,ENKS spanTwntySixEMA,ENKS_x,ENKS_y
ENKS,2020-08-17,0.0775,0.0775,0.0775,0.0775,24900,0.0775,0.0775,0.0775,0.0,0.0
ENKS,2020-08-17,0.0775,0.0775,0.0775,0.0775,24900,0.0775,0.0775,0.0775,0.0,0.0
ENKS,2020-08-17,0.0775,0.0775,0.0775,0.0775,24900,0.0775,0.0775,0.0775,0.0,0.0
ENKS,2020-08-14,0.0722,0.0722,0.0722,0.0722,401,0.0722,0.07668461538461538,0.0771074074074074,-0.00042279202279202333,-8.455840455840467e-05
ENKS,2020-08-13,0.075,0.075,0.0722,0.0722,60000,0.0722,0.07599467455621299,0.07674389574759945,-0.0007492211913864427,-0.00021749096192401227
ENKS,2020-08-12,0.085,0.085,0.085,0.085,2500,0.085,0.07738010923987254,0.07735545902555505,2.465021431749537e-05,-0.00016906272667571075
ENKS,2020-08-11,0.1,0.1,0.1,0.1,1200,0.1,0.0808600924337383,0.07903283243106947,0.0018272600026688207,0.00023020181919319556
ENKS,2020-08-10,0.1,0.105,0.1,0.1,23008,0.1,0.08380469359777856,0.08058595595469396,0.0032187376430845988,0.0008279089839714763
ENKS,2020-08-10,0.1,0.105,0.1,0.1,23008,0.1,0.08629627919812033,0.0820240332913833,0.004272245906737014,0.0015167763685245837
ENKS,2020-08-10,0.1,0.105,0.1,0.1,23008,0.1,0.08840454393687104,0.08335558638091048,0.005048957555960576,0.002223212606011782
ENKS,2020-08-07,0.10585,0.10585,0.10495,0.10495,2000,0.10495000000000004,0.09094999871581397,0.0849551725749171,0.005994826140896872,0.0029775353129888
ENKS,2020-08-06,0.111,0.111,0.095,0.095,30000,0.095,0.09157307583645798,0.08569923386566397,0.0058738419707940045,0.0035567966445498415
ENKS,2020-08-05,0.1425,0.149,0.12,0.14,197433,0.14000000000000004,0.09902337186161828,0.08972151283857774,0.009301859023040536,0.00470580912024798
ENKS,2020-08-04,0.1029,0.1029,0.096,0.096,2550,0.09600000000000004,0.09855823772906162,0.09018658596164604,0.008371651767415571,0.005438977649681499
