Symbol,Date,Open,High,Low,Close,Volume,SLS SMA,SLS spanTwelveEMA,SLS spanTwntySixEMA,SLS_x,SLS_y
SLS,2020-11-24,3.03,3.1199,2.9,2.92,64013,2.92,2.8090488277090326,2.721045971647087,0.08800285606194569,0.03581863812259623
SLS,2020-11-23,3.17,3.19,3.08,3.0954,69737,3.0954,2.788875887292493,2.705129649378854,0.08374623791363868,0.022772583637758862
SLS,2020-11-20,3.06,3.1,3.03,3.09,106872,3.0899999999999994,2.7331442304365825,2.673908021329163,0.059236209107419675,0.007529170068788911
SLS,2020-11-19,2.82,2.93,2.78,2.8464,64782,2.8463999999999987,2.668261363243234,2.640620663035496,0.0276407002077379,-0.005397589690868778
SLS,2020-11-18,2.8,2.93,2.8,2.8501,69639,2.8500999999999985,2.6358725201965485,2.6241583160783355,0.011714204118213443,-0.013657162165520449
SLS,2020-11-17,2.64,2.78,2.56,2.7312,28227,2.731199999999999,2.5969220693231945,2.6060829813646027,-0.009160912041408231,-0.02000000373645381
SLS,2020-11-16,2.52,2.68,2.52,2.5972,12896,2.5971999999999986,2.5725079001092297,2.596073619873771,-0.02356571976454136,-0.022709776660215203
SLS,2020-11-13,2.57,2.575,2.47,2.5,10610,2.499999999999999,2.568018427401817,2.5959835094636725,-0.02796508206185555,-0.022495790884133664
SLS,2020-11-12,2.54,2.5403,2.5,2.5,20902,2.499999999999999,2.5803854142021474,2.603662190220766,-0.02327677601861877,-0.021128468089703194
SLS,2020-11-11,2.65,2.65,2.5403,2.6073,6143,2.6072999999999986,2.595000944057084,2.6119551654384274,-0.01695422138134406,-0.0205913911074743
SLS,2020-11-10,2.65,2.65,2.5712,2.5906,5765,2.590599999999999,2.5927647520674624,2.6123275786735016,-0.01956282660603925,-0.02150068353900697
SLS,2020-11-09,2.69,2.7,2.5178,2.69,5547,2.6899999999999986,2.593158343352455,2.614065784967382,-0.02090744161492664,-0.021985147772248897
SLS,2020-11-06,2.68,2.68,2.625,2.6579,1345,2.6579,2.5755507694165383,2.6079910477647723,-0.032440278348234486,-0.022254574311579463
SLS,2020-11-05,2.5,2.5,2.44,2.4968,1791,2.496799999999999,2.5605781820377267,2.603998331585954,-0.04342014954822737,-0.019708148302415816
SLS,2020-11-04,2.47,2.5101,2.4198,2.4198,3915,2.419799999999999,2.572174215135495,2.61257419811283,-0.040399982977334936,-0.01378014799096293
SLS,2020-11-03,2.39,2.44,2.39,2.44,960,2.439999999999999,2.599878617887404,2.6279961339618563,-0.028117516074452897,-0.007125189244369926
SLS,2020-11-02,2.58,2.58,2.43,2.5224,5803,2.5223999999999998,2.6289474575032954,2.6430358246788046,-0.014088367175509209,-0.0018771075368492931
SLS,2020-10-30,2.59,2.5938,2.59,2.5938,267,2.593799999999999,2.6483197225038952,2.6526866906531086,-0.004366968149213779,0.0011757073728156859
SLS,2020-10-29,2.63,2.63,2.54,2.6108,8658,2.6108,2.658232399322785,2.657397625905357,0.0008347734174281031,0.002561376253322941
SLS,2020-10-28,2.67,2.6815,2.6204,2.6204,2463,2.6204,2.6668564719269283,2.6611254359777856,0.00573103594914226,0.00299302696229665
SLS,2020-10-27,2.82,2.82,2.75,2.75,723,2.75,2.675303103186369,2.6643834708560084,0.010919632330360862,0.0023085247155851365
SLS,2020-10-26,2.69,2.75,2.69,2.7047,6824,2.7047,2.6617218492202537,2.6575341485244888,0.004187700695765351,0.0001557478118912048
SLS,2020-10-23,2.74,2.83,2.7,2.7264,10778,2.7264,2.6539076399875734,2.6537608804064483,0.00014675958112508883,-0.0008522404090772207
SLS,2020-10-22,2.62,2.63,2.53,2.6,4710,2.6,2.6407272108944047,2.647949750838964,-0.007222539944558903,-0.001101990406627798
SLS,2020-10-21,2.6335,2.65,2.62,2.64,1807,2.64,2.648132158329751,2.6517857309060804,-0.0036535725763293674,0.00042814697785508945
SLS,2020-10-20,2.59,2.68,2.59,2.625,3220,2.6250000000000004,2.649610732571524,2.652728589378567,-0.003117856807043129,0.0014485768664012034
SLS,2020-10-19,2.7,2.7022,2.617,2.6188,25054,2.6188,2.6540854112208923,2.654946876528853,-0.0008614653079606073,0.0025901852847622867
SLS,2020-10-16,2.6,2.7092,2.6,2.7092,1193,2.7092000000000005,2.660500940533782,2.657838626651161,0.002662313882620726,0.00345309793294301
SLS,2020-10-15,2.6,2.73,2.57,2.57,3080,2.5700000000000003,2.6516465660853785,2.6537297167832543,-0.0020831506978757908,0.0036507939455235807
SLS,2020-10-14,2.7,2.7262,2.5801,2.6754,10392,2.6754,2.66649139628272,2.660428094125914,0.0060633021568055065,0.005084280106373423
SLS,2020-10-13,2.61,2.66,2.61,2.6145,1631,2.6145000000000005,2.664871650152305,2.6592303416559884,0.0056413084963176105,0.004839524593765291
SLS,2020-10-12,2.8,2.8,2.65,2.715,8079,2.7150000000000003,2.674030131998179,2.6628087689884667,0.011221363009711991,0.0046390786181274325
SLS,2020-10-09,2.68,2.68,2.6,2.6647,11742,2.6647,2.6665810650887574,2.6586334705075445,0.007947594581212858,0.0029935075202311805
SLS,2020-10-08,2.74,2.8,2.74,2.76,1658,2.76,2.666923076923077,2.658148148148148,0.008774928774928803,0.0017549857549857607
SLS,2020-10-07,2.61,2.65,2.61,2.65,2268,2.6500000000000004,2.65,2.65,0.0,0.0
