Symbol,Date,Open,High,Low,Close,Volume,GSKY SMA,GSKY spanTwelveEMA,GSKY spanTwntySixEMA,GSKY_x,GSKY_y
GSKY,2020-11-24,4.3,4.31,4.2299,4.31,198665,4.31,4.146763412115647,4.333852249258921,-0.18708883714327573,-0.22913166521741427
GSKY,2020-11-23,4.16,4.3,4.12,4.29,489963,4.29,4.117084032500308,4.335760429199636,-0.21867639669932706,-0.23964237223594934
GSKY,2020-11-20,4.19,4.2499,4.16,4.195,124131,4.194999999999999,4.085644765682184,4.339421263535606,-0.2537764978534236,-0.24488386612010465
GSKY,2020-11-19,4.1,4.22,4.01,4.21,182559,4.209999999999999,4.065761995806216,4.350974964618456,-0.2852129688122389,-0.24266070818677513
GSKY,2020-11-18,3.8994,4.2,3.86,4.1911,1263594,4.1911,4.0395369041346205,4.3622529617879335,-0.3227160576533121,-0.23202264303040893
GSKY,2020-11-17,3.6,3.6069999999999998,3.45,3.47,110094,3.47,4.011979977613643,4.375945198730967,-0.3639652211173248,-0.2093492893746829
GSKY,2020-11-16,3.69,3.71,3.58,3.6199,309463,3.6199,4.110521791725214,4.448420814629445,-0.3378990229042316,-0.17069530643902242
GSKY,2020-11-13,3.52,3.52,3.4189999999999996,3.42,214260,3.4199999999999995,4.199725753857072,4.5147024797998005,-0.3149767259427305,-0.1288943773227201
GSKY,2020-11-12,3.52,3.65,3.51,3.54,701333,3.5399999999999987,4.341494072740175,4.6022786781837866,-0.2607846054436109,-0.08237379016771793
GSKY,2020-11-11,3.81,3.82,3.6,3.6001,114928,3.6000999999999985,4.487220267783843,4.687260972438488,-0.2000407046546453,-0.037771086348744445
GSKY,2020-11-10,4.26,4.34,3.72,3.955,254475,3.9549999999999987,4.648514861926358,4.774233850233566,-0.12571898830720762,0.0027963182277307673
GSKY,2020-11-09,4.4,4.5419,4.33,4.335,186259,4.334999999999999,4.7746084731856975,4.8397725582522515,-0.06516408506655491,0.03492514486146536
GSKY,2020-11-06,4.54,4.63,4.32,4.32,72107,4.319999999999999,4.854537286492187,4.8801543629124335,-0.025617076420245688,0.05994745234347021
GSKY,2020-11-05,4.88,5.04,4.81,4.835,85719,4.834999999999999,4.951725884036222,4.924966711945427,0.02675917209079426,0.0813385845343994
GSKY,2020-11-04,4.8,4.81,4.75,4.79,23306,4.79,4.972948772042807,4.932164048901061,0.04078472314174508,0.09498343764530046
GSKY,2020-11-03,4.96,5.03,4.89,4.94,47615,4.94,5.006212185141498,4.943537172813147,0.06267501232835215,0.10853311627118907
GSKY,2020-11-02,4.8,4.87,4.795,4.84,26068,4.840000000000002,5.018250764258134,4.943820146638198,0.07443061761993608,0.11999764225689852
GSKY,2020-10-30,5.02,5.06,4.945,4.98,13042,4.98,5.05065999412325,4.952125758369252,0.09853423575399667,0.1313893984161391
GSKY,2020-10-29,4.96,4.97,4.83,4.88,24360,4.879999999999999,5.0635072657820235,4.949895819038794,0.11361144674322875,0.13960318908167452
GSKY,2020-10-28,5.08,5.09,4.95,4.96,35686,4.96,5.096872223196936,4.955487484561896,0.14138473863503975,0.14610112466628572
GSKY,2020-10-27,5.1,5.12,5.02,5.03,33342,5.03,5.121758081960016,4.955126483326849,0.16663159863316768,0.14728022117409723
GSKY,2020-10-26,5.27,5.27,5.095,5.19,48979,5.19,5.138441369589111,4.949136601992996,0.1893047675961137,0.1424423768093296
GSKY,2020-10-23,5.47,5.73,5.381,5.725,187305,5.724999999999999,5.129067073150766,4.929867530152436,0.19919954299833,0.13072677911263336
GSKY,2020-10-22,5.2,5.25,5.13,5.24,17646,5.24,5.0207156319054524,4.866256932564632,0.1544586993408199,0.1136085881412092
GSKY,2020-10-21,5.15,5.1804,5.09,5.17,17032,5.17,4.980845746797352,4.836357487169802,0.14448825962754966,0.10339606034130627
GSKY,2020-10-20,4.88,5.115,4.88,5.08,41146,5.08,4.94645406439687,4.809666086143387,0.13678797825348446,0.0931230105197452
GSKY,2020-10-19,5.08,5.23,5.07,5.2,27270,5.200000000000001,4.922172985196299,4.788039373034857,0.1341336121614436,0.08220676858631061
GSKY,2020-10-16,5.01,5.06,4.93,5.05,29385,5.05,4.871658982504719,4.755082522877644,0.11657645962707353,0.06922505769252758
GSKY,2020-10-15,5.06,5.06,4.961,4.97,31253,4.97,4.839233342960123,4.731489124707856,0.10774421825226543,0.05738720720889065
GSKY,2020-10-14,5.26,5.28,5.14,5.14,47576,5.14,4.815457587134689,4.712408254684485,0.10304933245020376,0.044797954448046726
GSKY,2020-10-13,5.04,5.08,5.0,5.06,37207,5.06,4.756449875704631,4.678200915059244,0.07824896064538844,0.03023510994750747
GSKY,2020-10-12,4.92,4.94,4.82,4.94,23191,4.94,4.701258944014565,4.647656988263983,0.05360195575058136,0.018231647273037447
GSKY,2020-10-09,4.85,4.9,4.73,4.85,26557,4.849999999999999,4.657851479289941,4.624269547325103,0.033581931964838496,0.009389070153651247
GSKY,2020-10-08,4.69,4.8201,4.645,4.8001,83522,4.800099999999999,4.622915384615385,4.6062111111111115,0.01670427350427417,0.0033408547008546563
GSKY,2020-10-07,4.55,4.72,4.5202,4.5907,67013,4.590699999999999,4.5907,4.5907,0.0,0.0
