Symbol,Date,Open,High,Low,Close,Volume,DNN SMA,DNN spanTwelveEMA,DNN spanTwntySixEMA,DNN_x,DNN_y
DNN,2020-11-24,0.35,0.3504,0.341,0.3487,204370,0.3487,0.347294775266479,0.35160712890216644,-0.004312353635687438,-0.005542112481571098
DNN,2020-11-23,0.35,0.35,0.33799999999999997,0.345,250861,0.345,0.3470392798603843,0.3518396992143397,-0.004800419353955421,-0.005849552193042012
DNN,2020-11-20,0.34,0.3449,0.3356,0.3363,123524,0.33630000000000004,0.3474100580168178,0.3523868751514869,-0.004976817134669076,-0.006111835402813659
DNN,2020-11-19,0.359,0.359,0.34,0.3419,280441,0.34190000000000004,0.3494300685653301,0.3536738251636058,-0.004243756598275639,-0.006395589969849789
DNN,2020-11-18,0.3403,0.3498,0.34,0.3432,131580,0.3432000000000001,0.3507991719408448,0.35461573117669426,-0.0038165592358495037,-0.006933548312743312
DNN,2020-11-17,0.38,0.38,0.3409,0.3538,563231,0.3538000000000001,0.35218083956645285,0.3555289896708298,-0.0033481501043769453,-0.007712795581966777
DNN,2020-11-16,0.35,0.36,0.35,0.3528,58697,0.3528000000000001,0.3518864467603534,0.3556673088444962,-0.0037808620841428,-0.008803956951364234
DNN,2020-11-13,0.3698,0.3698,0.3556,0.3579,68099,0.3579000000000001,0.35172034617132675,0.3558966935520559,-0.00417634738072914,-0.01005973066816959
DNN,2020-11-12,0.3738,0.3738,0.3572,0.3615,81582,0.3615,0.3505967727479317,0.3557364290362204,-0.005139656288288719,-0.011530576490029703
DNN,2020-11-11,0.375,0.3799,0.3662,0.3674,90546,0.3674000000000001,0.3486143677930101,0.355275343359118,-0.006660975566107841,-0.013128306540464962
DNN,2020-11-10,0.35,0.3586,0.34700000000000003,0.358599,135275,0.3585990000000001,0.34519879830083017,0.3543053708278474,-0.009106572527017244,-0.014745139284054227
DNN,2020-11-09,0.35,0.3597,0.35,0.3596,149534,0.35960000000000003,0.3427623979918902,0.35396188049407523,-0.011199482502185054,-0.016154780973313472
DNN,2020-11-06,0.35,0.35,0.34,0.3468,127564,0.34680000000000005,0.3397010158085975,0.35351083093360125,-0.013809815125003731,-0.017393605591095575
DNN,2020-11-05,0.33399999999999996,0.34,0.33,0.3395,116943,0.3395000000000001,0.3384102914101607,0.3540476974082893,-0.015637405998128632,-0.018289553207618534
DNN,2020-11-04,0.345,0.345,0.3323,0.33299999999999996,125587,0.3330000000000001,0.3382121625756445,0.3552115132009525,-0.016999350625308052,-0.01895259000999102
DNN,2020-11-03,0.34,0.3405,0.3397,0.33975,29639,0.3397500000000001,0.3391598284984889,0.3569884342570287,-0.017828605758539784,-0.019440899856161778
DNN,2020-11-02,0.34,0.3499,0.34,0.3419,145418,0.3419000000000001,0.3390525245891233,0.358367508997591,-0.01931498440846774,-0.019843973380567276
DNN,2020-10-30,0.3227,0.3295,0.3227,0.3295,116110,0.3295000000000001,0.3385348017871457,0.3596849097173983,-0.021150107930252567,-0.01997622062359217
DNN,2020-10-29,0.316,0.32,0.3103,0.319,28326,0.3190000000000001,0.34017749302117223,0.3620997024947901,-0.02192220947361789,-0.019682748796927056
DNN,2020-10-28,0.3315,0.3315,0.3202,0.322848,159784,0.3228480000000001,0.34402794629774897,0.3655476786943733,-0.021519732396624303,-0.019122883627754345
DNN,2020-10-27,0.32,0.3249,0.32,0.321201,93755,0.3212010000000001,0.3478788456246125,0.3689636529899232,-0.021084807365310654,-0.01852367143553684
DNN,2020-10-26,0.33,0.3354,0.325,0.327,344610,0.327,0.3527293630109057,0.37278466522911696,-0.020055302218211283,-0.01788338745309339
DNN,2020-10-23,0.3497,0.3497,0.34299999999999997,0.3476,53481,0.3476000000000001,0.3574074290128886,0.3764474384474464,-0.019040009434557803,-0.017340408761813916
