Symbol,Date,Open,High,Low,Close,Volume,LCTX SMA_x,LCTX spanTwelveEMA_x,LCTX spanTwntySixEMA_x,LCTX_x,LCTX_y,LCTX SMA_y,LCTX spanTwelveEMA_y,LCTX spanTwntySixEMA_y,LCTX_x,LCTX_y
LCTX,2021-06-15,2.98,2.98,2.95,2.9689,14165,2.9689,2.788922536892545,2.685149796075899,0.103772740816646,0.0690358354512377,2.9689,2.789901053957952,2.68943790770999,0.1004631462479617,0.06903583545123773
LCTX,2021-06-14,2.89,2.9,2.88,2.9,44204,2.9,2.756199361782099,2.6624497797619706,0.0937495820201284,0.0603516091098856,2.9,2.757355791041216,2.667080940326789,0.0902748507144268,0.06035160910988566
LCTX,2021-06-11,2.84,2.84,2.82,2.82,5309,2.82,2.730053791197026,2.643445762142928,0.0866080290540978,0.0520021158823249,2.82,2.731420480321437,2.6484474155529325,0.0829730647685047,0.052002115882324965
LCTX,2021-06-10,2.81,2.81,2.81,2.81,29087,2.81,2.7136999350510305,2.6293214231143627,0.0843785119366677,0.0433506375893817,2.81,2.715315113107153,2.6347232087971677,0.0805919043099856,0.04335063758938175
LCTX,2021-06-09,2.76,2.799,2.76,2.78,24463,2.78,2.696190832333036,2.614867136963512,0.081323695369524,0.0330936690025602,2.78,2.6980996791266354,2.6207010655009406,0.0773986136256947,0.033093669002560236
LCTX,2021-06-08,2.87,2.899,2.86,2.86,9423,2.86,2.6809528018481337,2.601656507920593,0.0792962939275407,0.0210361624108193,2.86,2.683208711695115,2.607957150741016,0.0752515609540989,0.0210361624108193
LCTX,2021-06-07,2.82,2.8288,2.81,2.8288,27145,2.8288,2.648398765820521,2.58098902855424,0.0674097372662814,0.0064711295316389,2.8288,2.6510648410942266,2.587793722800297,0.0632711182939296,0.006471129531638931
LCTX,2021-06-04,2.85,2.85,2.844,2.844,22487,2.844,2.615598541424253,2.561164150838579,0.0544343905856736,-0.0087635224020215,2.844,2.6187493576568133,2.5685132206243204,0.0502361370324928,-0.008763522402021579
LCTX,2021-06-03,2.73,2.735,2.7201,2.723,22083,2.723,2.5740710035013894,2.538537282905666,0.0355337205957235,-0.0245630006489453,2.723,2.5777946954125976,2.546474278274266,0.0313204171383314,-0.024563000648945392
LCTX,2021-06-02,3.0,3.0,2.981,2.985,76679,2.985,2.546993004138006,2.5237802655381194,0.0232127385998865,-0.0395871809601126,2.985,2.551393730942161,2.532352220536208,0.0190415104059531,-0.03958718096011263
LCTX,2021-06-01,2.64,2.659,2.64,2.6423,72157,2.6423,2.4673553685267344,2.486882686781169,-0.0195273182544344,-0.0552871608501124,2.6423,2.4725562274771,2.4961403981791044,-0.023584170702005,-0.05528716085011243
LCTX,2021-06-01,2.64,2.659,2.64,2.6423,72157,2.6423,2.435547253713413,2.4744493017236624,-0.0389020480102488,-0.0642271214990319,2.6423,2.441693723382026,2.4844476300334324,-0.0427539066514062,-0.06422712149903193
LCTX,2021-05-28,2.42,2.42,2.4139,2.4139,6067,2.4139,2.3979558452976706,2.4610212458615552,-0.0630654005638846,-0.0705583898712275,2.4139,2.40521985490603,2.4718194404361067,-0.066599585530076,-0.07055838987122756
LCTX,2021-05-27,2.36,2.4,2.36,2.4,11397,2.4,2.395056908079065,2.46479094553048,-0.0697340374514148,-0.0724316371980633,2.4,2.403641646707127,2.476452995670995,-0.0728113489638682,-0.0724316371980633
LCTX,2021-05-26,2.32,2.32,2.32,2.32,5623,2.32,2.3941581640934406,2.4699742211729188,-0.0758160570794781,-0.0731060371347254,2.32,2.404303764290241,2.4825692353246747,-0.0782654710344337,-0.07310603713472541
LCTX,2021-05-25,2.43,2.43,2.43,2.43,3926,2.43,2.4076414666558845,2.481972158866752,-0.0743306922108675,-0.0724285321485372,2.43,2.4196317214339214,2.4955747741506484,-0.075943052716727,-0.07242853214853721
LCTX,2021-05-24,2.42,2.42,2.42,2.42,6057,2.42,2.403576278775136,2.486129931576092,-0.0825536528009558,-0.0719529921329546,2.42,2.4177465798764524,2.5008207560827,-0.0830741762062476,-0.07195299213295464
LCTX,2021-05-21,2.38,2.38,2.38,2.38,1526,2.38,2.4005901476433427,2.491420326102179,-0.0908301784588361,-0.0693028269659543,2.38,2.417336867126717,2.507286416569316,-0.0899495494425992,-0.06930282696595433
LCTX,2021-05-20,2.34,2.34,2.34,2.34,1927,2.34,2.404333810851223,2.500333952190353,-0.0960001413391302,-0.0639209890927338,2.34,2.424125388422483,2.5174693298948614,-0.0933439414723782,-0.06392098909273387
