Symbol,Date,Open,High,Low,Close,Volume,ATOS SMA_x,ATOS spanTwelveEMA_x,ATOS spanTwntySixEMA_x,ATOS_x,ATOS_y,ATOS SMA_y,ATOS spanTwelveEMA_y,ATOS spanTwntySixEMA_y,ATOS_x,ATOS_y
ATOS,2021-06-15,4.63,4.66,4.57,4.6518,424800,4.6518,4.423302861725679,3.871351947785121,0.5519509139405581,0.542127631531305,4.6518,4.437775918617137,4.032457704013921,0.4053182146032164,0.542127631531305
ATOS,2021-06-14,4.41,4.43,4.36,4.37,588454,4.37,4.381757927493984,3.80891610360793,0.572841823886054,0.5396718109289917,4.37,4.398862449274799,3.9829103203350336,0.4159521289397645,0.5396718109289917
ATOS,2021-06-11,4.48,4.49,4.2,4.2601,657517,4.2601,4.38389573249289,3.764029391896565,0.6198663405963258,0.5313793076897262,4.2601,4.404110167324762,3.951943145961837,0.4521670213629254,0.5313793076897262
ATOS,2021-06-10,4.15,4.3,4.14,4.2901,513394,4.2901,4.4064040474915975,3.724343743248289,0.6820603042433082,0.5092575494630763,4.2901,4.430293834111083,3.927290597638784,0.5030032364722996,0.5092575494630763
ATOS,2021-06-09,5.57,5.8,5.57,5.7869,608973,5.7869,4.427550237944615,3.679083242708153,0.7484669952364627,0.4660568607680181,5.7869,4.45578362213128,3.8982658454498864,0.5575177766813937,0.46605686076801817
ATOS,2021-06-08,6.3,6.48,6.22,6.4799,549246,6.4799,4.180395735752727,3.510457902124805,0.6699378336279223,0.3954543271509071,6.4799,4.213762462518785,3.7471751130858775,0.4665873494329076,0.3954543271509071
ATOS,2021-06-07,4.9,4.97,4.9,4.97,261346,4.97,3.762304051344132,3.272902534294789,0.4894015170493428,0.3268334505316532,4.97,3.801737455704019,3.528557122132748,0.2731803335712714,0.32683345053165325
ATOS,2021-06-04,4.5453,4.59,4.5453,4.5797,181734,4.5797,3.542722969770338,3.137134737038372,0.405588232731966,0.2861914339022308,4.5797,3.589326084013841,3.413241691903368,0.1760843921104733,0.2861914339022308
ATOS,2021-06-03,3.94,3.96,3.92,3.9501,139295,3.9501,3.3541816915467635,3.021729516001442,0.3324521755453213,0.256342234194797,3.9501,3.409258099289085,3.3199250272556373,0.0893330720334475,0.256342234194797
ATOS,2021-06-02,3.99,4.0,3.97,3.991,225175,3.991,3.245832908191629,2.947459877281558,0.2983730309100716,0.2373147488571659,3.991,3.3109232082507365,3.269511029436088,0.0414121788146486,0.2373147488571659
ATOS,2021-06-01,3.32,3.34,3.32,3.34,140205,3.34,3.11034798240829,2.8639766674640823,0.2463713149442075,0.2220501783439395,3.34,3.187272882478143,3.211791911790975,-0.0245190293128318,0.22205017834393959
ATOS,2021-06-01,3.32,3.34,3.32,3.34,140205,3.34,3.0685930701188884,2.825894800861209,0.2426982692576795,0.2159698941938726,3.34,3.159504315655988,3.201535264734253,-0.0420309490782653,0.2159698941938726
ATOS,2021-05-28,3.16,3.2,3.16,3.195,54406,3.195,3.0192463555950497,2.7847663849301054,0.2344799706649443,0.2092878004279208,3.195,3.1266869185025308,3.190458085912993,-0.0637711674104624,0.20928780042792086
ATOS,2021-05-27,3.14,3.16,3.13,3.16,31109,3.16,2.9872911475214226,2.751947695724513,0.235343451796909,0.202989757868665,3.16,3.114266358230264,3.1900947327860325,-0.0758283745557686,0.202989757868665
ATOS,2021-05-26,3.0,3.01,2.96,2.97,236770,2.97,2.955889537979863,2.7193035113824746,0.2365860265973882,0.1949013343866038,2.97,3.105951150635766,3.1925023114089157,-0.086551160773149,0.19490133438660384
ATOS,2021-05-25,3.17,3.19,3.16,3.18,78568,3.18,2.9533239994307467,2.699247792293072,0.2540762071376745,0.1844801613339077,3.18,3.130669541660451,3.210302496321628,-0.0796329546611773,0.18448016133390774
