Symbol,Date,Open,High,Low,Close,Volume,NCTY SMA,NCTY spanTwelveEMA,NCTY spanTwntySixEMA,NCTY_x,NCTY_y
NCTY,2020-12-10,3.12,3.15,3.02,3.125,58309,3.125,3.1268538073693435,2.9351323125498965,0.19172149481944745,0.21036058579748934
NCTY,2020-12-09,3.31,3.42,3.2601,3.364,113533,3.364,3.127190863254679,2.9199428975538884,0.20724796570079065,0.2150203585419999
NCTY,2020-12-08,3.34,3.37,3.2,3.2345,38298,3.2345,3.084134656573712,2.8844183293581995,0.199716327215512,0.21696345675230225
NCTY,2020-12-07,3.1,3.14,2.99,3.06,19558,3.0599999999999987,3.0567955032234773,2.856411795706855,0.20038370751662216,0.22127523913649966
NCTY,2020-12-04,3.29,3.31,3.1,3.15,65641,3.149999999999999,3.0562128674459275,2.840124739363404,0.21608812808252376,0.22649812204146902
NCTY,2020-12-03,3.07,3.15,3.0476,3.14,54404,3.1399999999999992,3.039160661527005,2.815334718512476,0.2238259430145293,0.22910062053120542
NCTY,2020-12-02,3.02,3.02,2.85,2.8688,50966,2.868799999999999,3.0208262363500973,2.7893614959934743,0.23146474035662346,0.23041928991037455
NCTY,2020-12-01,2.98,3.0,2.91,2.93,31961,2.93,3.0484673702319336,2.783006415672952,0.2654609545589817,0.2301579272988124
NCTY,2020-11-30,3.27,3.27,2.93,3.0,270459,3.0,3.0700068920922847,2.771246928926788,0.2987599631654967,0.22133217048377007
NCTY,2020-11-27,3.56,3.67,3.43,3.5691,314616,3.5691,3.0827354179272453,2.752946683240931,0.3297887346863142,0.20197522231333842
NCTY,2020-11-27,3.56,3.67,3.43,3.5691,314616,3.5691,2.994305493914017,2.6876544179002053,0.3066510760138117,0.17002184422009448
NCTY,2020-11-25,3.57,3.6899,3.51,3.67,110863,3.6699999999999986,2.8897974018983836,2.617138771332222,0.2726586305661613,0.13586453627166517
NCTY,2020-11-24,3.96,3.96,3.28,3.5298,569989,3.529799999999998,2.7479423840617256,2.5329098730388,0.2150325110229261,0.101666012698041
NCTY,2020-11-23,3.55,4.09,3.5,3.5798,2294035,3.5797999999999988,2.6057864538911297,2.4531586628819038,0.15262779100922685,0.07332438811681984
NCTY,2020-11-20,2.63,2.74,2.61,2.6369,231276,2.6368999999999985,2.4286930818713355,2.363027355912456,0.06566572595887976,0.0534985373937183
NCTY,2020-11-19,2.42,2.42,2.38,2.38,20864,2.379999999999998,2.3908372785752148,2.3411175443854524,0.04971973418976239,0.05045674025242804
NCTY,2020-11-18,2.31,2.3798,2.31,2.31,21831,2.309999999999998,2.3928076928616173,2.3380069479362886,0.05480074492532872,0.050640991768094445
NCTY,2020-11-17,2.34,2.42,2.2827,2.37,122625,2.369999999999998,2.407863637018275,2.340247503771192,0.06761613324708328,0.04960105347878588
NCTY,2020-11-16,2.55,2.58,2.36,2.4376,103608,2.437599999999998,2.414747934657961,2.3378673040728866,0.07688063058507444,0.04509728353671164
NCTY,2020-11-13,2.74,2.82,2.6,2.69,260364,2.6899999999999973,2.4105930136866816,2.3298886883987184,0.08070432528796356,0.03715144677462094
NCTY,2020-11-12,2.4746,2.59,2.4746,2.5643,38477,2.564299999999997,2.359791743447897,2.301079783470616,0.058711959977280966,0.026263227146285394
NCTY,2020-11-11,2.41,2.55,2.405,2.53,107873,2.529999999999997,2.322608424074787,2.2800221661482647,0.042586257926522375,0.0181510439385365
NCTY,2020-11-10,2.3,2.32,2.255,2.2839,24669,2.283899999999997,2.2849008648156577,2.260023939440126,0.024876925375531656,0.012042240441540031
NCTY,2020-11-09,2.25,2.38,2.24,2.36,42855,2.3599999999999968,2.2850828402366865,2.258113854595336,0.026968985641350415,0.008833569208042125
NCTY,2020-11-06,2.5,2.61,2.42,2.4995,153507,2.499499999999997,2.2714615384615384,2.249962962962963,0.021498575498575256,0.004299715099715051
NCTY,2020-11-05,2.235,2.2999,2.18,2.23,49294,2.2299999999999973,2.23,2.23,0.0,0.0
