Symbol,Date,Open,High,Low,Close,Volume,EVOK SMA_x,EVOK SMA_y,EVOK SMA
EVOK,2020-07-08,3.61,3.6409,3.52,3.6409,84625,3.6409,3.6409,3.6409
EVOK,2020-07-07,3.59,3.59,3.46,3.51,60078,3.51,3.51,3.5100000000000002
EVOK,2020-07-06,3.76,3.79,3.69,3.69,152333,3.69,3.69,3.6900000000000004
EVOK,2020-07-06,3.76,3.79,3.69,3.69,152333,3.690000000000001,3.6900000000000013,3.690000000000001
EVOK,2020-07-02,3.59,3.705,3.5582,3.7,176642,3.7000000000000006,3.7000000000000006,3.7000000000000006
EVOK,2020-07-01,3.59,3.5929,3.4,3.4489,114213,3.4489000000000014,3.4489000000000014,3.448900000000001
EVOK,2020-06-30,3.3942,3.52,3.3942,3.46,96451,3.4600000000000013,3.4600000000000013,3.460000000000001
EVOK,2020-06-29,3.58,3.66,3.38,3.43,133468,3.4300000000000006,3.4300000000000006,3.4300000000000006
EVOK,2020-06-26,3.72,3.73,3.51,3.5999,239068,3.5999000000000003,3.5999000000000003,3.5999000000000003
EVOK,2020-06-25,3.46,3.61,3.41,3.5839999999999996,262504,3.5839999999999996,3.5840000000000005,3.5839999999999996
EVOK,2020-06-24,3.43,3.5511,3.41,3.4399,384569,3.4399,3.439900000000001,3.4398999999999997
EVOK,2020-06-23,3.62,3.76,3.42,3.56,1717413,3.56,3.5600000000000014,3.56
EVOK,2020-06-22,4.53,5.0,4.14,4.1999,10880317,4.1999,4.199900000000001,4.1998999999999995
EVOK,2020-06-19,2.43,2.44,2.32,2.34,232666,2.339999999999999,2.3400000000000007,2.339999999999999
EVOK,2020-06-18,2.4,2.4319,2.36,2.4,139218,2.3999999999999986,2.4000000000000004,2.3999999999999986
EVOK,2020-06-17,2.5,2.53,2.35,2.4301,199962,2.4300999999999977,2.4301,2.430099999999998
EVOK,2020-06-16,2.8,2.8,2.65,2.7011,212067,2.701099999999998,2.7011,2.701099999999998
EVOK,2020-06-15,2.5,2.63,2.43,2.5980000000000003,228339,2.5979999999999985,2.5980000000000003,2.5979999999999985
EVOK,2020-06-12,2.39,2.44,2.35,2.4201,96667,2.4200999999999984,2.4201,2.4200999999999984
EVOK,2020-06-11,2.45,2.45,2.1,2.35,217299,2.3499999999999983,2.35,2.3499999999999983
EVOK,2020-06-10,2.52,2.59,2.48,2.5599,164336,2.5598999999999985,2.5599000000000003,2.5598999999999985
EVOK,2020-06-09,2.62,2.63,2.5,2.56,134558,2.5599999999999987,2.5600000000000005,2.5599999999999987
EVOK,2020-06-08,2.69,2.7,2.55,2.585,266472,2.5849999999999977,2.5850000000000004,2.5849999999999986
EVOK,2020-06-05,2.33,2.3807,2.27,2.32,140083,2.3199999999999985,2.3200000000000003,2.3199999999999985
EVOK,2020-06-04,2.38,2.4,2.31,2.3283,68177,2.328299999999999,2.328300000000001,2.328299999999999
EVOK,2020-06-03,2.39,2.4,2.32,2.335,55067,2.3349999999999995,2.3350000000000013,2.3349999999999995
EVOK,2020-06-02,2.34,2.4,2.31,2.36,59340,2.3599999999999994,2.3600000000000008,2.3599999999999994
EVOK,2020-06-01,2.47,2.49,2.41,2.44,60954,2.439999999999999,2.440000000000001,2.439999999999999
EVOK,2020-05-29,2.53,2.53,2.43,2.4401,96668,2.4400999999999997,2.4401000000000006,2.440099999999999
EVOK,2020-05-28,2.59,2.6,2.5,2.52,41306,2.5199999999999987,2.5200000000000005,2.5199999999999987
EVOK,2020-05-27,2.65,2.69,2.4,2.44,332066,2.439999999999999,2.440000000000001,2.439999999999999
