Symbol,Date,Open,High,Low,Close,Volume,VBIV SMA,VBIV spanTwelveEMA,VBIV spanTwntySixEMA,VBIV_x,VBIV_y
VBIV,2021-06-18,3.91,3.92,3.9,3.91,188434,3.91,3.781072008832504,3.5059434838570414,0.2751285249754622,0.255104502669515
VBIV,2021-06-17,3.9,3.9,3.86,3.86,15588,3.86,3.757630555892959,3.4736189625656047,0.2840115933273544,0.25009849709302806
VBIV,2021-06-16,3.94,3.96,3.94,3.95,44056,3.95,3.739017929691679,3.442708479570853,0.2963094501208259,0.2416202230344465
VBIV,2021-06-15,4.0979,4.13,4.0979,4.125,34657,4.125,3.700657553271984,3.402125157936521,0.2985323953354628,0.22794791626285163
VBIV,2021-06-14,3.91,3.95,3.91,3.93,118668,3.93,3.623504381139617,3.344295170571443,0.2792092105681742,0.21030179649469882
VBIV,2021-06-11,4.11,4.11,4.06,4.06,37218,4.06,3.567777904983184,3.297438784217158,0.2703391207660259,0.19307494297633004
VBIV,2021-06-10,3.91,3.92,3.88,3.8962,40237,3.8962,3.47828297861649,3.2364338869545306,0.2418490916619595,0.17375889852890608
VBIV,2021-06-09,3.99,4.05,3.96,4.01,196407,4.01,3.4022980656376705,3.183652597910893,0.2186454677267773,0.15673635024564272
VBIV,2021-06-08,3.62,3.65,3.57,3.65,196611,3.65,3.2918068048445197,3.1175448057437647,0.1742619991007545,0.14125907087535908
VBIV,2021-06-07,3.26,3.32,3.26,3.2811,26103,3.2811,3.226680769361704,3.074948390203266,0.1517323791584379,0.13300833881901009
VBIV,2021-06-04,3.35,3.36,3.35,3.3599,27365,3.3599,3.2167863637911047,3.0584562614195274,0.1583301023715773,0.12832732873415312
VBIV,2021-06-03,3.45,3.4642,3.44,3.45,55629,3.45,3.190765702662215,3.03434076233309,0.1564249403291251,0.12082663532479705
VBIV,2021-06-02,3.35,3.35,3.33,3.34,6552,3.34,3.1436321940553453,3.001088023319737,0.1425441707356083,0.11192705907371503
VBIV,2021-06-01,3.25,3.2518,3.23,3.23,30380,3.23,3.1079289566108623,2.973975065185316,0.1339538914255462,0.1042727811582417
VBIV,2021-06-01,3.25,3.2518,3.23,3.23,30380,3.23,3.0857342214492007,2.9534930704001416,0.1322411510490591,0.09685250359141555
VBIV,2021-05-28,3.34,3.34,3.3,3.3,31068,3.3,3.0595040798945097,2.931372516032153,0.1281315638623565,0.08800534172700465
VBIV,2021-05-27,3.21,3.21,3.19,3.2009,27253,3.2009,3.0157775489662386,2.901882317314725,0.1138952316515133,0.07797378619316667
VBIV,2021-05-26,3.05,3.05,3.02,3.02,39828,3.02,2.982118921505555,2.877960902699903,0.1041580188056516,0.06899342482857987
VBIV,2021-05-25,3.11,3.115,3.09,3.1,67906,3.1,2.975231452688383,2.8665977749158955,0.1086336777724876,0.06020227633431192
VBIV,2021-05-24,3.21,3.25,3.21,3.21,42940,3.21,2.9525462622680894,2.8479255969091675,0.1046206653589219,0.04809442597476798
VBIV,2021-05-21,3.22,3.24,3.21,3.24,59823,3.24,2.9057364917713784,2.818959644661901,0.0867768471094772,0.033962866128729494
VBIV,2021-05-20,3.08,3.08,3.06,3.07,27249,3.07,2.8449613084570835,2.785276416234853,0.0596848922222306,0.020759370883542568
VBIV,2021-05-19,2.99,3.04,2.97,2.98,40987,2.98,2.804045182722008,2.7624985295336413,0.0415466531883663,0.011027990548870556
VBIV,2021-05-18,2.9708,2.99,2.96,2.98,65151,2.98,2.772053397762373,2.745098411896332,0.0269549858660407,0.0033983248889964926
VBIV,2021-05-17,2.8679,2.9,2.82,2.8389,58322,2.8389,2.7342449246282587,2.7263062848480386,0.0079386397802201,-0.0024908403552645663
VBIV,2021-05-14,2.6846,2.74,2.68,2.71,40708,2.71,2.715216729106124,2.7172987876358814,-0.0020820585297571,-0.0050982103891357424
VBIV,2021-05-13,2.86,2.89,2.84,2.87,53681,2.87,2.716165225307237,2.717882690646752,-0.0017174653395142,-0.005852248353980382
VBIV,2021-05-12,2.73,2.73,2.69,2.71,40572,2.71,2.688195266272189,2.705713305898492,-0.0175180396263021,-0.0068859441075967
VBIV,2021-05-11,2.54,2.5431,2.45,2.46,176272,2.46,2.6842307692307696,2.70537037037037,-0.021139601139601,-0.004227920227920112
VBIV,2021-05-10,2.75,2.77,2.7222,2.725,67343,2.725,2.725,2.725,0.0,0.0
