Symbol,Date,Open,High,Low,Close,Volume
ATOS,2021-06-25,8.01,8.16,8.01,8.12,316209
ATOS,2021-06-24,7.2814,7.34,7.2,7.324,250136
ATOS,2021-06-23,6.59,6.77,6.55,6.68,543889
ATOS,2021-06-22,6.25,6.26,6.155,6.17,351290
ATOS,2021-06-21,5.6,5.69,5.6,5.66,261539
ATOS,2021-06-18,5.1282,5.2164,5.08,5.2099,152808
ATOS,2021-06-17,4.66,4.66,4.62,4.63,81337
ATOS,2021-06-16,4.64,4.67,4.625,4.6615,59104
ATOS,2021-06-15,4.63,4.66,4.57,4.6518,423818
ATOS,2021-06-14,4.41,4.43,4.36,4.37,588454
ATOS,2021-06-11,4.48,4.49,4.2,4.2601,657517
ATOS,2021-06-10,4.15,4.3,4.14,4.2901,513394
ATOS,2021-06-09,5.57,5.8,5.57,5.7869,608973
ATOS,2021-06-08,6.3,6.48,6.22,6.4799,549246
ATOS,2021-06-07,4.9,4.97,4.9,4.97,261346
ATOS,2021-06-04,4.5453,4.59,4.5453,4.5797,181734
ATOS,2021-06-03,3.94,3.96,3.92,3.9501,139295
ATOS,2021-06-02,3.99,4.0,3.97,3.991,225175
ATOS,2021-06-01,3.32,3.34,3.32,3.34,140205
ATOS,2021-06-01,3.32,3.34,3.32,3.34,140205
ATOS,2021-05-28,3.16,3.2,3.16,3.195,54406
ATOS,2021-05-27,3.14,3.16,3.13,3.16,31109
ATOS,2021-05-26,3.0,3.01,2.96,2.97,236770
ATOS,2021-05-25,3.17,3.19,3.16,3.18,78568
ATOS,2021-05-24,3.24,3.26,3.23,3.238,77891
ATOS,2021-05-21,3.26,3.3,3.26,3.29,55069
ATOS,2021-05-20,3.27,3.27,3.24,3.25,29518
ATOS,2021-05-19,3.09,3.1,3.0,3.0113,422689
ATOS,2021-05-18,3.27,3.3,3.1804,3.2021,328889
ATOS,2021-05-17,3.17,3.18,3.06,3.075,532580
