Symbol,Date,Open,High,Low,Close,Volume,IDEX SMA,IDEX spanTwelveEMA,IDEX spanTwntySixEMA,IDEX_x,IDEX_y
IDEX,2020-07-31,1.48,1.55,1.46,1.495,1932978,1.495,1.495,1.495,0.0,0.0
IDEX,2020-07-30,1.3,1.65,1.29,1.531,14747460,1.5309999999999997,1.5005384615384616,1.4976666666666667,0.0028717948717948967,0.0005743589743589793
IDEX,2020-07-29,1.28,1.29,1.26,1.26,580634,1.2599999999999996,1.4635325443786982,1.4800617283950617,-0.016529184016363496,-0.002846349623785516
IDEX,2020-07-28,1.24,1.2425,1.22,1.24,802736,1.2399999999999995,1.4291429221665908,1.4622793781435757,-0.033136455976984884,-0.00890437089442539
IDEX,2020-07-27,1.32,1.32,1.29,1.3,799975,1.2999999999999996,1.4092747802948076,1.4502586834662738,-0.040983903171466274,-0.015320277349833569
IDEX,2020-07-24,1.29,1.29,1.27,1.2728,964565,1.2727999999999997,1.3882786602494526,1.4371135958021053,-0.048834935552652725,-0.022023208990397402
IDEX,2020-07-23,1.35,1.36,1.33,1.335,871942,1.3349999999999993,1.3800819432879985,1.42954962574269,-0.049467682454691575,-0.02751210368325624
IDEX,2020-07-22,1.36,1.37,1.34,1.355,1215589,1.3549999999999995,1.3762231827821525,1.4240274312432315,-0.04780424846107922,-0.031570532638820835
IDEX,2020-07-21,1.52,1.57,1.5,1.5228,2588588,1.5227999999999997,1.3987734623541292,1.4313439178178071,-0.032570455463678094,-0.03177051720379229
IDEX,2020-07-20,1.35,1.35,1.3,1.31,1563061,1.3099999999999998,1.38511600660734,1.4223554794609323,-0.037239472853592526,-0.03286430833375233
IDEX,2020-07-17,1.3,1.31,1.27,1.275,1062908,1.275,1.3681750825139032,1.4114402587601227,-0.043265176246219735,-0.034944481916245815
IDEX,2020-07-16,1.27,1.29,1.23,1.265,961154,1.265,1.3523019928963795,1.4005928321852987,-0.0482908392889192,-0.03761375339078049
IDEX,2020-07-15,1.25,1.35,1.23,1.2901,2849809,1.2901000000000005,1.3427324555277056,1.3924081779493507,-0.049675722421645314,-0.04002614719695346
IDEX,2020-07-14,1.28,1.28,1.22,1.23,2165158,1.2300000000000002,1.3253890008311355,1.3803779425456952,-0.0549889417145597,-0.04301870610047471
IDEX,2020-07-13,1.36,1.39,1.32,1.35,2740127,1.35,1.3291753083955762,1.3781277245793475,-0.04895241618377133,-0.04420544811713403
IDEX,2020-07-10,1.38,1.39,1.32,1.37,2468057,1.37,1.3354560301808722,1.3775256709068031,-0.04206964072593111,-0.04377828663889345
IDEX,2020-07-09,1.5,1.56,1.43,1.56,5326628,1.56,1.370001256306892,1.3910422878766702,-0.02104103156977799,-0.03923083562507036
IDEX,2020-07-08,1.27,1.28,1.22,1.24,2562437,1.2399999999999998,1.3500010630289083,1.3798539702561758,-0.0298529072272673,-0.037355249945509754
IDEX,2020-07-07,1.345,1.37,1.27,1.285,3998227,1.2849999999999997,1.3400008994859995,1.3728277502372,-0.0328268507512004,-0.036449570106647886
IDEX,2020-07-06,1.51,1.52,1.38,1.4659,6592428,1.4658999999999998,1.3593699918727689,1.3797219909603702,-0.020351999087601325,-0.033230055902838576
IDEX,2020-07-06,1.51,1.52,1.38,1.4659,6592428,1.4659,1.3757592238923428,1.386105547185528,-0.010346323293185078,-0.028653309380907876
IDEX,2020-07-02,1.67,1.69,1.56,1.615,7404630,1.6149999999999998,1.4125654971396748,1.4030606918384516,0.009504805301223218,-0.02102168644448166
IDEX,2020-07-01,1.75,1.89,1.61,1.7002,10736529,1.7002,1.4568169591181863,1.4250710109615292,0.0317459481566571,-0.010468159524253909
IDEX,2020-06-30,2.18,2.48,2.07,2.315,22286430,2.3150000000000004,1.58884511925385,1.4909916768162308,0.09785344243761918,0.01119616086812071
IDEX,2020-06-29,1.78,1.99,1.65,1.84,19683930,1.8400000000000003,1.6274843316763348,1.5168441452002135,0.11064018647612106,0.03108496598972078
IDEX,2020-06-26,1.95,2.0,1.58,1.715,22390269,1.7150000000000003,1.6409482806492064,1.5315223566668643,0.10942592398234187,0.046753157588245
IDEX,2020-06-25,2.95,2.95,2.62,2.75,13855529,2.7500000000000013,1.81157162208779,1.6217799598767264,0.1897916622110636,0.07536085851280871
IDEX,2020-06-24,2.8,2.83,2.56,2.6401,10304583,2.6401000000000003,1.939037526381976,1.6972110739599318,0.2418264524220444,0.10865397729465585
IDEX,2020-06-23,3.07,3.24,2.85,2.9801,20903444,2.9801000000000006,2.0992009838616723,1.7922398832962332,0.3069611005654391,0.14831540194881251
IDEX,2020-06-22,2.81,3.2,2.6,3.14,34451834,3.140000000000001,2.259323909421415,1.8920739660150308,0.3672499434063841,0.19210231024032684
IDEX,2020-06-19,2.27,2.27,2.05,2.1,9928597,2.1,2.234812538741197,1.9074758944583616,0.3273366442828354,0.21914917704882858
