Symbol,Date,Open,High,Low,Close,Volume,MUFG SMA,MUFG spanTwelveEMA,MUFG spanTwntySixEMA,MUFG_x,MUFG_y
MUFG,2021-02-04,4.86,4.89,4.8,4.85,189490,4.85,4.6898940318564994,4.644754813701933,0.045139218154565335,0.04535031417499113
MUFG,2021-02-03,4.75,4.77,4.75,4.758,76459,4.758000000000001,4.660783855830409,4.628335198798089,0.032448657032319694,0.04540308818009735
MUFG,2021-02-02,4.63,4.65,4.62,4.64,108790,4.64,4.643108193254119,4.617962014701936,0.02514617855218315,0.04864169596704176
MUFG,2021-02-01,4.61,4.62,4.57,4.58,105330,4.579999999999999,4.643673319300323,4.616198975878091,0.02747434342223176,0.054515575320756404
MUFG,2021-01-29,4.57,4.61,4.562,4.59,123658,4.589999999999998,4.6552502864458365,4.619094893948338,0.03615539249749844,0.06127588329538756
MUFG,2021-01-28,4.62,4.66,4.62,4.63,115885,4.629999999999999,4.667113974890534,4.621422485464205,0.04569148942632939,0.06755600599485984
MUFG,2021-01-27,4.61,4.63,4.59,4.62,139028,4.62,4.673861970325177,4.6207362843013415,0.053125686023835605,0.07302213513699243
MUFG,2021-01-26,4.66,4.67,4.64,4.665,57014,4.665,4.683655055838845,4.620795187045449,0.06285986879339678,0.07799624741528163
MUFG,2021-01-25,4.64,4.64,4.5973,4.615,99336,4.615000000000001,4.6870468841731805,4.617258802009085,0.06978808216409592,0.08178034207075308
MUFG,2021-01-22,4.68,4.68,4.63,4.67,66822,4.67,4.700146317659213,4.617439506169812,0.08270681148940184,0.08477840704741736
MUFG,2021-01-21,4.74,4.74,4.7,4.705,67171,4.705,4.705627466324524,4.613234666663397,0.0923927996611278,0.08529630593692145
MUFG,2021-01-20,4.77,4.77,4.74,4.75,61014,4.75,4.7057415511108,4.605893439996468,0.09984811111433343,0.08352218250587007
MUFG,2021-01-19,4.76,4.78,4.75,4.75,175316,4.75,4.697694560403675,4.594364915196184,0.10332964520748966,0.07944070035375445
MUFG,2021-01-19,4.76,4.78,4.75,4.75,175316,4.75,4.68818448047707,4.58191410841188,0.10627037206519052,0.07346846414032042
MUFG,2021-01-15,4.8,4.84,4.79,4.825,81470,4.824999999999998,4.676945295109265,4.56846723708483,0.10847805802443487,0.0652679871591029
MUFG,2021-01-14,4.89,4.91,4.8648,4.905,300998,4.905,4.650026257856403,4.547944616051616,0.10208164180478717,0.05446546944276991
MUFG,2021-01-13,4.8,4.81,4.7801,4.8,66089,4.8,4.603667395648476,4.519380185335746,0.08428721031273056,0.04256142635226558
MUFG,2021-01-12,4.78,4.79,4.76,4.775,125579,4.775,4.567970558493654,4.496930600162607,0.07103995833104815,0.03212998036214933
MUFG,2021-01-11,4.68,4.71,4.66,4.7,179246,4.699999999999998,4.530328841856137,4.474685048175615,0.055643793680521185,0.022402485869924837
MUFG,2021-01-08,4.7,4.7,4.67,4.67,101061,4.669999999999999,4.4994795403754315,4.456659852029664,0.04281968834576855,0.014092158917275525
MUFG,2021-01-07,4.67,4.67,4.635,4.666,239486,4.665999999999999,4.468475820443693,4.439592640192037,0.02888318025165582,0.006910276560152491
MUFG,2021-01-06,4.54,4.58,4.5280000000000005,4.58,109496,4.579999999999998,4.432562333251637,4.4214800514074,0.011082281844236874,0.0014170506372766594
MUFG,2021-01-05,4.41,4.41,4.39,4.39,50749,4.389999999999999,4.405755484751935,4.408798455519992,-0.0030429707680568185,-0.0009992571644633942
MUFG,2021-01-04,4.43,4.43,4.4,4.4001,143913,4.400099999999999,4.408620118343197,4.41030233196159,-0.0016822136183956007,-0.000488328763564816
MUFG,2021-01-04,4.43,4.43,4.4,4.4001,143913,4.4001,4.410169230769231,4.411118518518519,-0.0009492877492878193,-0.00018985754985756387
MUFG,2020-12-31,4.43,4.43,4.41,4.412,41134,4.412000000000001,4.412,4.412,0.0,0.0
