Symbol,Date,Open,High,Low,Close,Volume,ASC SMA,ASC spanTwelveEMA,ASC spanTwntySixEMA,ASC_x,ASC_y
ASC,2021-02-04,3.46,3.52,3.435,3.45,27893,3.45,3.3934064934234316,3.389697799667893,0.0037086937555388393,0.010028476838178459
ASC,2021-02-03,3.37,3.5,3.37,3.5,81522,3.5,3.3831167649549654,3.3848736236413246,-0.0017568586863592195,0.011608422608838475
ASC,2021-02-02,3.37,3.42,3.29,3.31,32827,3.3100000000000005,3.361865267674049,3.3756635135326314,-0.01379824585858147,0.014949742932637898
ASC,2021-02-01,3.26,3.33,3.25,3.3193,61294,3.3193000000000006,3.3712953163420583,3.380916594615241,-0.009621278273183265,0.02213674013044296
ASC,2021-01-29,3.19,3.33,3.19,3.2827,26223,3.2827,3.3807490102224333,3.385845922184461,-0.0050969119620276615,0.030076244731349403
ASC,2021-01-28,3.32,3.35,3.27,3.27,33576,3.27,3.3985761029901482,3.394097595959217,0.004478507030930334,0.038869533904693665
ASC,2021-01-27,3.33,3.59,3.33,3.41,95967,3.41,3.421953576261084,3.4040254036359547,0.017928172625129246,0.047467290623134276
ASC,2021-01-26,3.33,3.45,3.295,3.45,52901,3.45,3.4241269537630994,3.4035474359268307,0.020579517836268213,0.054852070122635536
ASC,2021-01-25,3.31,3.35,3.24,3.28,78770,3.2799999999999985,3.4194227635382086,3.3998312308009777,0.01959153273723091,0.06342020819422725
ASC,2021-01-22,3.3,3.35,3.2686,3.3,23325,3.2999999999999985,3.4447723569087922,3.4094177292650563,0.03535462764373598,0.07437737705847633
ASC,2021-01-21,3.31,3.3473,3.25,3.25,21895,3.2499999999999987,3.4710946036194814,3.4181711476062597,0.05292345601322124,0.08413306441216142
ASC,2021-01-20,3.29,3.35,3.23,3.28,40219,3.28,3.511293622459388,3.4316248394147606,0.07966878304462678,0.09193546651189635
ASC,2021-01-19,3.63,3.64,3.5285,3.54,38798,3.54,3.553347008361094,3.4437548265679414,0.10959218179315268,0.09500213737871363
ASC,2021-01-19,3.63,3.64,3.5285,3.54,38798,3.54,3.5557737371540203,3.4360552126933768,0.11971852446064354,0.09135462627510388
ASC,2021-01-15,3.89,3.9,3.72,3.72,17170,3.72,3.558641689363842,3.4277396297088467,0.13090205965499546,0.08426365172871896
ASC,2021-01-14,3.65,3.7168,3.65,3.7168,5236,3.7168,3.5293038147027227,3.4043588000855545,0.12494501461716825,0.07260404974714982
ASC,2021-01-13,3.83,3.8849,3.76,3.7781,63707,3.7780999999999993,3.495213599194127,3.3793635040923986,0.11585009510172828,0.059518808529645216
ASC,2021-01-12,3.68,3.77,3.67,3.77,24308,3.77,3.4437797081385138,3.3474645844197912,0.09631512371872296,0.045435986886624445
ASC,2021-01-11,3.6,3.65,3.58,3.64,47442,3.64,3.3844669278000623,3.3136617511733744,0.0708051766266875,0.03271620267859992
ASC,2021-01-08,3.55,3.59,3.5,3.57,53074,3.57,3.3380063692182547,3.2875546912672444,0.05045167795101069,0.023193959191577906
ASC,2021-01-07,3.36,3.36,3.3,3.34,3980,3.3400000000000003,3.2958257090761203,3.2649590665686237,0.030866642507496163,0.016379529501719822
ASC,2021-01-06,3.35,3.38,3.32,3.35,15048,3.3500000000000005,3.287794019817233,3.258955791894114,0.028838227923119412,0.012757751250275624
ASC,2021-01-05,3.34,3.38,3.27,3.38,29730,3.3800000000000003,3.2764838416021846,3.2516722552456434,0.02481158635654168,0.00873763208206479
ASC,2021-01-04,3.3,3.35,3.27,3.34,25779,3.3400000000000007,3.2576627218934915,3.2414060356652947,0.01625668622819676,0.004719143513445677
ASC,2021-01-04,3.3,3.35,3.27,3.34,25779,3.3400000000000007,3.242692307692308,3.2335185185185185,0.009173789173789526,0.0018347578347579054
ASC,2020-12-31,3.23,3.24,3.1853,3.225,13819,3.2250000000000014,3.225,3.225,0.0,0.0
