Symbol,Date,Open,High,Low,Close,Volume,GAB SMA,GAB spanTwelveEMA,GAB spanTwntySixEMA,GAB_x,GAB_y
GAB,2021-02-04,6.4,6.41,6.38,6.405,80425,6.405,6.278993512787057,6.273797581104207,0.005195931682850485,-0.008138558656185438
GAB,2021-02-03,6.38,6.395,6.35,6.365,139109,6.3649999999999975,6.2560832423847055,6.263301387592543,-0.007218145207838589,-0.011472181240944419
GAB,2021-02-02,6.29,6.31,6.28,6.2899,89002,6.289899999999999,6.23628019554556,6.255165498599948,-0.01888530305438696,-0.012535690249221096
GAB,2021-02-01,6.21,6.22,6.18,6.2002,110808,6.200199999999998,6.226531140190208,6.252386738487942,-0.02585559829773576,-0.010948287047929408
GAB,2021-01-29,6.18,6.18,6.125,6.15,64623,6.149999999999998,6.231318620224791,6.256561677566979,-0.025243057342188457,-0.007221459235478261
GAB,2021-01-28,6.15,6.175,6.1301,6.17,67007,6.169999999999996,6.2461038239020255,6.265086611772338,-0.01898278787031149,-0.0027160597088009336
GAB,2021-01-27,6.18,6.18,6.05,6.1,186660,6.099999999999996,6.259940882793303,6.272693540714124,-0.012752657920820807,0.0013506223315769275
GAB,2021-01-26,6.23,6.26,6.23,6.235,87314,6.234999999999998,6.289021043301176,6.286509023971254,0.002512019329921955,0.004876442394676584
GAB,2021-01-25,6.32,6.325,6.3,6.3081,69579,6.308099999999998,6.298843051174116,6.290629745888954,0.008213305285162066,0.00546754816086524
GAB,2021-01-22,6.32,6.35,6.315,6.33,98507,6.329999999999997,6.29715996956941,6.289232125560072,0.007927844009339323,0.004781108879791034
GAB,2021-01-21,6.33,6.34,6.27,6.28,68297,6.279999999999999,6.291189054945668,6.2859706956048775,0.00521835934079018,0.003994425097404184
GAB,2021-01-20,6.29,6.3,6.28,6.28,69874,6.2799999999999985,6.293223428572153,6.2864483512532665,0.006775077318885714,0.0036884415365576848
GAB,2021-01-19,6.33,6.35,6.3,6.3066,158532,6.306599999999999,6.295627688312544,6.286964219353527,0.00866346895901593,0.002916782590975455
GAB,2021-01-19,6.33,6.35,6.3,6.3066,158532,6.306599999999999,6.293632722551187,6.285393356901809,0.008239365649377106,0.001480110998964892
GAB,2021-01-15,6.33,6.33,6.31,6.325,74970,6.3249999999999975,6.291275035742313,6.283696825453955,0.007578210288357035,-0.00020970266363860585
GAB,2021-01-14,6.34,6.34,6.29,6.29,109001,6.289999999999997,6.2851432240590945,6.280392571490271,0.004750652568824343,-0.0021566809016377382
GAB,2021-01-13,6.3,6.32,6.29,6.315,91777,6.314999999999999,6.284260173888023,6.279623977209492,0.004636196678529103,-0.0038835142692530363
GAB,2021-01-12,6.37,6.37,6.33,6.35,82207,6.349999999999999,6.278671114594934,6.276793895386253,0.001877219208683556,-0.006013442006199014
GAB,2021-01-11,6.33,6.34,6.28,6.3123,172841,6.312299999999999,6.265702226339469,6.270937407017152,-0.00523518067768336,-0.00798610730991899
GAB,2021-01-08,6.35,6.36,6.27,6.29,143763,6.29,6.257229903855737,6.267628399578525,-0.010398495722789391,-0.008673838967977897
GAB,2021-01-07,6.25,6.27,6.23,6.25,175891,6.249999999999999,6.251271704556777,6.265838671544808,-0.014566966988029506,-0.008242674779275245
GAB,2021-01-06,6.19,6.27,6.19,6.255,87676,6.254999999999999,6.251502923567102,6.267105765268393,-0.015602841701291226,-0.006661601727086457
GAB,2021-01-05,6.05,6.12,6.05,6.11,120016,6.1099999999999985,6.250867091488392,6.2680742264898655,-0.01720713500147131,-0.004426291733535486
GAB,2021-01-04,6.305,6.32,6.25,6.255,71679,6.254999999999997,6.276479289940827,6.280720164609053,-0.004240874668225203,-0.0012310809165510862
GAB,2021-01-04,6.305,6.32,6.25,6.255,71679,6.254999999999997,6.280384615384616,6.282777777777778,-0.0023931623931625623,-0.0004786324786323348
GAB,2020-12-31,6.32,6.32,6.28,6.285,96561,6.2849999999999975,6.285,6.285,0.0,0.0
