Symbol,Date,Open,High,Low,Close,Volume,CHW SMA,CHW spanTwelveEMA,CHW spanTwntySixEMA,CHW_x,CHW_y
CHW,2021-02-04,9.9,9.9126,9.89,9.89,9009,9.89,9.759362802679943,9.716039749970177,0.04332305270976988,0.03519776757666371
CHW,2021-02-03,9.83,9.89,9.83,9.88,21933,9.880000000000004,9.735610584985391,9.70212292996779,0.033487655017600204,0.03316644629338805
CHW,2021-02-02,9.77,9.81,9.77,9.81,11994,9.810000000000004,9.709357964073645,9.687892764365213,0.021465199708430305,0.03308614411233456
CHW,2021-02-01,9.61,9.64,9.55,9.61,18293,9.61,9.691059412087032,9.678124185514427,0.012935226572603042,0.035991380213310185
CHW,2021-01-29,9.65,9.66,9.52,9.53,32836,9.53,9.705797487011948,9.683574120355583,0.022223366656364263,0.04175541862348653
CHW,2021-01-28,9.69,9.72,9.6,9.68,6614,9.68,9.737760666468665,9.695860049984027,0.04190061648463583,0.046638431615267095
CHW,2021-01-27,9.65,9.7,9.22,9.575,74992,9.575000000000003,9.748262605826604,9.69712885398275,0.05113375184385305,0.04782288539792447
CHW,2021-01-26,9.84,9.863,9.8237,9.85,14212,9.850000000000003,9.779764897795078,9.706899162301369,0.072865735493707,0.04699516878644232
CHW,2021-01-25,9.85,9.88,9.8,9.88,31662,9.880000000000004,9.766994879212362,9.69545109528548,0.07154378392688265,0.0405275271096257
CHW,2021-01-22,9.86,9.86,9.78,9.78,16318,9.780000000000003,9.746448493614613,9.68068718290832,0.0657613107062911,0.032773462905311454
CHW,2021-01-21,9.92,9.95,9.91,9.93,15328,9.93,9.74034821972636,9.672742157540986,0.0676060621853729,0.024526500955066095
CHW,2021-01-20,9.96,10.04,9.959,9.9927,26727,9.9927,9.705866077858424,9.652161530144266,0.053704547714158224,0.013756610647488947
CHW,2021-01-19,9.72,9.7691,9.7,9.7496,33232,9.7496,9.653714455650864,9.624918452555807,0.02879600309505825,0.003769626380821627
CHW,2021-01-19,9.72,9.7691,9.7,9.7496,33232,9.749600000000003,9.63628072031466,9.614943928760274,0.021336791554388057,-0.002486967797737086
CHW,2021-01-15,9.71,9.7404,9.7,9.71,31340,9.710000000000004,9.615677214917326,9.604171443061094,0.011505771856231915,-0.008442907635767927
CHW,2021-01-14,9.62,9.68,9.6,9.669,21682,9.669000000000004,9.59852761762957,9.595705158505982,0.0028224591235872514,-0.013430077508767888
CHW,2021-01-13,9.68,9.73,9.62,9.72,39201,9.720000000000002,9.585714457198582,9.589841571186462,-0.004127113987877351,-0.017493211666856672
CHW,2021-01-12,9.64,9.6894,9.6223,9.63,18544,9.63,9.561298903961962,9.579428896881376,-0.018129992919416082,-0.02083473608660106
CHW,2021-01-11,9.51,9.6,9.45,9.58,66135,9.58,9.548807795591408,9.575383208631886,-0.02657541304047939,-0.02151092187839775
CHW,2021-01-08,9.57,9.6227,9.57,9.6,15213,9.6,9.543136485698938,9.575013865322438,-0.031877379623500346,-0.02024479908787778
CHW,2021-01-07,9.39,9.49,9.39,9.4417,25092,9.4417,9.532797664916924,9.573014974548233,-0.04021730963130743,-0.017336653953972138
CHW,2021-01-06,9.32,9.4,9.3,9.384,33092,9.383999999999997,9.549360876720002,9.583520172512092,-0.034159295792090205,-0.011616490034637873
CHW,2021-01-05,9.31,9.45,9.3,9.45,26340,9.449999999999996,9.579426490669093,9.59948178631306,-0.02005529564396724,-0.0059807885952747886
CHW,2021-01-04,9.62,9.645,9.51,9.56,27790,9.56,9.602958579881657,9.611440329218103,-0.008481749336450406,-0.002462161833101675
CHW,2021-01-04,9.62,9.645,9.51,9.56,27790,9.559999999999997,9.610769230769227,9.615555555555554,-0.004786324786325125,-0.0009572649572653802
CHW,2020-12-31,9.67,9.675,9.58,9.62,25170,9.619999999999996,9.62,9.62,0.0,0.0
