Symbol,Date,Open,High,Low,Close,Volume,CERS SMA,CERS spanTwelveEMA,CERS spanTwntySixEMA,CERS_x,CERS_y
CERS,2021-07-15,4.89,4.92,4.88,4.88,11800,4.88,5.299618378853361,5.456777531372301,-0.1571591525189397,-0.06448330618628462
CERS,2021-07-14,5.07,5.08,5.06,5.065,13467,5.065,5.375912629553972,5.502919733882084,-0.1270071043281122,-0.041314344603120834
CERS,2021-07-13,5.11,5.13,5.11,5.12,8684,5.12,5.432442198563786,5.53795331259265,-0.1055111140288644,-0.019891154671872985
CERS,2021-07-12,5.26,5.27,5.23,5.24,28065,5.24,5.489249871029928,5.571389577600062,-0.0821397065701337,0.0015138351673748898
CERS,2021-07-09,5.25,5.25,5.18,5.18,26941,5.18,5.534568029399006,5.597900743808067,-0.0633327144090607,0.022427220601752035
CERS,2021-07-08,5.11,5.12,5.05,5.06,85363,5.06,5.599034943835188,5.631332803312712,-0.0322978594775236,0.04386720435445523
CERS,2021-07-07,5.46,5.46,5.43,5.44,16342,5.44,5.697041297259768,5.677039427577729,0.0200018696820389,0.06290847031244994
CERS,2021-07-06,5.59,5.59,5.56,5.57,27708,5.57,5.743776078579725,5.696002581783947,0.0477734967957781,0.07363512047005266
CERS,2021-07-06,5.59,5.59,5.56,5.57,27708,5.57,5.775371729230585,5.706082788326663,0.0692889409039221,0.08010052638862128
CERS,2021-07-02,6.1244,6.1244,5.92,6.03,25923,6.03,5.812712043636147,5.716969411392796,0.0957426322433505,0.08280342275979606
CERS,2021-07-01,5.91,5.95,5.895,5.94,96511,5.94,5.773205142479083,5.69192696430422,0.0812781781748626,0.07956862038890743
CERS,2021-06-30,5.67,5.73,5.67,5.71,26691,5.71,5.742878804748007,5.672081121448557,0.0707976832994496,0.07914123094241862
CERS,2021-06-29,5.77,5.78,5.76,5.77,9105,5.77,5.748856769247645,5.669047611164442,0.0798091580832034,0.08122711785316085
CERS,2021-06-28,5.86,5.89,5.85,5.865,23292,5.865,5.74501254547449,5.660971420057598,0.084041125416892,0.08158160779565019
CERS,2021-06-25,5.78,5.82,5.76,5.8,21412,5.8,5.7231966446516696,5.644649133662206,0.0785475109894635,0.0809667283903397
CERS,2021-06-24,5.71,5.765,5.71,5.75,17477,5.75,5.7092323982247,5.632221064355183,0.0770113338695166,0.08157153274055873
CERS,2021-06-23,5.62,5.66,5.62,5.64,28316,5.64,5.701820106992827,5.622798749503598,0.0790213574892284,0.08271158245831903
CERS,2021-06-22,5.69,5.69,5.67,5.67,11317,5.67,5.713060126446067,5.621422649463886,0.0916374769821812,0.08363413870059166
CERS,2021-06-21,5.75,5.83,5.7,5.755,20837,5.755,5.720889240345352,5.617536461420997,0.1033527789243553,0.08163330413019426
CERS,2021-06-18,5.83,5.895,5.83,5.88,188327,5.88,5.714687284044508,5.606539378334676,0.1081479057098313,0.07620343543165399
CERS,2021-06-17,5.75,5.75,5.73,5.74,13879,5.74,5.684630426598055,5.58466252860145,0.0999678979966045,0.06821731786210943
CERS,2021-06-16,5.8,5.8,5.759,5.759,8469,5.759,5.674563231434065,5.572235530889566,0.1023277005444986,0.06027967282848564
CERS,2021-06-15,5.9,5.9,5.8501,5.8501,15737,5.8501,5.659211091694804,5.557294373360731,0.1019167183340723,0.04976766589948237
CERS,2021-06-14,5.98,6.0,5.97,5.98,27704,5.98,5.624504017457496,5.53386992322959,0.090634094227906,0.03673040279083488
CERS,2021-06-11,5.83,5.84,5.825,5.83,15715,5.83,5.55986838426795,5.498179517087957,0.0616888671799928,0.023254479931567085
CERS,2021-06-10,5.64,5.64,5.63,5.63,10912,5.63,5.510753545043941,5.471633878454993,0.0391196665889479,0.013645883119460632
CERS,2021-06-09,5.67,5.71,5.67,5.7,25470,5.7,5.489072371415567,5.4589645887313925,0.0301077826841744,0.007277437252088802
CERS,2021-06-08,5.57,5.61,5.57,5.607,21232,5.607,5.450721893491124,5.439681755829904,0.0110401376612205,0.0015698508940673861
CERS,2021-06-07,5.29,5.38,5.28,5.38,73048,5.38,5.422307692307692,5.426296296296297,-0.0039886039886045,-0.0007977207977209133
CERS,2021-06-04,5.45,5.48,5.425,5.43,50148,5.43,5.43,5.43,0.0,0.0
