Symbol,Date,Open,High,Low,Close,Volume,NGD SMA,NGD spanTwelveEMA,NGD spanTwntySixEMA,NGD_x,NGD_y
NGD,2021-07-15,1.75,1.7582,1.74,1.75,28581,1.75,1.7800289751781686,1.8566052206918224,-0.0765762455136538,-0.07771189301990743
NGD,2021-07-14,1.78,1.78,1.76,1.775,153284,1.775,1.7854887888469264,1.8651336383471684,-0.0796448495002419,-0.07799580489647082
NGD,2021-07-13,1.71,1.71,1.7,1.7,18361,1.7,1.7873958413645492,1.8723443294149416,-0.0849484880503925,-0.07758354374552802
NGD,2021-07-12,1.74,1.74,1.73,1.73,57770,1.73,1.803285994339922,1.886131875768137,-0.0828458814282151,-0.07574230766931193
NGD,2021-07-09,1.7,1.7101,1.7,1.7101,29631,1.7101,1.816610720583544,1.898622425829588,-0.0820117052460438,-0.07396641422958619
NGD,2021-07-08,1.76,1.77,1.7411,1.75,44060,1.75,1.8359763061441887,1.9137042198959555,-0.0777279137517665,-0.07195509147547172
NGD,2021-07-07,1.8,1.8,1.79,1.794,24270,1.794,1.851608361806768,1.926800557487632,-0.0751921956808636,-0.07051188590639794
NGD,2021-07-06,1.83,1.8382,1.825,1.838,91946,1.838,1.8620826094079987,1.9374246020866424,-0.0753419926786438,-0.06934180846278144
NGD,2021-07-06,1.83,1.8382,1.825,1.838,91946,1.838,1.8664612656639985,1.945378570253574,-0.0789173045895754,-0.0678417624088159
NGD,2021-07-02,1.8,1.82,1.8,1.8099,60487,1.8099,1.8716360412392707,1.95396885587386,-0.0823328146345891,-0.065072876863626
NGD,2021-07-01,1.85,1.85,1.835,1.84,23010,1.84,1.8828607760100475,1.9654943643437688,-0.0826335883337212,-0.06075789242088521
NGD,2021-06-30,1.77,1.78,1.7514,1.7608,32953,1.7608,1.8906536443755104,1.97553391349127,-0.0848802691157595,-0.055288968442676195
NGD,2021-06-29,1.77,1.77,1.74,1.75,46097,1.75,1.9142633978983303,1.9927126265705717,-0.0784492286722411,-0.04789114327440536
NGD,2021-06-28,1.81,1.82,1.8,1.82,17920,1.82,1.944129470243481,2.0121296366962174,-0.0680001664527363,-0.04025162192494636
NGD,2021-06-25,1.87,1.88,1.86,1.86,24933,1.86,1.9666984648332049,2.0275000076319145,-0.0608015427987096,-0.033314485792998866
NGD,2021-06-24,1.86,1.88,1.85,1.85,31400,1.85,1.9860981857119693,2.0409000082424678,-0.054801822530498,-0.026442721541571172
NGD,2021-06-23,1.88,1.88,1.88,1.88,4123,1.88,2.0108433103868726,2.0561720089018647,-0.0453286985149921,-0.01935294629433934
NGD,2021-06-22,1.91,1.93,1.89,1.92,74993,1.92,2.034633003184486,2.070265769614014,-0.0356327664295279,-0.01285900823917615
NGD,2021-06-21,1.89,1.9,1.885,1.8985,58059,1.8985,2.055475367399847,2.082287031183135,-0.0268116637832882,-0.007165568691588199
NGD,2021-06-18,1.98,1.99,1.97,1.975,30384,1.975,2.084016343290728,2.096989993677786,-0.0129736503870581,-0.002254044918663185
NGD,2021-06-17,2.0,2.03,1.98,2.0,346265,2.0,2.1038374966163147,2.106749193172009,-0.0029116965556941,0.00042585644843554614
NGD,2021-06-16,2.14,2.14,2.12,2.1399,48609,2.1399,2.1227170414556444,2.1152891286257693,0.007427912829875,0.001260244699467963
NGD,2021-06-15,2.19,2.19,2.18,2.18,33040,2.18,2.1195928671748527,2.113320258915831,0.0062726082590218,-0.00028167233313381975
NGD,2021-06-14,2.12,2.1315,2.11,2.1315,133330,2.1315,2.108609752115735,2.1079858796290973,0.0006238724866376,-0.0019202424811727427
NGD,2021-06-11,2.16,2.18,2.16,2.17,65496,2.17,2.1044478888640508,2.106104749999425,-0.0016568611353742,-0.002556271223125339
NGD,2021-06-10,2.0,2.04,2.0,2.04,414535,2.04,2.092529323202969,2.100993129999379,-0.00846380679641,-0.0027811237450631188
NGD,2021-06-09,2.07,2.08,2.07,2.08,67065,2.08,2.102080109239872,2.1058725803993297,-0.0037924711594574,-0.0013604529822263951
NGD,2021-06-08,2.11,2.12,2.1,2.11,47938,2.11,2.106094674556213,2.107942386831276,-0.001847712275063,-0.000752448437918627
NGD,2021-06-07,2.09,2.1,2.07,2.08,71249,2.08,2.105384615384615,2.1077777777777778,-0.0023931623931625,-0.00047863247863251247
NGD,2021-06-04,2.1,2.11,2.1,2.11,81211,2.11,2.11,2.11,0.0,0.0
