Symbol,Date,Open,High,Low,Close,Volume,PHX SMA,PHX spanTwelveEMA,PHX spanTwntySixEMA,PHX_x,PHX_y
PHX,2020-09-29,1.75,1.7622,1.66,1.75,12353,1.75,1.7294081397485894,1.828805614560956,-0.09939747481236627,-0.10467388987746548
PHX,2020-09-28,1.65,1.67,1.6312,1.64,12738,1.6399999999999997,1.7256641651574238,1.835110063725832,-0.10944589856840836,-0.10599299364374024
PHX,2020-09-25,1.61,1.63,1.6,1.6,1806,1.6,1.7412394679133192,1.850718868823899,-0.10947940091057973,-0.10512976741257327
PHX,2020-09-24,1.67,1.68,1.6101,1.65,23115,1.65,1.766919371170286,1.8707763783298104,-0.10385700715952463,-0.10404235903807166
PHX,2020-09-23,1.7,1.72,1.7,1.72,1436,1.7200000000000002,1.7881774386557925,1.8884384885961956,-0.10026104994040286,-0.10408869700770847
PHX,2020-09-22,1.72,1.76,1.72,1.74,3048,1.74,1.8005733365932093,1.9019135676838907,-0.10134023109068167,-0.10504560877453481
PHX,2020-09-21,1.77,1.77,1.73,1.739,4325,1.739,1.8115866705192476,1.9148666530986025,-0.10327998257935488,-0.10597195319549814
PHX,2020-09-18,1.74,1.74,1.74,1.74,3329,1.74,1.8247842469772924,1.9289359853464905,-0.10415173836919787,-0.10664494584953393
PHX,2020-09-17,1.76,1.8,1.7590000000000001,1.8,3395,1.8,1.8401995646095275,1.9440508641742096,-0.10385129956468232,-0.10726824771961789
PHX,2020-09-16,1.78,1.8116,1.77,1.81,9456,1.8100000000000005,1.847508576356714,1.9555749333081465,-0.1080663569514324,-0.10812248475835183
PHX,2020-09-15,1.79,1.8,1.7899,1.8,7729,1.8000000000000005,1.85432831751248,1.967220927972798,-0.11289261046031808,-0.10813651671008168
PHX,2020-09-14,1.82,1.82,1.7993,1.7993,1876,1.7993000000000003,1.86420619342384,1.980598602210622,-0.11639240878678205,-0.10694749327252262
PHX,2020-09-11,1.77,1.77,1.73,1.73,2873,1.7300000000000002,1.8760073195009013,1.9951024903874717,-0.11909517088656996,-0.10458626439395781
PHX,2020-09-10,1.78,1.81,1.75,1.7866,12954,1.7866000000000004,1.9025541048647017,2.0163106896184693,-0.1137565847537676,-0.10095903777080464
PHX,2020-09-09,1.92,1.92,1.82,1.84,15893,1.8400000000000007,1.9236366693855564,2.0346875447879467,-0.11105087540239024,-0.0977596510250639
PHX,2020-09-08,1.89,1.91,1.82,1.82,27517,1.820000000000001,1.9388433365465665,2.0502625483709824,-0.11141921182441594,-0.0944368449307323
PHX,2020-09-08,1.89,1.91,1.82,1.82,27517,1.820000000000001,1.9604512159186696,2.068683552240661,-0.10823233632199124,-0.09019125320731139
PHX,2020-09-04,1.97,2.0,1.93,1.964,37984,1.9640000000000009,1.9859878006311549,2.088578236419913,-0.1025904357887586,-0.08568098242864142
PHX,2020-09-03,2.04,2.2,1.8693,1.92,463656,1.9200000000000004,1.989985582564092,2.0985444953335066,-0.10855891276941444,-0.08145361908861222
PHX,2020-09-02,1.8,1.8201,1.8,1.81,14728,1.8100000000000005,2.0027102339393816,2.112828054960187,-0.11011782102080536,-0.07467729566841161
PHX,2020-09-01,1.89,1.89,1.8,1.8301,15989,1.8301000000000005,2.0377484582919965,2.137054299357002,-0.0993058410650054,-0.06581716433031316
PHX,2020-08-31,1.91,1.93,1.87,1.88,10468,1.88,2.075502723435996,2.1616106433055617,-0.08610791986956645,-0.0574449951466401
PHX,2020-08-28,1.95,2.08,1.87,1.9,178505,1.9000000000000004,2.1110486731516307,2.184139494770007,-0.07309082161837566,-0.050279263965908726
PHX,2020-08-27,2.22,2.22,2.15,2.15,7515,2.150000000000001,2.1494211591792003,2.206870654351607,-0.057449495172406724,-0.04457637455279188
PHX,2020-08-26,2.11,2.11,2.0773,2.0773,3713,2.077300000000001,2.1493159153936,2.2114203066997358,-0.06210439130613521,-0.04135809439788816
PHX,2020-08-25,2.02,2.05,2.01,2.05,8114,2.0500000000000016,2.1624097181924364,2.2221499312357142,-0.05974021304327781,-0.03617152017082628
PHX,2020-08-24,2.07,2.1,2.05,2.07,19994,2.0700000000000007,2.18284784877288,2.2359219257345715,-0.05307407696169175,-0.030279346952713396
PHX,2020-08-21,2.13,2.13,2.07,2.11,5936,2.1100000000000017,2.2033656394588577,2.249195679793337,-0.045830040334478905,-0.024580664450468914
PHX,2020-08-20,2.12,2.134,2.0725,2.1092,16545,2.1092000000000017,2.2203412102695594,2.2603313341768043,-0.03999012390724488,-0.019268320479466305
PHX,2020-08-19,2.15,2.1708,2.15,2.16,6433,2.160000000000001,2.2405487030458433,2.272421840910949,-0.03187313786510604,-0.014087869622521659
PHX,2020-08-18,2.15,2.19,2.15,2.1701,6495,2.170100000000001,2.2551939217814505,2.2814155881838247,-0.026221666402374225,-0.009641552561875674
PHX,2020-08-17,2.2,2.2,2.11,2.15,32218,2.1500000000000017,2.2706655439235317,2.2903208352385307,-0.019655291314998543,-0.005496524101751036
PHX,2020-08-14,2.21,2.29,2.15,2.2081,25159,2.208100000000002,2.292604733727811,2.3015465020576134,-0.008941768329802091,-0.0019568322984390464
PHX,2020-08-13,2.34,2.34,2.26,2.2968,7255,2.296800000000003,2.3079692307692308,2.3090222222222216,-0.0010529914529913142,-0.00021059829059817404
PHX,2020-08-12,2.41,2.41,2.3,2.31,7923,2.310000000000003,2.31,2.31,0.0,0.0
