Symbol,Date,Open,High,Low,Close,Volume,ENDP SMA,ENDP spanTwelveEMA,ENDP spanTwntySixEMA,ENDP_x,ENDP_y
ENDP,2021-11-04,4.98,5.02,4.97,5.0199,47529,5.0199,4.554650457702395,4.2365174677279605,0.3181329899744343,0.2675191875988732
ENDP,2021-11-03,5.03,5.07,5.01,5.02,66545,5.02,4.470059631830103,4.1738468651461975,0.2962127666839054,0.25486573700498294
ENDP,2021-11-02,4.99,5.01,4.87,5.005,292558,5.005,4.370070473981031,4.1061546143578935,0.263915859623137,0.24452897958525235
ENDP,2021-11-01,4.18,4.3,4.17,4.28,34109,4.28,4.254628741977581,4.0342469835065256,0.2203817584710554,0.23968225957578093
ENDP,2021-10-29,4.28,4.29,4.21,4.24,56647,4.24,4.250015785973504,4.014586742187047,0.235429043786457,0.2445073848519623
ENDP,2021-10-28,4.2,4.23,4.155,4.155,48635,4.155,4.251836837968687,3.9965536815620113,0.255283156406676,0.2467769701183386
ENDP,2021-10-27,4.32,4.36,4.311,4.35,48403,4.35,4.269443535781177,3.983877976086972,0.2855655596942048,0.24465042354625424
ENDP,2021-10-26,4.71,4.77,4.52,4.54,301242,4.54,4.254796905923209,3.95458821417393,0.3002086917492792,0.2344216395092666
ENDP,2021-10-25,4.61,4.64,4.59,4.64,81316,4.64,4.202941797909247,3.907755271307844,0.2951865266014031,0.21797487644926342
ENDP,2021-10-22,4.7119,4.72,4.58,4.71,158202,4.71,4.123476670256384,3.849175693012472,0.2743009772439122,0.1986719639112285
ENDP,2021-10-21,4.3,4.33,4.3,4.33,82495,4.33,4.016836064848453,3.780309748453469,0.236526316394984,0.17976471057805768
ENDP,2021-10-20,4.2,4.25,4.12,4.18,84322,4.18,3.959897167548172,3.736334528329747,0.2235626392184251,0.16557430912382598
ENDP,2021-10-19,4.2128,4.2128,4.13,4.1462,33059,4.1462,3.9198784707387486,3.700841290596127,0.2190371801426218,0.1510772266001762
ENDP,2021-10-18,4.18,4.18,4.12,4.175,127249,4.175,3.878729101782157,3.665212593843817,0.2135165079383401,0.1340872382145649
ENDP,2021-10-15,4.21,4.23,4.165,4.1836,88083,4.1836,3.824861665742549,3.624429601351322,0.2004320643912271,0.1142299207836212
ENDP,2021-10-14,4.14,4.14,4.08,4.09,40302,4.09,3.759636514059377,3.5796959694594284,0.1799405445999484,0.0926793848817198
ENDP,2021-10-13,4.13,4.13,4.07,4.0988,57813,4.0988,3.6995704257065367,3.5388716470161823,0.1606987786903544,0.07086409495216263
ENDP,2021-10-12,4.1749,4.21,4.11,4.155,79493,4.155,3.626983230380452,3.494077378777477,0.1329058516029753,0.048405424017614676
ENDP,2021-10-11,4.2064,4.21,4.06,4.18,179853,4.18,3.530980181358716,3.4412035690796747,0.0897766122790413,0.027280317121274517
ENDP,2021-10-08,3.66,3.71,3.6,3.645,96578,3.645,3.412976577969392,3.382099854606049,0.0308767233633431,0.011656243331832811
ENDP,2021-10-07,3.44,3.45,3.39,3.3932,18755,3.3932,3.370790501236554,3.3610678429745326,0.0097226582620213,0.006851123323955232
ENDP,2021-10-06,3.49,3.49,3.35,3.36,91933,3.36,3.3667160469159274,3.358497270412496,0.008218776503432,0.006133239589438704
ENDP,2021-10-05,3.44,3.45,3.38,3.3911,60432,3.3911,3.367937146355187,3.358377052045495,0.009560094309692,0.005611855360940477
ENDP,2021-10-04,3.42,3.43,3.38,3.42,170308,3.42,3.363725718419767,3.355759216209135,0.0079665022106318,0.004624795623752579
ENDP,2021-10-01,3.26,3.28,3.24,3.2686,94588,3.2686,3.353494030859725,3.350619953505866,0.0028740773538591,0.003789368977032752
ENDP,2021-09-30,3.3652,3.42,3.3505,3.37,61028,3.37,3.368929309197857,3.3571815497863358,0.0117477594115218,0.004018191882826155
ENDP,2021-09-29,3.46,3.49,3.45,3.49,61643,3.49,3.3687346381429224,3.356156073769242,0.0125785643736802,0.0020858000006523446
ENDP,2021-09-28,3.3933,3.42,3.37,3.408,56342,3.408,3.346686390532545,3.345448559670782,0.0012378308617626,-0.0005373910926046222
ENDP,2021-09-27,3.28,3.2835,3.26,3.2835,56932,3.2835,3.335538461538462,3.3404444444444445,-0.0049059829059827,-0.0009811965811965528
ENDP,2021-09-24,3.33,3.355,3.31,3.345,177836,3.345,3.345,3.345,0.0,0.0
