Symbol,Date,Open,High,Low,Close,Volume,RGRX SMA,RGRX spanTwelveEMA,RGRX spanTwntySixEMA,RGRX_x,RGRX_y
RGRX,2021-01-04,0.45,0.45,0.42,0.445,6550,0.445,0.4796420746022991,0.5075150679352147,-0.0278729933329156,-0.02566068024164645
RGRX,2021-01-04,0.45,0.45,0.42,0.445,6550,0.445,0.485940633620899,0.5125162733700319,-0.02657563974913296,-0.025107601968829146
RGRX,2020-12-31,0.35100000000000003,0.48,0.35100000000000003,0.48,21679,0.48,0.4933843851883351,0.5179175752396344,-0.024533190051299336,-0.024740592523753203
RGRX,2020-12-30,0.5,0.5,0.3945,0.45,39477,0.4500000000000001,0.4958179097680324,0.5209509812588052,-0.025133071490772815,-0.02479244314186667
RGRX,2020-12-29,0.49,0.49,0.4315,0.455,15938,0.455,0.5041484388167656,0.5266270597595096,-0.022478620942744,-0.024707286054640128
RGRX,2020-12-28,0.53,0.54,0.53,0.54,10990,0.54,0.5130845186016322,0.5323572245402703,-0.01927270593863817,-0.025264452332614158
RGRX,2020-12-28,0.53,0.54,0.53,0.54,10990,0.54,0.5081907947110198,0.5317458025034919,-0.023555007792472105,-0.02676238893110815
RGRX,2020-12-24,0.4123,0.54,0.4123,0.54,3025,0.54,0.5024073028402961,0.5310854667037712,-0.028678163863475107,-0.02756423421576716
RGRX,2020-12-23,0.56,0.56,0.52,0.52,4794,0.52,0.4955722669930772,0.5303723040400729,-0.034800037046995635,-0.027285751803840175
RGRX,2020-12-22,0.51145,0.51145,0.445,0.5,38225,0.5,0.4911308609918185,0.5312020883632786,-0.040071227371460134,-0.02540718049305131
RGRX,2020-12-21,0.37,0.44,0.37,0.37,37996,0.37,0.4895182902630583,0.5336982554323411,-0.04417996516928269,-0.021741168773449105
RGRX,2020-12-18,0.4,0.4,0.354,0.38,60134,0.38,0.5112488884927052,0.5467941158669282,-0.035545227374222936,-0.016131469674490695
RGRX,2020-12-17,0.444,0.45,0.4383,0.45,17647,0.4500000000000001,0.5351123227641061,0.5601376451362824,-0.02502532237217625,-0.01127803024955763
RGRX,2020-12-16,0.5299,0.5299,0.446,0.48,8692,0.48,0.5505872905393981,0.5689486567471851,-0.018361366207786837,-0.007841207218902971
RGRX,2020-12-15,0.48,0.528,0.48,0.528,1200,0.528,0.5634213433647433,0.5760645492869597,-0.012643205922216459,-0.005211167471681979
RGRX,2020-12-14,0.49,0.524,0.49,0.524,2125,0.524,0.5698615876128784,0.5799097132299165,-0.01004812561703805,-0.0033531578590483583
RGRX,2020-12-11,0.55,0.55,0.55,0.55,2000,0.55,0.5782000580879472,0.5843824902883097,-0.006182432200362521,-0.0016794159195509348
RGRX,2020-12-10,0.56,0.56,0.55,0.55,8768,0.55,0.5833273413766649,0.5871330895113744,-0.003805748134709575,-0.0005536618493480385
RGRX,2020-12-09,0.61,0.61,0.5501,0.5999,12212,0.5999000000000001,0.589386857990604,0.5901037366722844,-0.0007168786816804662,0.0002593597219923455
RGRX,2020-12-08,0.5565,0.5615,0.4432,0.5479999999999999,46101,0.5479999999999999,0.5874753776252593,0.5893200356060672,-0.0018446579808079067,0.0005034193229105484
RGRX,2020-12-07,0.5979,0.5979,0.596,0.596,2100,0.596,0.59465271901167,0.5926256384545525,0.0020270805571175328,0.0010904386488401622
RGRX,2020-12-04,0.6,0.6,0.6,0.6,1000,0.6,0.5944077588319736,0.5923556895309167,0.002052069301056947,0.0008562781717708194
RGRX,2020-12-03,0.6,0.6,0.57,0.6,4100,0.6,0.5933909877105142,0.5917441446933901,0.0016468430171241446,0.0005573303894492875
RGRX,2020-12-02,0.6,0.6,0.6,0.6,15000,0.6,0.5921893491124259,0.5910836762688614,0.0011056728435645537,0.00028495223253057313
RGRX,2020-12-01,0.58,0.595,0.58,0.595,8000,0.5949999999999999,0.5907692307692307,0.5903703703703703,0.0003988603988603901,7.977207977207802e-05
RGRX,2020-11-30,0.57,0.595,0.57,0.59,3353,0.5899999999999999,0.59,0.59,0.0,0.0
