Symbol,Date,Open,High,Low,Close,Volume,NCTY SMA,NCTY spanTwelveEMA,NCTY spanTwntySixEMA,NCTY_x,NCTY_y
NCTY,2020-12-09,3.31,3.42,3.2601,3.364,113533,3.364,3.125486523006333,2.903734910108555,0.2217516128977781,0.23352730364104884
NCTY,2020-12-08,3.34,3.37,3.2,3.2345,38298,3.2345,3.0821204362802117,2.86691370291724,0.2152067333629728,0.2364712263268665
NCTY,2020-12-07,3.1,3.14,2.99,3.06,19558,3.0599999999999987,3.0544150610584326,2.8375067991506184,0.2169082619078142,0.24178734956784015
NCTY,2020-12-04,3.29,3.31,3.1,3.15,65641,3.149999999999999,3.0533996176145117,2.8197073430826682,0.2336922745318435,0.2480071214828466
NCTY,2020-12-03,3.07,3.15,3.0476,3.14,54404,3.1399999999999992,3.0358359117262412,2.7932839305292814,0.24255198119695945,0.25158583322059735
NCTY,2020-12-02,3.02,3.02,2.85,2.8688,50966,2.868799999999999,3.0168969865855577,2.765546644971624,0.251350341613934,0.2538442962265067
NCTY,2020-12-01,2.98,3.0,2.91,2.93,31961,2.93,3.043823711419296,2.7572863765693536,0.28653733484994204,0.25446778487965
NCTY,2020-11-30,3.27,3.27,2.93,3.0,270459,3.0,3.0645189316773496,2.7434692866949018,0.32104964498244737,0.24645039738707686
NCTY,2020-11-27,3.56,3.67,3.43,3.5691,314616,3.5691,3.076249646527777,2.7229468296304944,0.3533028168972825,0.22780058548823412
NCTY,2020-11-27,3.56,3.67,3.43,3.5691,314616,3.5691,2.986640491351009,2.655254576000934,0.3313859153500753,0.196425027635972
NCTY,2020-11-25,3.57,3.6899,3.51,3.67,110863,3.6699999999999986,2.880738762505738,2.5821469420810086,0.29859182042472954,0.16268480570744615
NCTY,2020-11-24,3.96,3.96,3.28,3.5298,569989,3.529799999999998,2.737236719324964,2.4951186974474893,0.2421180218774741,0.12870805202812527
NCTY,2020-11-23,3.55,4.09,3.5,3.5798,2294035,3.5797999999999988,2.593134304656775,2.412344193243288,0.1807901114134869,0.10035555956578794
NCTY,2020-11-20,2.63,2.74,2.61,2.6369,231276,2.6368999999999985,2.4137405418670976,2.318947728702751,0.09479281316434653,0.08024692160386321
NCTY,2020-11-19,2.42,2.42,2.38,2.38,20864,2.379999999999998,2.3731660949338433,2.2935115469989715,0.07965454793487138,0.07661044871374237
NCTY,2020-11-18,2.31,2.3798,2.31,2.31,21831,2.309999999999998,2.371923566739996,2.2865924707588894,0.08533109598110666,0.07584942390846
NCTY,2020-11-17,2.34,2.42,2.2827,2.37,122625,2.369999999999998,2.3831823970563595,2.2847198684196,0.0984625286367593,0.07347900589029834
NCTY,2020-11-16,2.55,2.58,2.36,2.4376,103608,2.437599999999998,2.385579196521152,2.277897457893168,0.10768173862798402,0.06723312520368309
NCTY,2020-11-13,2.74,2.82,2.6,2.69,260364,2.6899999999999973,2.376120868615907,2.265121254524621,0.11099961409128543,0.057120971847607845
NCTY,2020-11-12,2.4746,2.59,2.4746,2.5643,38477,2.564299999999997,2.3190519356369808,2.231130954886591,0.08792098075038979,0.043651311286688324
NCTY,2020-11-11,2.41,2.55,2.405,2.53,107873,2.529999999999997,2.274461378480068,2.204477431277518,0.0699839472025503,0.032583893920762955
NCTY,2020-11-10,2.3,2.32,2.255,2.2839,24669,2.283899999999997,2.2279998109309904,2.1784356257797195,0.04956418515127048,0.02323388060031623
NCTY,2020-11-09,2.25,2.38,2.24,2.36,42855,2.3599999999999968,2.21783614019117,2.1699984758420974,0.04783766434907255,0.016651304462577555
NCTY,2020-11-06,2.5,2.61,2.42,2.4995,153507,2.499499999999997,2.1919881656804736,2.1547983539094653,0.03718981177100833,0.008854714490953805
NCTY,2020-11-05,2.235,2.2999,2.18,2.23,49294,2.2299999999999973,2.1360769230769234,2.1272222222222226,0.008854700854700859,0.0017709401709401719
NCTY,2020-11-04,2.22,2.27,2.119,2.119,85855,2.1189999999999976,2.119,2.119,0.0,0.0
