Symbol,Date,Open,High,Low,Close,Volume,SSFT SMA,SSFT spanTwelveEMA,SSFT spanTwntySixEMA,SSFT_x,SSFT_y
SSFT,2020-11-05,0.0605,0.07,0.0605,0.07,16448,0.07,0.06881889921682426,0.07476952756558458,-0.005950628348760326,-0.006693246943176306
SSFT,2020-11-04,0.0625,0.065,0.06,0.065,15500,0.065,0.06860415361988323,0.07515108977083135,-0.006546936150948132,-0.0068789015917803
SSFT,2020-11-03,0.06425,0.065,0.062,0.065,46250,0.065,0.0692594542780438,0.07596317695249785,-0.006703722674454057,-0.006961892951988345
SSFT,2020-11-02,0.063,0.068,0.061,0.068,18313,0.068,0.0700339005104154,0.07684023110869767,-0.006806330598282284,-0.007026435521371916
SSFT,2020-10-30,0.061,0.068,0.061,0.068,14665,0.068,0.0704037006032182,0.0775474495973935,-0.007143748994175303,-0.0070814617521443276
SSFT,2020-10-29,0.075,0.075,0.061,0.07,50317,0.07,0.07084073707653059,0.07831124556518497,-0.007470508488654395,-0.0070658899416365835
SSFT,2020-10-28,0.0593,0.0625,0.0593,0.0625,37833,0.0625,0.07099359836317251,0.07897614521039978,-0.00798254684722727,-0.006964735304882134
SSFT,2020-10-27,0.0626,0.0626,0.055,0.055,95564,0.05499999999999999,0.07253788897465842,0.08029423682723176,-0.007756347852573342,-0.0067102824192958495
SSFT,2020-10-26,0.078,0.08,0.07,0.0705,80750,0.07050000000000001,0.07572659606095994,0.0823177757734103,-0.006591179712450365,-0.0064487660609764755
SSFT,2020-10-23,0.077,0.078,0.07,0.07,59000,0.07000000000000002,0.07667688625386175,0.08326319783528313,-0.006586311581421382,-0.006413162648108002
SSFT,2020-10-22,0.07,0.076,0.0675,0.076,41500,0.07600000000000001,0.07789086557274573,0.08432425366210579,-0.006433388089360072,-0.006369875414779657
SSFT,2020-10-21,0.077,0.077,0.07,0.07,13290,0.07000000000000002,0.07823465931324493,0.08499019395507426,-0.006755534641829332,-0.0063539972461345556
SSFT,2020-10-20,0.078,0.078,0.07,0.078,11100,0.07800000000000001,0.07973187009747128,0.08618940947148021,-0.006457539374008933,-0.006253612897210861
SSFT,2020-10-19,0.075,0.075,0.07,0.0725,24629,0.07250000000000002,0.0800467555697388,0.08684456222919862,-0.0067978066594598366,-0.006202631278011342
SSFT,2020-10-16,0.071,0.075,0.071,0.075,21100,0.07500000000000002,0.08141889294605494,0.08799212720753452,-0.006573234261479585,-0.006053837432649221
SSFT,2020-10-15,0.08,0.08,0.07400000000000001,0.08,16499,0.08000000000000003,0.0825859643907922,0.08903149738413729,-0.00644553299334509,-0.0059239882254416305
SSFT,2020-10-14,0.075,0.08,0.075,0.0775,85784,0.07750000000000003,0.0830561397345726,0.08975401717486826,-0.006697877440295666,-0.005793602033465765
SSFT,2020-10-13,0.075,0.075,0.075,0.075,3500,0.07500000000000002,0.08406634695904035,0.09073433854885772,-0.0066679915898173745,-0.00556753318175829
SSFT,2020-10-12,0.075,0.08,0.075,0.08,29425,0.08000000000000003,0.08571477367886586,0.09199308563276634,-0.006278311953900481,-0.005292418579743519
SSFT,2020-10-09,0.083,0.083,0.075,0.083,27200,0.08300000000000002,0.08675382343865964,0.09295253248338764,-0.006198709044727996,-0.005045945236204278
SSFT,2020-10-08,0.083,0.083,0.083,0.083,130,0.08300000000000002,0.08743633679114321,0.09374873508205864,-0.0063123982909154405,-0.004757754284073348
SSFT,2020-10-07,0.077,0.081,0.077,0.081,19000,0.08100000000000003,0.08824294348044197,0.09460863388862334,-0.006365690408181357,-0.004369093282362827
SSFT,2020-10-06,0.08,0.081,0.008,0.081,51381,0.08100000000000003,0.08955984229506779,0.0956973245997132,-0.006137482304645407,-0.0038699440009081904
