Symbol,Date,Open,High,Low,Close,Volume,RZLT SMA,RZLT spanTwelveEMA,RZLT spanTwntySixEMA,RZLT_x,RZLT_y
RZLT,2020-08-04,0.35,0.35,0.32,0.32,36383,0.32,0.32,0.32,0.0,0.0
RZLT,2020-08-03,0.344,0.344,0.32,0.32,31339,0.32,0.32,0.32,0.0,0.0
RZLT,2020-08-03,0.344,0.344,0.32,0.32,31339,0.32,0.32,0.32,0.0,0.0
RZLT,2020-08-03,0.344,0.344,0.32,0.32,31339,0.32,0.32,0.32,0.0,0.0
RZLT,2020-07-31,0.344,0.344,0.31,0.31,12100,0.31,0.3184615384615385,0.31925925925925924,-0.0007977207977207801,-0.00015954415954415603
RZLT,2020-07-30,0.336,0.336,0.318,0.318,4050,0.318,0.31839053254437866,0.3191659807956104,-0.0007754482512317695,-0.0002827249778816788
RZLT,2020-07-29,0.3,0.31,0.3,0.31,2560,0.31,0.31709968138370503,0.31848701925519485,-0.0013873378714898132,-0.0005036475566033056
RZLT,2020-07-28,0.34,0.357525,0.32005,0.357525,50003,0.3575249999999999,0.32331896117082737,0.32137872153258784,0.001940239638239527,-1.4870117634739133e-05
RZLT,2020-07-27,0.33,0.345,0.33,0.34,119670,0.34,0.3258852748368539,0.3227580754931369,0.003127199343717024,0.0006135437746356135
RZLT,2020-07-27,0.33,0.345,0.33,0.34,119670,0.3399999999999999,0.3280567710157995,0.3240352550862379,0.004021515929561625,0.0012951382056208159
RZLT,2020-07-27,0.33,0.345,0.33,0.34,119670,0.3399999999999999,0.32989419085952265,0.3252178287835536,0.004676362075969054,0.0019713829796904636
RZLT,2020-07-24,0.31,0.31,0.30495,0.30495,34850,0.3049499999999999,0.32605662303498073,0.32371650813292,0.002340114902060764,0.0020451293641645238
RZLT,2020-07-23,0.3,0.32,0.3,0.31,73767,0.3099999999999999,0.3235863733372914,0.3227004704934444,0.0008859028438469864,0.0018132840601010165
RZLT,2020-07-22,0.25,0.2666,0.25,0.2656,45724,0.2655999999999999,0.3146653928238619,0.3184708060124485,-0.0038054131885866256,0.000689544610363488
RZLT,2020-07-21,0.2675,0.268,0.2565,0.2565,109735,0.2564999999999999,0.3057168708509601,0.3138803759374524,-0.008163505086492273,-0.0010810653290076642
