Symbol,Date,Open,High,Low,Close,Volume,ENZN SMA,ENZN spanTwelveEMA,ENZN spanTwntySixEMA,ENZN_x,ENZN_y
ENZN,2020-08-04,0.172,0.172,0.172,0.172,360,0.172,0.172,0.172,0.0,0.0
ENZN,2020-08-03,0.2,0.2,0.2,0.2,5060,0.2,0.1763076923076923,0.17407407407407405,0.002233618233618257,0.0004467236467236514
ENZN,2020-08-03,0.2,0.2,0.2,0.2,5060,0.2,0.17995266272189347,0.17599451303155006,0.003958149690343443,0.0011490088554476099
ENZN,2020-08-03,0.2,0.2,0.2,0.2,5060,0.2,0.1830368684569868,0.1777726972514352,0.00526417120555156,0.0019720413254684
ENZN,2020-07-31,0.1748,0.18062999999999999,0.1748,0.18062999999999999,86159,0.18063,0.18266658100206573,0.17798434930688445,0.004682231695181283,0.0025140793994109767
ENZN,2020-07-30,0.175,0.175,0.175,0.175,100,0.17500000000000002,0.18148710700174792,0.17776328639526334,0.0037238206064845463,0.002756027640825691
ENZN,2020-07-29,0.17,0.1749,0.17,0.17,505,0.17000000000000004,0.17971985977070978,0.1771882281437624,0.002531631626947389,0.0027111484380500303
ENZN,2020-07-28,0.17,0.17,0.17,0.17,1500,0.17000000000000007,0.17822449672906213,0.17665576679977998,0.0015687299292821144,0.0024826647362964473
ENZN,2020-07-27,0.1799,0.1799,0.1799,0.1799,1072,0.1799000000000001,0.17848226646305254,0.1768960803701667,0.0015861860928858829,0.0023033690076143345
ENZN,2020-07-27,0.1799,0.1799,0.1799,0.1799,1072,0.17990000000000012,0.17870037931489066,0.17711859293533955,0.0015817863795510867,0.002159052482001685
ENZN,2020-07-27,0.1799,0.1799,0.1799,0.1799,1072,0.17990000000000012,0.178884936343369,0.17732462308827734,0.0015603132550916221,0.0020393046366196724
ENZN,2020-07-24,0.1711,0.1746,0.1711,0.172,26394,0.1720000000000001,0.17782571536746605,0.17693020656321978,0.0008955088042462699,0.001810545470144992
ENZN,2020-07-23,0.171,0.171,0.171,0.171,310,0.1710000000000001,0.1767756053109328,0.17649093200298127,0.00028467330795153845,0.0015053710377063013
ENZN,2020-07-22,0.1725,0.1725,0.1725,0.1725,200,0.17250000000000007,0.1761178198784816,0.17619530741016784,-7.748753168623779e-05,0.0011887993238277937
ENZN,2020-07-21,0.179405,0.179405,0.1702,0.1702,1100,0.17020000000000007,0.1752073860510229,0.17575121056497026,-0.0005438245139473273,0.0008422745562727696
ENZN,2020-07-20,0.163,0.163,0.163,0.163,111,0.16300000000000006,0.17332932665855785,0.17480667644904652,-0.0014773497904886634,0.000378349686920483
ENZN,2020-07-20,0.163,0.163,0.163,0.163,111,0.16300000000000006,0.17174019948031818,0.1739321078231912,-0.002191908342873028,-0.00013570191903821918
ENZN,2020-07-20,0.163,0.163,0.163,0.163,111,0.16300000000000006,0.17039555340642307,0.1731223220585104,-0.002726768652087319,-0.0006539152656480392
ENZN,2020-07-17,0.16425,0.16425,0.1635,0.1635,250,0.16350000000000006,0.16933469903620416,0.17240955746158368,-0.003074858425379523,-0.001138103897594336
ENZN,2020-07-16,0.1715,0.1715,0.1637,0.1637,1760,0.16370000000000004,0.16846782226140353,0.17176440505702192,-0.003296582795618397,-0.001569799677199148
ENZN,2020-07-15,0.162,0.162,0.162,0.162,453,0.16200000000000006,0.16747277268272606,0.17104111579353884,-0.0035683431108127772,-0.001969508363921874
ENZN,2020-07-14,0.17,0.17,0.17,0.17,300,0.17000000000000007,0.1678615768853836,0.17096399610512855,-0.00310241921974494,-0.002196090535086487
ENZN,2020-07-13,0.162,0.162,0.162,0.162,580,0.16200000000000006,0.16695979582609385,0.17029999639363755,-0.003340200567543722,-0.0024249125415779344
ENZN,2020-07-13,0.162,0.162,0.162,0.162,580,0.16200000000000006,0.1661967503143871,0.1696851818459607,-0.003488431531573605,-0.0026376163395770685
ENZN,2020-07-13,0.162,0.162,0.162,0.162,580,0.16200000000000006,0.16555109641986598,0.1691159091166303,-0.0035648126967642853,-0.002823055611014512
ENZN,2020-07-10,0.1651,0.1651,0.165,0.165,6650,0.16500000000000006,0.16546631235527126,0.16881102695984287,-0.0033447146045716136,-0.0029273874097259325
