Symbol,Date,Open,High,Low,Close,Volume,ARPO SMA,ARPO spanTwelveEMA,ARPO spanTwntySixEMA,ARPO_x,ARPO_y
ARPO,2021-01-12,1.18,1.23,1.16,1.1719,631346,1.1719,1.0983729052031963,1.1993300200708688,-0.10095711486767243,-0.14054074567971453
ARPO,2021-01-11,1.12,1.12,1.1,1.115,232108,1.1150000000000002,1.0850043425128684,1.2015244216765382,-0.1165200791636698,-0.15043665338272505
ARPO,2021-01-08,1.14,1.14,1.1,1.11,139041,1.1100000000000003,1.0795505866061172,1.2084463754106614,-0.1288957888045441,-0.15891579693748883
ARPO,2021-01-07,1.12,1.12,1.08,1.0869,189547,1.0869000000000002,1.0740143296254112,1.2163220854435142,-0.14230775581810295,-0.166420798970725
ARPO,2021-01-06,1.1331,1.19,1.1,1.1002,1251794,1.1002,1.0716714804663952,1.2266758522789951,-0.15500437181259996,-0.17244905975888053
ARPO,2021-01-05,1.04,1.06,1.02,1.0484,260317,1.0484,1.0664844769148305,1.2367939204613143,-0.17030944354648406,-0.17681023174545066
ARPO,2021-01-04,0.9951,1.0,0.972,0.9799,179725,0.9798999999999998,1.0697725636266178,1.2518654340982196,-0.18209287047160186,-0.17843542879519236
ARPO,2021-01-04,0.9951,1.0,0.972,0.9799,179725,0.9798999999999998,1.086113029740548,1.2736226688260772,-0.1875096390855291,-0.17752106837609
ARPO,2020-12-31,1.0,1.0,0.9602,0.977999,203918,0.9779989999999998,1.105424489693375,1.2971204823321636,-0.19169599263878867,-0.17502392569873015
ARPO,2020-12-30,0.9696,0.9874,0.9681,0.975,93829,0.9749999999999998,1.128592760546716,1.3226502009187366,-0.1940574403720208,-0.1708559089637155
ARPO,2020-12-29,1.01,1.02,1.01,1.02,238596,1.0199999999999996,1.1565187170097553,1.3504622169922356,-0.19394349998248028,-0.16505552611163923
ARPO,2020-12-28,1.05,1.07,1.04,1.05,120111,1.0499999999999994,1.1813403019206201,1.3768991943516145,-0.19555889243099456,-0.15783353264392896
ARPO,2020-12-28,1.05,1.07,1.04,1.05,120111,1.0499999999999996,1.2052203568152782,1.4030511298997437,-0.19783077308446573,-0.1484021926971626
ARPO,2020-12-24,1.09,1.09,1.05,1.06,151257,1.0599999999999994,1.2334422398726008,1.4312952202917233,-0.19785298041912225,-0.13604504760033684
ARPO,2020-12-23,1.03,1.04,1.01,1.0242,209658,1.0241999999999991,1.2649771925767104,1.4609988379150614,-0.19602164533835095,-0.12059306439564041
ARPO,2020-12-22,1.05,1.06,1.02,1.0246,312686,1.024599999999999,1.3087548639542939,1.4959427449482658,-0.18718788099397196,-0.10173591915996276
ARPO,2020-12-21,1.0,1.05,1.0,1.04,1972281,1.0399999999999991,1.3604193846732566,1.5336501645441272,-0.17323077987087054,-0.08037292870146046
ARPO,2020-12-18,1.0,1.025,1.0,1.0116,339634,1.0115999999999992,1.4186774546138492,1.5731421777076573,-0.15446472309380832,-0.057158465909107926
ARPO,2020-12-17,1.04,1.05,1.04,1.04,201977,1.0399999999999991,1.4926915372709124,1.6180655519242702,-0.1253740146533575,-0.03283190161293288
ARPO,2020-12-16,1.08,1.08,1.02,1.0389,1228446,1.038899999999999,1.5749990895019876,1.6643107960782115,-0.08931170657622389,-0.009696373352826665
ARPO,2020-12-15,1.21,1.2102,1.13,1.13,921354,1.129999999999999,1.6724716512296218,1.7143436597644686,-0.04187200853484674,0.010207459953022642
ARPO,2020-12-14,1.22,1.25,1.13,1.1402,5609212,1.1401999999999992,1.7711028605440986,1.7610911525456259,0.010011707998472508,0.023227327074989985
ARPO,2020-12-11,2.13,2.2640000000000002,2.1,2.1909,251774,2.190899999999999,1.8858124715521165,1.8107624447492765,0.07505002680284023,0.026531231844119298
ARPO,2020-12-10,1.99,2.1,1.98,2.0903,301044,2.090299999999999,1.8303420118343197,1.7803514403292182,0.049990571505101215,0.01440153310443912
ARPO,2020-12-09,2.3,2.31,2.04,2.075,885482,2.075,1.7830769230769232,1.7555555555555555,0.027521367521367468,0.005504273504273538
ARPO,2020-12-08,1.75,1.77,1.72,1.73,128938,1.729999999999999,1.73,1.73,0.0,0.0
