Symbol,Date,Open,High,Low,Close,Volume,AAU SMA,AAU spanTwelveEMA,AAU spanTwntySixEMA,AAU_x,AAU_y
AAU,2021-01-12,0.5204,0.57,0.514,0.5598989999999999,1153253,0.5598989999999999,0.5205728850195561,0.5598228940747167,-0.03925000905516063,-0.04881649949477397
AAU,2021-01-11,0.501,0.5046,0.49,0.5,254747,0.5,0.513422682295839,0.559816805600694,-0.04639412330485504,-0.0512081221046773
AAU,2021-01-08,0.5394,0.5394,0.5027,0.5029,467641,0.5028999999999999,0.5158631699859915,0.5646021500487496,-0.04873898006275812,-0.05241162180463287
AAU,2021-01-07,0.5425,0.545,0.5076,0.5123,329828,0.5122999999999999,0.5182201099834445,0.5695383220526495,-0.05131821206920506,-0.05332978224010156
AAU,2021-01-06,0.52,0.528,0.5101,0.528,400449,0.5279999999999998,0.5192964936167981,0.5741173878168615,-0.05482089420006342,-0.05383267478282568
AAU,2021-01-05,0.49,0.4942,0.4859,0.4942,280055,0.4941999999999998,0.5177140379107613,0.5778067788422104,-0.060092740931449125,-0.05358561992851625
AAU,2021-01-04,0.4789,0.4887,0.4751,0.4858,304898,0.4857999999999998,0.5219893175308997,0.5844953211495872,-0.06250600361868752,-0.05195883967778304
AAU,2021-01-04,0.4789,0.4887,0.4751,0.4858,304898,0.4857999999999998,0.5285691934456087,0.5923909468415541,-0.06382175339594542,-0.049322048692556915
AAU,2020-12-31,0.465,0.48,0.4611,0.4611,189271,0.4610999999999998,0.5363454104357194,0.6009182225888784,-0.06457281215315902,-0.04569712251670978
AAU,2020-12-30,0.46,0.4699,0.46,0.468713,161308,0.4687129999999998,0.5500263941513047,0.6121036803959886,-0.06207728624468389,-0.040978200107597465
AAU,2020-12-29,0.475,0.485,0.467,0.4775,213577,0.4774999999999998,0.5648106476333601,0.6235749348276677,-0.0587642871943076,-0.03570342857332586
AAU,2020-12-28,0.49,0.491,0.4835,0.4863,217830,0.4862999999999998,0.5806853108394255,0.6352609296138809,-0.054575618774455485,-0.029938213918080422
AAU,2020-12-28,0.49,0.491,0.4835,0.4863,217830,0.4862999999999998,0.5978462764465938,0.6471778039829915,-0.04933152753639769,-0.02377886270398668
AAU,2020-12-24,0.515,0.5155,0.5051,0.509799,304981,0.5097989999999999,0.6181274176187018,0.6600480283016309,-0.04192061068292907,-0.01739069649588393
AAU,2020-12-23,0.49,0.493,0.486,0.4899,352286,0.4898999999999999,0.6378234935493751,0.6720679505657613,-0.034244457016386336,-0.011258217949122639
AAU,2020-12-22,0.5,0.5001,0.48,0.48749899999999996,1188457,0.4874989999999999,0.6647186741947159,0.6866413866110221,-0.02192271241630628,-0.00551165818230674
AAU,2020-12-21,0.75,0.75,0.53,0.585,1195342,0.585,0.6969404331392097,0.702572777539904,-0.005632344400694267,-0.0014088946238068557
AAU,2020-12-18,0.8059999999999999,0.8059999999999999,0.7722,0.7761,204579,0.7761,0.7172932391645206,0.7119785997430963,0.005314639421424293,-0.000353032179585003
AAU,2020-12-17,0.74,0.7485,0.7390000000000001,0.741,74190,0.7410000000000001,0.7066011008307972,0.7068488877225441,-0.00024778689174675955,-0.0017699500798373272
AAU,2020-12-16,0.6992,0.72,0.695,0.7049,244609,0.7049,0.7003467555273059,0.7041167987403475,-0.0037700432130416406,-0.002150490876859941
AAU,2020-12-15,0.675,0.6969,0.675,0.6851,90217,0.6851000000000002,0.6995188928959069,0.7040541426395752,-0.004535249743668368,-0.001745602792814516
AAU,2020-12-14,0.69,0.69,0.6804,0.6838,60796,0.6838,0.7021405097860717,0.7055704740507412,-0.003429964264669572,-0.001048191055101053
AAU,2020-12-11,0.7,0.7098,0.6761,0.6896,125138,0.6896,0.7054751479289939,0.7073121119748006,-0.0018369640458066887,-0.0004527477527089232
AAU,2020-12-10,0.69,0.708,0.6863,0.7065,78189,0.7065000000000001,0.7083615384615383,0.7087290809327846,-0.0003675424712463738,-0.00010669367943448195
AAU,2020-12-09,0.7101,0.72,0.7,0.7065,139977,0.7065000000000002,0.7086999999999999,0.7089074074074074,-0.00020740740740754493,-4.148148148150899e-05
AAU,2020-12-08,0.741,0.741,0.7004,0.7091,285877,0.7091000000000002,0.7091,0.7091,0.0,0.0
