Symbol,Date,Open,High,Low,Close,Volume,AUY SMA,AUY spanTwelveEMA,AUY spanTwntySixEMA,AUY_x,AUY_y
AUY,2021-03-01,4.1,4.16,4.07,4.13,2584365,4.13,4.455691838458789,4.658153656735991,-0.2024618182772011,-0.15187085612177598
AUY,2021-02-26,4.2,4.21,4.1,4.111,2977330,4.111,4.514908536360387,4.70040594927487,-0.1854974129144828,-0.13922311558291944
AUY,2021-02-25,4.45,4.52,4.43,4.4355,2140474,4.4355,4.588346452062276,4.74755842521686,-0.1592119731545835,-0.1276545412500286
AUY,2021-02-24,4.42,4.42,4.3,4.36,3075063,4.36,4.616136716073599,4.772523099234208,-0.1563863831606093,-0.11976518327388984
AUY,2021-02-23,4.55,4.57,4.38,4.43,2630765,4.43,4.66270702808698,4.805524947172945,-0.1428179190859646,-0.11060988330220994
AUY,2021-02-22,4.48,4.58,4.43,4.55,3427006,4.55,4.705017396830067,4.835566942946779,-0.1305495461167121,-0.10255787435627126
AUY,2021-02-19,4.53,4.57,4.49,4.55,1926853,4.55,4.733202378071898,4.858412298382522,-0.125209920310624,-0.09555995641616104
AUY,2021-02-18,4.59,4.64,4.54,4.553,1333894,4.553,4.766511901357697,4.883085282253123,-0.1165733808954261,-0.08814746544254529
AUY,2021-02-17,4.59,4.615,4.49,4.555,4975195,4.555,4.805332247059098,4.909492104833373,-0.1041598577742757,-0.08104098657932507
AUY,2021-02-16,4.76,4.76,4.61,4.66,4578341,4.66,4.8508472010698425,4.937851473220043,-0.0870042721502004,-0.07526126878058739
AUY,2021-02-16,4.76,4.76,4.61,4.66,4578341,4.66,4.88554669217345,4.960079591077646,-0.074532898904196,-0.07232551793818412
AUY,2021-02-12,4.87,4.9,4.76,4.8979,2047737,4.8979,4.926555181659531,4.984085958363857,-0.0575307767043256,-0.07177367269668115
AUY,2021-02-11,4.94,5.01,4.93,5.01,1760765,5.01,4.931765214688537,4.990980835032966,-0.0592156203444291,-0.07533439669477003
AUY,2021-02-10,4.98,5.0,4.91,4.915,1327266,4.915,4.917540708268271,4.989459301835603,-0.0719185935673323,-0.07936409078235523
AUY,2021-02-09,5.03,5.05,4.9548,5.0018,2218405,5.0018,4.918002655226139,4.99541604598245,-0.0774133907563117,-0.08122546508611117
AUY,2021-02-08,4.97,4.99,4.9301,4.98,2066466,4.98,4.902766774358164,4.994905329661046,-0.0921385553028821,-0.08217848366856104
AUY,2021-02-05,4.79,4.8,4.74,4.78,1550083,4.78,4.888724369696011,4.99609775603393,-0.1073733863379189,-0.07968846575998074
AUY,2021-02-04,4.75,4.75,4.625,4.7001,3170540,4.7001,4.908492436913469,5.013385576516645,-0.1048931396031758,-0.0727672356154962
AUY,2021-02-03,4.86,4.91,4.81,4.905,1091139,4.905,4.946381970897736,5.038448422637976,-0.0920664517402398,-0.06473575961857628
AUY,2021-02-02,4.84,4.85,4.71,4.81,3169968,4.81,4.953905965606416,5.049124296449014,-0.0952183308425977,-0.05790308658816038
AUY,2021-02-01,4.95,4.96,4.82,4.84,4545061,4.84,4.980070686625764,5.068254240164935,-0.0881835535391708,-0.04857427552455102
AUY,2021-01-29,4.93,4.97,4.83,4.9214,2553027,4.9214,5.005538084194085,5.086514579378129,-0.0809764951840437,-0.03867195602089606
AUY,2021-01-28,4.75,4.82,4.7,4.765,3243277,4.765,5.020835917683918,5.09972374572838,-0.0788878280444613,-0.028095821230109147
AUY,2021-01-27,4.87,4.87,4.545,4.585,4174240,4.585,5.067351539080994,5.126501645386649,-0.0591501063056547,-0.015397819526520865
AUY,2021-01-26,5.11,5.11,4.94,5.055,4258284,5.055,5.155051818913902,5.169821777017581,-0.0147699581036784,-0.004459747831737169
AUY,2021-01-25,5.21,5.27,5.16,5.16,1548023,5.16,5.173243058716431,5.179007519178987,-0.0057644604625561,-0.0018821952637518536
AUY,2021-01-22,5.11,5.16,5.0415,5.12,1951449,5.12,5.175650887573964,5.180528120713306,-0.004877233139342,-0.0009116289640507703
AUY,2021-01-21,5.29,5.31,5.1621,5.19,1593641,5.19,5.18576923076923,5.18537037037037,0.0003988603988602,7.97720797720558e-05
AUY,2021-01-20,5.21,5.275,5.18,5.185,2394484,5.185,5.185,5.185,0.0,0.0
