Symbol,Date,Open,High,Low,Close,Volume,VERB SMA,VERB spanTwelveEMA,VERB spanTwntySixEMA,VERB_x,VERB_y
VERB,2021-01-19,1.79,1.79,1.65,1.65,357261,1.65,1.7516990629109823,1.7202153369615203,0.031483725949462034,0.04860670172488407
VERB,2021-01-19,1.79,1.79,1.65,1.65,357261,1.65,1.77018980162207,1.7258325639184418,0.044357237703628094,0.052887445668739576
VERB,2021-01-15,1.88,1.88,1.76,1.83,128970,1.83,1.7920424928260827,1.7318991690319172,0.06014332379416554,0.05501999766001739
VERB,2021-01-14,2.07,2.1399,1.97,1.9801,269387,1.9801,1.7851411278853706,1.7240511025544705,0.061090025330900126,0.053739166126480345
VERB,2021-01-13,1.82,1.895,1.81,1.8705,231186,1.8705,1.7496940602281652,1.7035671907588281,0.046126869469337306,0.0519014513253754
VERB,2021-01-12,1.83,1.83,1.73,1.75,122231,1.7499999999999998,1.7277293439060135,1.6902125660195342,0.037516777886479336,0.053345096789384976
VERB,2021-01-11,1.79,1.79,1.71,1.725,151784,1.7249999999999996,1.7236801337071068,1.685429571301097,0.03825056240600988,0.05730217651511138
VERB,2021-01-08,1.8,1.8,1.71,1.72,193867,1.7199999999999993,1.7234401580174898,1.6822639370051846,0.041176221012305225,0.062065080042386755
VERB,2021-01-07,1.7,1.73,1.69,1.7256,94257,1.7255999999999994,1.724065641293397,1.6792450519655993,0.04482058932779776,0.06728729479990714
VERB,2021-01-06,1.77,1.77,1.7,1.72,128804,1.7199999999999993,1.7237866669831057,1.6755366561228469,0.04825001086025837,0.07290397116793448
VERB,2021-01-05,1.7,1.7,1.66,1.68,66601,1.6799999999999995,1.7244751518891246,1.6719795886126751,0.052495563276449664,0.0790674612448534
VERB,2021-01-04,1.68,1.6973,1.61,1.6546,147600,1.6545999999999996,1.7325615431416928,1.6713379557016887,0.06122358744000377,0.08571043573695436
VERB,2021-01-04,1.68,1.6973,1.61,1.6546,147600,1.6545999999999996,1.7467363691674551,1.672676992157824,0.07405937700963118,0.09183214781119194
VERB,2020-12-31,1.68,1.7,1.65,1.6717,108525,1.6716999999999995,1.7634884362888106,1.6741231515304498,0.08936528475836081,0.09627534051158212
VERB,2020-12-30,1.63,1.679,1.61,1.675,88462,1.6749999999999998,1.780177242886776,1.6743170036528856,0.10586023923389054,0.09800285444988746
VERB,2020-12-29,1.755,1.8299,1.75,1.76,178430,1.7599999999999996,1.799300377957099,1.6742623639451164,0.12503801401198267,0.09603850825388674
VERB,2020-12-28,1.98,1.98,1.91,1.97,146712,1.9699999999999995,1.8064459012220264,1.6674033530607255,0.13904254816130068,0.08878863181436275
VERB,2020-12-28,1.98,1.98,1.91,1.97,146712,1.9699999999999995,1.776708792353304,1.6431956213055838,0.1335131710477202,0.0762251527276282
VERB,2020-12-24,2.14,2.17,2.0,2.03,281038,2.03,1.7415649364175412,1.6170512710100309,0.12451366540751052,0.0619031481476052
VERB,2020-12-23,1.86,1.97,1.86,1.9101,309804,1.9101,1.6891221975843669,1.5840153726908333,0.1051068248935334,0.04625051883262892
VERB,2020-12-22,2.06,2.2,2.05,2.1,818152,2.1,1.6489444153269788,1.5579286025061003,0.09101581282087867,0.03153644231740274
VERB,2020-12-21,1.87,1.9,1.84,1.8467,246525,1.8467,1.5669343090227932,1.5145628907065882,0.05237141831620496,0.016666599691533807
VERB,2020-12-18,1.7,1.73,1.68,1.69,345359,1.6899999999999995,1.51606781975421,1.4879919219631152,0.028075897791094876,0.007740395035366018
VERB,2020-12-17,1.56,1.63,1.55,1.61,386725,1.61,1.4844437869822484,1.4718312757201646,0.01261251126208385,0.002656519346433859
VERB,2020-12-16,1.47,1.48,1.45,1.4705,140574,1.4704999999999997,1.4616153846153843,1.4607777777777775,0.000837606837606808,0.0001675213675213616
VERB,2020-12-15,1.4,1.47,1.4,1.46,189741,1.4599999999999995,1.46,1.46,0.0,0.0
