Symbol,Date,Open,High,Low,Close,Volume,TRX SMA,TRX spanTwelveEMA,TRX spanTwntySixEMA,TRX_x,TRX_y
TRX,2020-12-29,0.575,0.59,0.5715,0.59,132507,0.59,0.6061678415729703,0.6100325028528133,-0.0038646612798429736,0.0027588910361985323
TRX,2020-12-28,0.61,0.61,0.583,0.588,70926,0.588,0.6091074491316921,0.6116351030810384,-0.0025276539493462873,0.004414779115208909
TRX,2020-12-28,0.61,0.61,0.583,0.588,70926,0.588,0.6129451671556361,0.6135259113275214,-0.0005807441718853612,0.006150387381347708
TRX,2020-12-24,0.59,0.6,0.59,0.591001,74485,0.591001,0.6174806520930244,0.6155679842337232,0.0019126678593012203,0.007833170269655975
TRX,2020-12-23,0.595,0.5985,0.5831,0.5985,57549,0.5984999999999999,0.6222951342917561,0.6175333429724209,0.0047617913193351855,0.009313295872244663
TRX,2020-12-22,0.6,0.609899,0.593317,0.5974,111470,0.5973999999999999,0.6266215223448027,0.6190560104102145,0.007565511934588209,0.010451172010472033
TRX,2020-12-21,0.6112,0.6299,0.6,0.61,128916,0.6099999999999998,0.6319345264074941,0.6207884912430316,0.011146035164462552,0.011172587029442987
TRX,2020-12-18,0.6461,0.648,0.64,0.6477,26652,0.6476999999999998,0.6359226221179477,0.6216515705424741,0.01427105157547359,0.011179224995688096
TRX,2020-12-17,0.64,0.67,0.63,0.67,102711,0.6699999999999998,0.6337812806848473,0.619567696185872,0.014213584498975253,0.01040626835074172
TRX,2020-12-16,0.65,0.65,0.64,0.64,31614,0.6399999999999998,0.6271960589911832,0.6155331118807419,0.011662947110441356,0.009454439313683338
TRX,2020-12-15,0.66,0.6649,0.6433,0.6433,78228,0.6432999999999996,0.6248680697168529,0.6135757608312011,0.011292308885651805,0.008902312364493833
TRX,2020-12-14,0.6618,0.6765,0.6312,0.6751,124009,0.6750999999999996,0.6215168096653716,0.6111978216976972,0.010318987967674387,0.008304813234204341
TRX,2020-12-11,0.5710000000000001,0.5971,0.5710000000000001,0.5963,128370,0.5962999999999996,0.6117744114227119,0.606085647433513,0.00568876398919893,0.007801269550836829
TRX,2020-12-10,0.6025,0.6025,0.59,0.5934510000000001,36964,0.5934509999999997,0.6145879407722961,0.606868499228194,0.00771944154410198,0.008329395941246303
TRX,2020-12-09,0.625,0.625,0.611,0.61415,22940,0.6141499999999996,0.6184310209127134,0.6079418991664495,0.01048912174626393,0.008481884540532355
TRX,2020-12-08,0.649,0.649,0.6227,0.6227,34277,0.6226999999999996,0.6192093883513886,0.6074452510997653,0.011764137251623286,0.00798007523909946
TRX,2020-12-07,0.6491,0.6491,0.605,0.6474,30289,0.6473999999999995,0.6185747316880047,0.6062248711877466,0.012349860500258105,0.007034059735968504
TRX,2020-12-04,0.6275,0.63,0.621,0.63,26830,0.6299999999999997,0.6133337738130964,0.6029308608827664,0.010402912930330022,0.005705109544896104
TRX,2020-12-03,0.6272,0.64,0.621201,0.6299,23409,0.6298999999999996,0.6103035508700231,0.6007653297533877,0.00953822111663538,0.0045306586985376235
TRX,2020-12-02,0.67,0.67,0.64,0.64,65552,0.6399999999999996,0.6067405601191181,0.5984345561336587,0.008306003985459444,0.003278768094013183
TRX,2020-12-01,0.6268,0.6271,0.62,0.625871,21001,0.6258709999999995,0.600693389231685,0.5951093206243514,0.005584068607333625,0.002021959121151618
TRX,2020-11-30,0.62,0.6271,0.6153,0.6153,57594,0.6152999999999996,0.5961156418192641,0.5926483862742995,0.003467255544964632,0.0011314317496061161
TRX,2020-11-27,0.61,0.6148,0.596,0.6011,30270,0.6010999999999997,0.5926275766954939,0.5908362571762436,0.0017913195192503786,0.0005474758007664873
TRX,2020-11-27,0.61,0.6148,0.596,0.6011,30270,0.6010999999999997,0.5910871360946746,0.590015157750343,0.0010719783443315922,0.0002365148711455145
TRX,2020-11-25,0.605,0.605,0.5793,0.590733,20953,0.5907329999999997,0.5892666153846153,0.5891283703703704,0.00013824501424497537,2.7649002848995077e-05
TRX,2020-11-24,0.6271,0.6271,0.58,0.589,84071,0.5889999999999997,0.589,0.589,0.0,0.0
