Symbol,Date,Open,High,Low,Close,Volume,SESN SMA,SESN spanTwelveEMA,SESN spanTwntySixEMA,SESN_x,SESN_y
SESN,2021-06-18,4.64,4.65,4.58,4.58,167396,4.58,4.087415099578698,3.674956144502672,0.4124589550760262,0.3695180313114656
SESN,2021-06-17,4.26,4.27,4.2295,4.2611,67151,4.2611,3.997854208593007,3.6025526360628857,0.3953015725301214,0.3587828003703254
SESN,2021-06-16,4.16,4.168,4.15,4.16,64915,4.16,3.9499913374281,3.5498688469479163,0.4001224904801832,0.34965310733037636
SESN,2021-06-15,4.29,4.29,4.2615,4.2695,28855,4.2695,3.911807944233209,3.501058354703749,0.410749589529459,0.33703576154292453
SESN,2021-06-14,4.35,4.37,4.3,4.33,176703,4.33,3.846773025002883,3.4395830230800497,0.4071900019228334,0.31860730454629066
SESN,2021-06-11,4.279,4.279,4.22,4.22,42041,4.22,3.7589135750034073,3.3683496649264537,0.3905639100769535,0.296461630202155
SESN,2021-06-10,4.19,4.22,4.17,4.17,43520,4.17,3.675079679549482,3.3002176381205697,0.3748620414289121,0.27293606023345535
SESN,2021-06-09,4.17,4.18,4.14,4.14,107186,4.14,3.585094166740297,3.2306350491702154,0.3544591175700815,0.24745456493459111
SESN,2021-06-08,3.9971,4.04,3.9971,4.02,47357,4.02,3.4842021970567147,3.1578858531038327,0.326316343952882,0.22070342677571847
SESN,2021-06-07,3.81,3.85,3.81,3.85,85575,3.85,3.3867844147033903,3.08891672135214,0.2978676933512507,0.19430019748142754
SESN,2021-06-04,3.74,3.75,3.73,3.75,30396,3.75,3.302563399194916,3.02803005906031,0.2745333401346053,0.16840832351397186
SESN,2021-06-03,3.61,3.61,3.585,3.6074,71202,3.6074,3.2212112899576275,2.970272463785136,0.2509388261724918,0.1418770693588134
SESN,2021-06-02,3.9,3.93,3.88,3.88,83529,3.88,3.150995160859014,2.9193022608879464,0.2316928999710676,0.11461163015539388
SESN,2021-06-01,3.47,3.475,3.44,3.455,116527,3.455,3.0184488264697444,2.842446441758982,0.1760023847107623,0.08534131270147544
SESN,2021-06-01,3.47,3.475,3.44,3.455,116527,3.455,2.93907588582788,2.793442157099701,0.1456337287281788,0.06267604469915371
SESN,2021-05-28,3.2,3.2,3.14,3.14,64387,3.14,2.845271501432949,2.740517529667677,0.1047539717652719,0.04193662369189743
SESN,2021-05-27,2.9812,3.01,2.9812,3.0001,29101,3.0001,2.791684501693485,2.708558932041091,0.083125569652394,0.026232286673553804
SESN,2021-05-26,2.95,2.9639,2.95,2.955,40736,2.955,2.753790774728664,2.685235646604378,0.0685551281242857,0.012008965928843741
SESN,2021-05-25,2.92,2.929,2.91,2.9217,19087,2.9217,2.7172072792247848,2.663654498332728,0.0535527808920566,-0.0021275746200167655
SESN,2021-05-24,2.97,2.98,2.97,2.98,14106,2.98,2.6800267845383816,2.6430108581993466,0.037015926339035,-0.01604766349803511
SESN,2021-05-21,2.95,2.95,2.91,2.91,55816,2.91,2.625486199908996,2.6160517268552943,0.0094344730537017,-0.02931356095730265
SESN,2021-05-20,2.83,2.84,2.83,2.8385,17058,2.8385,2.573756418074268,2.592535865003718,-0.0187794469294497,-0.03900056946005374
SESN,2021-05-19,2.6,2.6,2.54,2.57,63538,2.57,2.5256212213604985,2.5728587342040155,-0.0472375128435169,-0.04405585009270472
SESN,2021-05-18,2.69,2.69,2.65,2.673,34154,2.673,2.517552352516953,2.5730874329403366,-0.0555350804233834,-0.04326043440500166
SESN,2021-05-17,2.34,2.35,2.34,2.35,14061,2.35,2.489289143883672,2.565094427575564,-0.0758052836918916,-0.04019177290040622
SESN,2021-05-14,2.3,2.32,2.3,2.31,30949,2.31,2.514614442771612,2.5823019817816086,-0.0676875390099964,-0.03128839520253475
SESN,2021-05-13,2.4,2.47,2.4,2.4425,11713,2.4425,2.5518170687300867,2.6040861403241373,-0.0522690715940505,-0.022188609250669317
SESN,2021-05-12,2.4,2.4557,2.4,2.435,29242,2.435,2.5716928994082844,2.6170130315500684,-0.0453201321417839,-0.014668493664824
SESN,2021-05-11,2.25,2.28,2.225,2.225,128439,2.225,2.596546153846154,2.631574074074074,-0.03502792022792,-0.0070055840455840014
SESN,2021-05-10,2.68,2.7,2.63,2.6641,77608,2.6641,2.6641,2.6641,0.0,0.0
