Symbol,Date,Open,High,Low,Close,Volume,RMTI SMA,RMTI spanTwelveEMA,RMTI spanTwntySixEMA,RMTI_x,RMTI_y
RMTI,2021-01-07,1.08,1.11,1.07,1.1,85343,1.1,1.0419085352059372,1.0504382423633734,-0.008529707157436173,-0.018166193739519797
RMTI,2021-01-06,1.05,1.09,1.05,1.085,115326,1.085,1.0313464506979255,1.0464733017524432,-0.015126851054517497,-0.020575315385040704
RMTI,2021-01-05,1.0111,1.05,1.0111,1.045,203603,1.045,1.0215912599157304,1.0433911658926387,-0.021799905976908285,-0.02193743146767145
RMTI,2021-01-04,1.04,1.04,1.0176,1.025,132557,1.025,1.017335125354954,1.0432624591640498,-0.02592733380909573,-0.021971812840362242
RMTI,2021-01-04,1.04,1.04,1.0176,1.025,132557,1.025,1.0159415117831276,1.044723455897174,-0.028781944114046217,-0.02098293259817887
RMTI,2020-12-31,0.98,1.005,0.9759,0.9865,83615,0.9865,1.0142945139255144,1.0463013323689478,-0.03200681844343345,-0.01903317971921198
RMTI,2020-12-30,0.9247,0.97,0.924,0.962499,302598,0.962499,1.0193480619119717,1.0510854389584636,-0.031737377046492155,-0.01578977003815661
RMTI,2020-12-29,0.96,0.97,0.9447,0.9447,210854,0.9447,1.0296842549868754,1.0581723540751409,-0.028488099088265217,-0.011802868286072781
RMTI,2020-12-28,1.01,1.02,0.9705,1.005,325312,1.005,1.0451359377117615,1.067250142401152,-0.02211420468939029,-0.007631560585524614
RMTI,2020-12-28,1.01,1.02,0.9705,1.005,325312,1.005,1.052433380932082,1.0722301537932442,-0.019796772861162104,-0.004010899559558138
RMTI,2020-12-24,1.02,1.03,1.0,1.02,86166,1.02,1.0610576320106424,1.0776085660967036,-0.01655093408606123,-6.443123415714614e-05
RMTI,2020-12-23,1.0,1.02,0.9914,0.9999,134499,0.9998999999999998,1.0685226560125776,1.08221725138444,-0.01369459537186235,0.004057194478818875
RMTI,2020-12-22,1.01,1.03,1.0,1.015,136390,1.015,1.0809995025603192,1.0888026314951949,-0.007803128934876114,0.008495141941489181
RMTI,2020-12-21,1.0290000000000001,1.03,1.0,1.02,138164,1.0200000000000002,1.0929994121167406,1.0947068420148107,-0.0017074298980701565,0.012569709660580393
RMTI,2020-12-18,1.07,1.07,1.03,1.05,278978,1.0500000000000005,1.1062720325016024,1.1006833893759955,0.005588643125606918,0.01613899455024303
RMTI,2020-12-17,1.04,1.07,1.02,1.07,129645,1.07,1.1165033111382574,1.1047380605260753,0.011765250612182143,0.018776582406402054
RMTI,2020-12-16,1.09,1.1,1.05,1.055,212327,1.055,1.1249584586179404,1.1075171053681612,0.017441353249779246,0.02052941535495703
RMTI,2020-12-15,1.14,1.15,1.12,1.15,79046,1.15,1.137678178366657,1.1117184737976142,0.02595970456904273,0.021301430881251478
RMTI,2020-12-14,1.15,1.15,1.125,1.135,123038,1.1350000000000002,1.1354378471605946,1.1086559517014234,0.0267818954591712,0.020136862459303663
RMTI,2020-12-11,1.1604,1.19,1.13,1.135,218105,1.1350000000000005,1.1355174557352483,1.1065484278375377,0.02896902789771083,0.018475604209336777
RMTI,2020-12-10,1.17,1.18,1.1,1.17,366147,1.1700000000000006,1.135611538596203,1.1042723020645406,0.03133923653166204,0.015852248287243315
RMTI,2020-12-09,1.23,1.24,1.21,1.22,140533,1.2200000000000006,1.1293590910682396,1.0990140862297042,0.03034500483853564,0.011980501226138578
RMTI,2020-12-08,1.25,1.26,1.22,1.22,259489,1.2200000000000004,1.1128789258079197,1.0893352131280802,0.023543712679839457,0.007389375323039366
RMTI,2020-12-07,1.18,1.235,1.17,1.22,519224,1.2200000000000004,1.0934023668639052,1.0788820301783266,0.014520336685578616,0.0033507909838393427
RMTI,2020-12-04,1.09,1.1,1.0801,1.1,102333,1.1000000000000003,1.0703846153846153,1.0675925925925926,0.0027920227920226197,0.0005584045584045239
RMTI,2020-12-03,1.05,1.07,1.05,1.065,96593,1.065,1.065,1.065,0.0,0.0
