Symbol,Date,Open,High,Low,Close,Volume,NBRV SMA,NBRV spanTwelveEMA,NBRV spanTwntySixEMA,NBRV_x,NBRV_y
NBRV,2021-01-07,2.66,2.68,2.61,2.61,87953,2.61,2.5537577341958286,2.7867790166212942,-0.2330212824254656,-0.2834171485489765
NBRV,2021-01-06,2.67,2.67,2.5,2.51,493702,2.51,2.5435318676859797,2.8009213379509976,-0.25738947026501835,-0.2960161150798542
NBRV,2021-01-05,2.5,2.55,2.49,2.52,69945,2.52,2.5496285709016115,2.8241950449870776,-0.27456647408546564,-0.30567277628356326
NBRV,2021-01-04,2.47,2.49,2.4,2.435,146289,2.435,2.555015583792814,2.848530648586044,-0.29351506479322964,-0.31344935183308753
NBRV,2021-01-04,2.47,2.49,2.4,2.435,146289,2.435,2.576836599027871,2.8816131004729275,-0.3047765014450565,-0.31843292359305186
NBRV,2020-12-31,2.51,2.51,2.42,2.4301,59955,2.4301,2.6026250715783927,2.9173421485107616,-0.31471707693236883,-0.3218470291300507
NBRV,2020-12-30,2.42,2.46,2.395,2.395,61193,2.395,2.6339932664108283,2.956321520391622,-0.32232825398079434,-0.3236295171794712
NBRV,2020-12-29,2.53,2.53,2.41,2.45,166580,2.4500000000000006,2.677446587576433,3.001227242022952,-0.3237806544465189,-0.3239548329791405
NBRV,2020-12-28,2.65,2.68,2.59,2.595,74754,2.5950000000000006,2.71880051259033,3.045325421384788,-0.32652490879445795,-0.32399837761229583
NBRV,2020-12-28,2.65,2.68,2.59,2.595,74754,2.595000000000001,2.7413096966976624,3.081351455095571,-0.34004175839790873,-0.32336674481675526
NBRV,2020-12-24,2.71,2.715,2.65,2.6799,39707,2.6799000000000004,2.767911459733601,3.1202595715032166,-0.3523481117696159,-0.3191979914214669
NBRV,2020-12-23,2.7,2.72,2.61,2.6981,140204,2.6981,2.783913543321529,3.1554883372234737,-0.3715747939019449,-0.3109104613344297
NBRV,2020-12-22,2.5,2.5,2.47,2.485,89582,2.4849999999999994,2.799516005743625,3.192079404201352,-0.3925633984577268,-0.29574437819255095
NBRV,2020-12-21,2.45,2.47,2.44,2.4531,77431,2.4531,2.8567007340606483,3.2486457565374605,-0.3919450224768126,-0.27153962312625685
NBRV,2020-12-18,2.5,2.5,2.44,2.4798,42013,2.4798,2.9300826857080384,3.312289417060457,-0.3822067313524191,-0.24143827328861797
NBRV,2020-12-17,2.38,2.46,2.37,2.44,104569,2.4400000000000004,3.0119522649276815,3.378888570425294,-0.3669363054976121,-0.20624615877266778
NBRV,2020-12-16,2.37,2.4,2.32,2.3231,149060,2.3231000000000006,3.1159435858236244,3.4539996560593176,-0.3380560702356932,-0.16607362209143162
NBRV,2020-12-15,2.46,2.5,2.42,2.48,216457,2.4800000000000004,3.2600969650642835,3.544471628544063,-0.2843746634797797,-0.12307801005536623
NBRV,2020-12-14,2.58,2.58,2.4466,2.5,506761,2.5000000000000004,3.4019327768941534,3.629629358827588,-0.2276965819334347,-0.08275384669926286
NBRV,2020-12-11,2.44,2.5,2.31,2.4734,1328513,2.4734,3.5659205545112718,3.7199997075337947,-0.15407915302252295,-0.04651816289071991
NBRV,2020-12-10,3.42,3.5,3.39,3.49,48869,3.49,3.764560655331504,3.8197276841364984,-0.05516702880499525,-0.019627915357769147
NBRV,2020-12-09,3.68,3.7,3.61,3.64,70323,3.640000000000001,3.814480774482686,3.846105898867419,-0.03162512438473275,-0.010743136995962844
NBRV,2020-12-08,3.85,3.85,3.75,3.76,74696,3.76,3.846204551661356,3.862594370776813,-0.016389819115456117,-0.005522640148770368
NBRV,2020-12-07,3.85,3.97,3.8,3.8299,76545,3.8299,3.8618781065088768,3.8708019204389577,-0.008923813930081792,-0.0028058454070987084
NBRV,2020-12-04,3.75,3.84,3.75,3.8,71547,3.8,3.867692307692308,3.874074074074074,-0.006381766381766685,-0.0012763532763531594
NBRV,2020-12-03,3.88,4.2299,3.72,3.88,147695,3.88,3.88,3.88,0.0,0.0
