Symbol,Date,Open,High,Low,Close,Volume,ACRX SMA,ACRX spanTwelveEMA,ACRX spanTwntySixEMA,ACRX_x,ACRX_y
ACRX,2021-01-07,1.37,1.41,1.3619999999999999,1.399,71346,1.399,1.2983959425430236,1.320833746067215,-0.022437803524191446,-0.04057769971626567
ACRX,2021-01-06,1.3483,1.39,1.341,1.3668,130187,1.3668,1.280104295732664,1.3145804457525925,-0.034476150019928216,-0.045112673764284225
ACRX,2021-01-05,1.26,1.28,1.25,1.26,130685,1.2600000000000002,1.2643414404113302,1.3104028814127997,-0.04606144100146925,-0.04777180470037316
ACRX,2021-01-04,1.27,1.27,1.22,1.2554,144710,1.2554000000000003,1.2651307932133904,1.3144351119258235,-0.049304318712433126,-0.04819939562509909
ACRX,2021-01-04,1.27,1.27,1.22,1.2554,144710,1.2554000000000003,1.2669000283430978,1.3191579208798894,-0.052257892536791584,-0.04792316485326558
ACRX,2020-12-31,1.23,1.24,1.22,1.22,166940,1.2200000000000004,1.2689909425872974,1.3242585545502803,-0.05526761196298313,-0.046839482932384074
ACRX,2020-12-30,1.17,1.22,1.155,1.195,261305,1.1950000000000005,1.277898386694079,1.3325992389143029,-0.05470085222022392,-0.044732450674734366
ACRX,2020-12-29,1.23,1.23,1.17,1.1865,467852,1.1865000000000008,1.2929708206384571,1.3436071780274472,-0.05063635738899008,-0.042240350288361976
ACRX,2020-12-28,1.29,1.3,1.2719,1.2954,239593,1.2954000000000008,1.3123291516636308,1.356175752269643,-0.043846600606011865,-0.040141348513204944
ACRX,2020-12-28,1.29,1.3,1.2719,1.2954,239593,1.2954000000000006,1.3154071792388369,1.3610378124512144,-0.04563063321237748,-0.03921503549000315
ACRX,2020-12-24,1.35,1.36,1.31,1.355,150869,1.3550000000000002,1.3190448481913528,1.3662888374473114,-0.04724398925595863,-0.037611136059409564
ACRX,2020-12-23,1.24,1.25,1.23,1.23,114896,1.23,1.312507547862508,1.3671919444430962,-0.05468439658058832,-0.035202922760272294
ACRX,2020-12-22,1.26,1.2699,1.22,1.25,251350,1.25,1.3275089202011456,1.378167299998544,-0.05065837979739829,-0.03033255430519329
ACRX,2020-12-21,1.26,1.27,1.24,1.25,158690,1.25,1.3416014511468084,1.3884206839984274,-0.046819232851619035,-0.025251097932142037
ACRX,2020-12-18,1.29,1.3,1.25,1.2642,338107,1.2641999999999998,1.3582562604462285,1.3994943387183016,-0.041238078272073375,-0.019859064202272785
ACRX,2020-12-17,1.29,1.31,1.26,1.2622,236556,1.2621999999999998,1.375357398709179,1.410317885815766,-0.034960487106586946,-0.014514310684822687
ACRX,2020-12-16,1.31,1.3234,1.28,1.285,164568,1.2849999999999997,1.3959314712017572,1.4221673166810274,-0.02623584547927038,-0.009402766579381622
ACRX,2020-12-15,1.28,1.3299,1.28,1.3042,256072,1.3042,1.4161008296020765,1.4331407020155094,-0.017039872413432855,-0.0051944968544094874
ACRX,2020-12-14,1.39,1.43,1.38,1.4237,147907,1.4237,1.4364464349842725,1.4434559581767499,-0.007009523192477829,-0.0022331529646536456
ACRX,2020-12-11,1.44,1.44,1.42,1.43,44207,1.43,1.4387639686177764,1.44503643483089,-0.006272466213113503,-0.0010390604076977103
ACRX,2020-12-10,1.32,1.39,1.27,1.3582,719600,1.3582,1.440357417457372,1.4462393496173611,-0.005881932159989001,0.000269291043656238
ACRX,2020-12-09,1.42,1.46,1.42,1.4343,121365,1.4342999999999997,1.4552951297223486,1.45328249758675,0.0020126321355986576,0.0018070968445676031
ACRX,2020-12-08,1.4656,1.47,1.43,1.45,99725,1.4499999999999995,1.4591124260355028,1.45480109739369,0.004311328641812828,0.0017557130218098394
ACRX,2020-12-07,1.51,1.55,1.51,1.52,133537,1.5199999999999998,1.4607692307692306,1.4551851851851851,0.005584045584045461,0.0011168091168090922
ACRX,2020-12-04,1.46,1.48,1.42,1.45,133820,1.4499999999999995,1.45,1.45,0.0,0.0
ACRX,2020-12-03,1.46,1.47,1.45,1.45,53726,1.4499999999999995,1.45,1.45,0.0,0.0
