Symbol,Date,Open,High,Low,Close,Volume,FLWPF SMA,FLWPF spanTwelveEMA,FLWPF spanTwntySixEMA,FLWPF_x,FLWPF_y
FLWPF,2021-01-07,0.3118,0.32799999999999996,0.3081,0.3183,55530,0.3183,0.2927743783211376,0.2996453171309477,-0.006870938809810101,-0.007483435610831099
FLWPF,2021-01-06,0.2921,0.2996,0.27795,0.2901,26185,0.2901,0.288133356197708,0.2981529425014235,-0.010019586303715466,-0.0076365598110863485
FLWPF,2021-01-05,0.2615,0.2799,0.26,0.2739,11558,0.27390000000000003,0.2877757845972913,0.29879717790153737,-0.011021393304246063,-0.007040803187929068
FLWPF,2021-01-04,0.2728,0.2728,0.249,0.2676,13450,0.2676000000000001,0.29029865452407155,0.3007889521336604,-0.010490297609588806,-0.006045655658849819
FLWPF,2021-01-04,0.2728,0.2728,0.249,0.2676,13450,0.2676000000000001,0.2944256826193573,0.3034440683043532,-0.009018385684995855,-0.004934495171165058
FLWPF,2020-12-31,0.2629,0.27285,0.2629,0.2728,26708,0.2728000000000001,0.29930307945924045,0.3063115937687014,-0.007008514309460923,-0.003913522542707345
FLWPF,2020-12-30,0.273,0.2981,0.272,0.2758,35632,0.2758000000000001,0.3041218211791024,0.3089925212701975,-0.004870700091095137,-0.00313977460101895
FLWPF,2020-12-29,0.31545,0.3209,0.30925,0.3154,31471,0.3154000000000002,0.30927124321166644,0.3116479229718133,-0.0023766797601468825,-0.002707043228499917
FLWPF,2020-12-28,0.32,0.3262,0.3001,0.3001,76447,0.3001000000000001,0.3081569237956058,0.3113477568095584,-0.0031908330139526213,-0.0027896340955881754
FLWPF,2020-12-28,0.32,0.3262,0.3001,0.3001,76447,0.3001000000000001,0.3096218190311705,0.3122475773543231,-0.0026257583231525943,-0.0026893343659970636
FLWPF,2020-12-24,0.3284,0.3386,0.32,0.325,15038,0.3250000000000001,0.3113530588550196,0.3132193835426689,-0.0018663246876493007,-0.002705228376708167
FLWPF,2020-12-23,0.304,0.3317,0.304,0.316375,8800,0.3163750000000001,0.3088717968286596,0.31227693422608244,-0.003405137397422875,-0.002914954298972883
FLWPF,2020-12-22,0.3152,0.3152,0.2962,0.2969,49137,0.2969000000000001,0.30750757807023404,0.31194908896416906,-0.004441510893935019,-0.0027924085243603985
FLWPF,2020-12-21,0.311,0.3316,0.31,0.31643000000000004,8846,0.31643000000000016,0.30943622862845843,0.31315301608130264,-0.0037167874528442053,-0.0023801329319667434
FLWPF,2020-12-18,0.3304,0.3312,0.32,0.3299,23019,0.3299000000000001,0.3081646338336327,0.3128908573678068,-0.004726223534174122,-0.002045969301747378
FLWPF,2020-12-17,0.2686,0.3059,0.2581,0.3,123102,0.3000000000000001,0.3042127490761113,0.3115301259572313,-0.007317376881119997,-0.001375905743640691
FLWPF,2020-12-16,0.265,0.27,0.265,0.27,9556,0.2700000000000001,0.3049787034535861,0.31245253603380985,-0.007473832580223716,0.00010946204072913562
FLWPF,2020-12-15,0.2579,0.27,0.2539,0.264,15960,0.264,0.3113384677178745,0.3158487389165146,-0.004510271198640059,0.0020052856959673626
FLWPF,2020-12-14,0.28,0.29029,0.26,0.273,10387,0.273,0.3199454618483972,0.3199966380298358,-5.117618143862801e-05,0.0036341749196192315
FLWPF,2020-12-11,0.30157,0.31,0.29,0.2998,149079,0.2998,0.3284810003662876,0.3237563690722227,0.004724631294064864,0.004555512694883696
FLWPF,2020-12-10,0.3201,0.333025,0.3201,0.333025,11700,0.333025,0.33369572770561257,0.3256728785980005,0.008022849107612029,0.004513233045088404
FLWPF,2020-12-09,0.38299999999999995,0.38299999999999995,0.3506,0.3544,13537,0.35439999999999994,0.33381767819754216,0.32508470888584057,0.008732969311701588,0.0036358290294574835
FLWPF,2020-12-08,0.36136999999999997,0.36136999999999997,0.35299,0.35299,10793,0.35299,0.3300754378698225,0.3227394855967078,0.007335952273114731,0.0023615439588964573
FLWPF,2020-12-07,0.37,0.38868,0.3661,0.3852,17420,0.3851999999999999,0.3259091538461539,0.32031944444444443,0.005589709401709443,0.0011179418803418885
FLWPF,2021-01-08,0.3289,0.3289,0.315129,0.315129,450,0.3151289999999999,0.315129,0.315129,0.0,0.0
FLWPF,2021-01-08,0.3289,0.3289,0.315129,0.315129,450,0.3151289999999999,0.315129,0.315129,0.0,0.0
