Symbol,Date,Open,High,Low,Close,Volume,QTT SMA,QTT spanTwelveEMA,QTT spanTwntySixEMA,QTT_x,QTT_y
QTT,2021-01-07,1.9,1.92,1.82,1.87,710617,1.87,1.879291882048304,2.0615990440409706,-0.18230716199266706,-0.21360232368617355
QTT,2021-01-06,1.92,1.9518,1.86,1.9,506793,1.9,1.880981315147995,2.076926967564248,-0.19594565241625306,-0.22142611410955026
QTT,2021-01-05,2.18,2.1896,2.05,2.08,1839611,2.08,1.8775233724476303,2.091081124969388,-0.2135577525217576,-0.22779622953287454
QTT,2021-01-04,1.65,1.77,1.65,1.77,1550026,1.77,1.8407094401653816,2.091967614966939,-0.25125817480155743,-0.23135584878565374
QTT,2021-01-04,1.65,1.77,1.65,1.77,1550026,1.77,1.853565702013633,2.117725024164294,-0.2641593221506613,-0.22638026728167782
QTT,2020-12-31,1.63,1.65,1.6,1.65,443760,1.65,1.8687594660161115,2.1455430260974384,-0.27678356008132643,-0.21693550356443192
QTT,2020-12-30,1.57,1.61,1.56,1.6,465755,1.6,1.9085339143826772,2.185186468185233,-0.2766525538025557,-0.20197348943520815
QTT,2020-12-29,1.69,1.69,1.57,1.65,630721,1.65,1.9646309897249823,2.232001385640052,-0.26737039591506906,-0.1833037233433712
QTT,2020-12-28,1.64,1.65,1.54,1.61,1226410,1.61,2.021836624220433,2.2785614964912555,-0.256724872270822,-0.16228705520044662
QTT,2020-12-28,1.64,1.65,1.54,1.61,1226410,1.6099999999999997,2.0967160104423304,2.332046416210556,-0.2353304057682255,-0.13867760093285264
QTT,2020-12-24,1.75,1.77,1.68,1.68,1063962,1.6799999999999995,2.185209830522754,2.3898101295073997,-0.20460029898464605,-0.11451439972400942
QTT,2020-12-23,1.9,1.92,1.76,1.8,1423190,1.7999999999999996,2.277066163345073,2.4465949398679916,-0.16952877652291898,-0.09199292490885036
QTT,2020-12-22,1.99,2.05,1.98,2.035,396412,2.035,2.36380546577145,2.498322535057431,-0.13451706928598114,-0.0726089620053333
QTT,2020-12-21,2.16,2.2,2.05,2.055,1411299,2.055,2.423588277729896,2.5353883378620257,-0.11180006013213006,-0.05713193518517133
QTT,2020-12-18,2.32,2.3235,2.24,2.24,447000,2.24,2.4906043282262407,2.573819404890988,-0.08321507666474702,-0.04346490394843175
QTT,2020-12-17,2.34,2.36,2.25,2.3,838519,2.299999999999999,2.5361687515401026,2.6005249572822673,-0.06435620574216427,-0.03352736076935282
QTT,2020-12-16,2.51,2.5265,2.43,2.45,193643,2.45,2.5791085245473937,2.624566953864848,-0.04545842931745403,-0.02582014952614984
QTT,2020-12-15,2.55,2.57,2.47,2.495,128386,2.494999999999999,2.6025828017378294,2.638532310174036,-0.03594950843620648,-0.02091057957832368
QTT,2020-12-14,2.67,2.67,2.53,2.595,221481,2.595,2.622143311144708,2.6500148949879585,-0.02787158384325084,-0.01715084736385298
QTT,2020-12-11,2.65,2.65,2.56,2.6,137139,2.6,2.6270784586255638,2.6544160865869952,-0.02733762796143191,-0.014470663244003626
QTT,2020-12-10,2.63,2.65,2.45,2.55,400503,2.5500000000000003,2.6320018147393025,2.6587693735139553,-0.026767558774652308,-0.011253922064646666
QTT,2020-12-09,2.5696,2.6,2.53,2.565,155799,2.5650000000000004,2.646911235600994,2.6674709233950717,-0.02055968779407724,-0.007375512887145144
QTT,2020-12-08,2.62,2.6283,2.54,2.57,121546,2.57,2.6618041875284475,2.675668597266677,-0.013864409738229444,-0.004079469160412007
QTT,2020-12-07,2.58,2.68,2.58,2.65,226955,2.65,2.6784958579881657,2.6841220850480108,-0.005626227059845057,-0.0016332340159576474
QTT,2020-12-04,2.71,2.73,2.63,2.65,79807,2.65,2.683676923076923,2.686851851851852,-0.0031749287749285315,-0.0006349857549857951
QTT,2020-12-03,2.67,2.73,2.66,2.6898,105360,2.6898000000000004,2.6898,2.6898,0.0,0.0
