Symbol,Date,Open,High,Low,Close,Volume,SBBP SMA,SBBP spanTwelveEMA,SBBP spanTwntySixEMA,SBBP_x,SBBP_y
SBBP,2020-09-17,2.12,2.22,2.08,2.22,921508,2.22,2.9105142177280188,3.2133288443861105,-0.3028146266580918,-0.20099212819321752
SBBP,2020-09-16,2.81,2.8310000000000004,2.7829,2.79,9845,2.79,3.0360622573149314,3.292795151937,-0.25673289462206794,-0.17553650357699893
SBBP,2020-09-15,2.84,2.88,2.805,2.805,25190,2.805,3.0808008495540102,3.3330187640919595,-0.2522179145379497,-0.15523740581573156
SBBP,2020-09-14,2.62,2.8,2.62,2.7502,81750,2.750199999999998,3.1309464585638302,3.3752602652193167,-0.2443138066554864,-0.13099227863517712
SBBP,2020-09-11,2.7,2.76,2.63,2.63,25660,2.6299999999999986,3.2001730873936167,3.425265086436861,-0.2250919990432445,-0.1026618966300998
SBBP,2020-09-10,2.84,2.84,2.68,2.72,103786,2.719999999999999,3.303840921465184,3.4888862933518103,-0.18504537188662692,-0.07205437102681372
SBBP,2020-09-09,2.9,2.95,2.83,2.84,110687,2.8399999999999985,3.4099938162770345,3.5503971968199552,-0.14040338054292034,-0.043806620811860514
SBBP,2020-09-08,3.22,3.37,3.07,3.07,230495,3.0699999999999985,3.5136290556001315,3.6072289725655513,-0.09359991696541936,-0.019657430879095446
SBBP,2020-09-08,3.22,3.37,3.07,3.07,230495,3.069999999999999,3.5942888838910645,3.650207290370795,-0.05591840647973045,-0.0011718093575143577
SBBP,2020-09-04,3.62,3.67,3.48,3.5291,87090,3.5290999999999992,3.6896141355076217,3.6966238736004593,-0.0070097380928371145,0.012514839923039667
SBBP,2020-09-03,3.74,3.76,3.6771,3.73,21327,3.729999999999999,3.718798523781735,3.7100257834884953,0.0087727402932396,0.017395984427008973
SBBP,2020-09-02,3.79,3.79,3.69,3.74,22926,3.739999999999999,3.7167618917420495,3.708427846167575,0.008334045574475368,0.019551795460451313
SBBP,2020-09-01,3.82,3.8960000000000004,3.8080000000000003,3.85,20891,3.8499999999999988,3.712536781149696,3.7059020738609814,0.0066347072887151795,0.022356232931945517
SBBP,2020-08-31,3.74,3.79,3.66,3.78,109883,3.779999999999999,3.6875434686314583,3.6943742397698593,-0.006830771138400582,0.02628661434275321
SBBP,2020-08-28,3.6,3.6,3.56,3.58,4553,3.58,3.6707331902008153,3.687524178951448,-0.016790988750633673,0.03456596071304177
SBBP,2020-08-27,3.68,3.68,3.6038,3.615,8427,3.615,3.68723013387369,3.6961261132675642,-0.008895979393873876,0.04740519807896041
SBBP,2020-08-26,3.53,3.622,3.43,3.464,31784,3.4640000000000004,3.700362885487088,3.7026162023289686,-0.0022533168418803484,0.06148049244716909
SBBP,2020-08-25,3.61,3.61,3.45,3.4501,43319,3.4501000000000004,3.7433379555756496,3.721705498515286,0.021632457060363645,0.07741394476943156
SBBP,2020-08-24,3.78,3.82,3.44,3.44,220561,3.4400000000000004,3.796653947498495,3.7434339383965085,0.053220009101985884,0.09135931669669854
SBBP,2020-08-21,4.0,4.022,3.8801,3.95,50668,3.9500000000000006,3.861500119770948,3.7677086534682296,0.09379146630271863,0.10089414359537659
SBBP,2020-08-20,3.95,3.95,3.81,3.91,31383,3.910000000000001,3.845409232456575,3.753125345745688,0.09228388671088704,0.10266981291854108
SBBP,2020-08-19,3.91,3.9274,3.85,3.88,28876,3.880000000000001,3.833665456539588,3.7405753734053433,0.09309008313424494,0.10526629447045457
SBBP,2020-08-18,3.9,3.9,3.853,3.86,34960,3.86,3.825240994092241,3.7294214032777706,0.09581959081446988,0.10831034730450709
SBBP,2020-08-17,3.74,3.7799,3.5301,3.6910000000000003,63582,3.6910000000000003,3.818921174836284,3.7189751155399917,0.09994605929629152,0.11143303642701627
SBBP,2020-08-14,3.8,3.8,3.64,3.6877,60695,3.6877,3.842179570261063,3.721213124783192,0.12096644547787115,0.11430478070969723
SBBP,2020-08-13,4.01,4.04,3.9010000000000002,3.9560000000000004,21138,3.956000000000001,3.8702667648539832,3.723894174765847,0.14637259008813652,0.11263936451765373
SBBP,2020-08-12,3.99,4.05,3.93,3.93,13394,3.9300000000000006,3.854678903918344,3.7053257087471145,0.14935319517122905,0.10420605812503314
SBBP,2020-08-11,4.11,4.1996,3.96,4.04,38638,4.040000000000001,3.840984159176224,3.6873517654468833,0.15363239372934068,0.09291927386348404
SBBP,2020-08-10,4.06,4.06,3.95,4.0401,35008,4.040100000000002,3.804799460844628,3.6591399066826336,0.14565955416199428,0.07774099389701988
SBBP,2020-08-07,4.0,4.0,3.88,3.96,17937,3.9600000000000017,3.7620175446345607,3.6286630992172446,0.13335444541731611,0.06076135383077627
SBBP,2020-08-06,4.24,4.4,4.2101,4.24,60419,4.240000000000003,3.7260207345681176,3.602156147154623,0.1238645874134936,0.042613080934141304
SBBP,2020-08-05,4.1,4.19,4.01,4.165,84511,4.165000000000003,3.6325699590350484,3.551128638926994,0.08144132010805416,0.022300204314302997
SBBP,2020-08-04,3.72,3.97,3.4997,3.8467,679364,3.846700000000003,3.53576449704142,3.5020189300411535,0.033745567000266874,0.007514925365865094
SBBP,2020-08-03,3.43,3.53,3.4101,3.53,37596,3.5300000000000042,3.4792307692307687,3.474444444444445,0.0047863247863242355,0.0009572649572647586
SBBP,2020-07-31,3.48,3.48,3.4601,3.47,2122,3.470000000000004,3.47,3.47,0.0,0.0
