Symbol,Date,Open,High,Low,Close,Volume,AHT SMA,AHT spanTwelveEMA,AHT spanTwntySixEMA,AHT_x,AHT_y
AHT,2020-09-17,2.06,2.06,1.98,2.0049,68353,2.0049,2.3757418952345777,2.7814785721454607,-0.40573667691088294,-0.3353224991908627
AHT,2020-09-16,2.15,2.1821,1.97,1.99,138519,1.99,2.4431676943681366,2.8436048579170983,-0.4004371635489608,-0.3177189547608576
AHT,2020-09-15,1.89,2.02,1.89,1.97,55670,1.97,2.5255618206168893,2.9118932465504663,-0.3863314259335766,-0.29703940256383154
AHT,2020-09-14,1.9,1.94,1.78,1.94,132056,1.94,2.6265730607290507,2.987244706274504,-0.3606716455454526,-0.2747163967213952
AHT,2020-09-11,2.25,2.2502,2.11,2.1116,159818,2.1116000000000006,2.75140452631615,3.071024282776464,-0.3196197564603129,-0.25322758451538074
AHT,2020-09-10,2.46,2.49,2.32,2.3247,254807,2.324700000000001,2.867732622009997,3.1477782253985804,-0.28004560338858386,-0.23662954152914747
AHT,2020-09-09,2.4,2.57,2.32,2.5501,262544,2.5501000000000005,2.966465826011814,3.2136244834304666,-0.24715865741865264,-0.22577552606428847
AHT,2020-09-08,2.91,2.99,2.8,2.88,86411,2.8800000000000003,3.0421687034685068,3.266706442104904,-0.2245377386363967,-0.22042974322569742
AHT,2020-09-08,2.91,2.99,2.8,2.88,86411,2.88,3.071653922280963,3.2976429574732964,-0.2259890351923333,-0.21940274437302248
AHT,2020-09-04,2.92,3.0010000000000003,2.92,2.9603,13815,2.9603,3.1065000899684114,3.33105439407116,-0.22455430410274912,-0.21775617166819478
AHT,2020-09-03,2.99,3.15,2.95,3.116,84925,3.116,3.1330819245081223,3.360714745596853,-0.22763282108873065,-0.21605663855955629
AHT,2020-09-02,3.01,3.04,2.8799,2.92,60241,2.9199999999999995,3.1361877289641447,3.3802919252446015,-0.24410419628045646,-0.2131625929272627
AHT,2020-09-01,3.14,3.14,3.03,3.11,81626,3.1099999999999994,3.1754945887758077,3.4171152792641686,-0.24162069048836174,-0.20542719208896415
AHT,2020-08-31,3.13,3.2162,3.07,3.13,71299,3.1299999999999994,3.1874026958259543,3.4416845016053026,-0.25428180577934834,-0.19637881748911493
AHT,2020-08-28,2.84,2.9273,2.7409,2.7929,31985,2.7928999999999995,3.197839549612491,3.466619261733727,-0.26877971212123564,-0.18190307041655657
AHT,2020-08-27,2.71,2.94,2.7,2.8564,104224,2.8563999999999994,3.271464922269308,3.5205168026724247,-0.2490518804031172,-0.16018390999038679
AHT,2020-08-26,2.92,2.9345,2.82,2.84,99340,2.839999999999999,3.3469312717728186,3.573646146886219,-0.2267148751134003,-0.13796691738720426
AHT,2020-08-25,3.13,3.14,3.03,3.09,43360,3.089999999999999,3.4391005939133312,3.632337838637116,-0.1932372447237856,-0.11577992795565525
AHT,2020-08-24,3.11,3.15,3.01,3.1001,165716,3.1000999999999994,3.5025734291702997,3.6757248657280863,-0.17315143655778575,-0.09641559876362289
AHT,2020-08-21,3.33,3.4,3.26,3.28,71943,3.279999999999999,3.5757504162921734,3.7217748549863328,-0.14602443869415982,-0.07723163931508195
AHT,2020-08-20,3.33,3.4,3.3,3.34,96861,3.3399999999999994,3.6295232192543865,3.7571168433852393,-0.1275936241308533,-0.06003343947031258
AHT,2020-08-19,3.33,3.35,3.26,3.27,127058,3.27,3.6821638045733662,3.7904861908560585,-0.10832238628269276,-0.04314339330517751
AHT,2020-08-18,3.44,3.54,3.41,3.44,111972,3.4399999999999986,3.75710267813216,3.832125086124543,-0.07502240799238358,-0.026848645060798808
AHT,2020-08-17,3.63,3.64,3.48,3.5601,183415,3.560099999999999,3.8147577105198254,3.863495093014506,-0.048737382494681736,-0.014805204327902726
AHT,2020-08-14,3.58,3.65,3.51,3.65,87279,3.649999999999999,3.8610591124325198,3.887766700455667,-0.026707588023146656,-0.006322159786208196
AHT,2020-08-13,3.71,3.84,3.68,3.77,60941,3.769999999999999,3.89943349651116,3.9067880364921206,-0.007354539980960252,-0.0012258027269734695
AHT,2020-08-12,3.91,3.98,3.76,3.82,81055,3.819999999999999,3.922966859513189,3.9177310794114906,0.005235780101698673,0.00030638158652333694
AHT,2020-08-11,4.18,4.18,3.99,4.0555,243697,4.0554999999999986,3.9416881066974057,3.9255495657644097,0.016138540932995937,-0.0009259680422703861
AHT,2020-08-10,3.97,4.03,3.94,4.0,45935,3.9999999999999982,3.9209950351878433,3.9151535310255623,0.005841504162280575,-0.005192095286086967
AHT,2020-08-07,3.91,3.99,3.85,3.94,60755,3.9399999999999977,3.906630496131088,3.9083658135076083,-0.0017353173765202179,-0.007950495148178964
AHT,2020-08-06,3.94,4.06,3.94,4.025,25460,4.024999999999999,3.9005633136094673,3.905835078588216,-0.0052717649787488155,-0.009504289591093649
AHT,2020-08-05,4.07,4.15,3.9129,3.97,60074,3.969999999999999,3.8779384615384616,3.896301884875273,-0.018363423336812183,-0.010562420744179856
AHT,2020-08-04,3.61,3.7808,3.55,3.7215,97546,3.7215,3.8612,3.890406035665295,-0.02920603566529545,-0.008612170096021998
AHT,2020-08-03,3.89,3.94,3.68,3.7029,101668,3.7028999999999987,3.8866,3.903918518518519,-0.017318518518518733,-0.0034637037037037466
AHT,2020-07-31,4.06,4.1,3.908,3.92,53265,3.9199999999999986,3.92,3.92,0.0,0.0
