Symbol,Date,Open,High,Low,Close,Volume,ATOS SMA,ATOS spanTwelveEMA,ATOS spanTwntySixEMA,ATOS_x,ATOS_y
ATOS,2021-06-16,4.64,4.6595,4.625,4.63,45916,4.63,4.455218973005016,3.9292872031206585,0.5259317698843571,0.5370352446045983
ATOS,2021-06-15,4.63,4.66,4.57,4.6518,423818,4.6518,4.423440604460473,3.873230179370312,0.5502104250901616,0.5398111132846586
ATOS,2021-06-14,4.41,4.43,4.36,4.37,588454,4.37,4.381920714362377,3.810944593719936,0.5709761206424409,0.5372112853332829
ATOS,2021-06-11,4.48,4.49,4.2,4.2601,657517,4.2601,4.384088116973719,3.766220161217531,0.6178679557561879,0.5287700765059932
ATOS,2021-06-10,4.15,4.3,4.14,4.2901,513394,4.2901,4.406631410968941,3.7267097741149335,0.6799216368540071,0.5064956066934444
ATOS,2021-06-09,5.57,5.8,5.57,5.7869,608973,5.7869,4.427818940236021,3.681638556044128,0.7461803841918928,0.46313909915330365
ATOS,2021-06-08,6.3,6.48,6.22,6.4799,549246,6.4799,4.180713293006207,3.5132176405276585,0.6674956524785483,0.3923787778936563
ATOS,2021-06-07,4.9,4.97,4.9,4.97,261346,4.97,3.762679346280063,3.2758830517698714,0.4867962945101913,0.32359955924743333
ATOS,2021-06-04,4.5453,4.59,4.5453,4.5797,181734,4.5797,3.543166500149165,3.140353695911461,0.4028128042377039,0.2828003754317437
ATOS,2021-06-03,3.94,3.96,3.92,3.9501,139295,3.9501,3.35470586381265,3.025205991584378,0.329499872228272,0.2527972682302536
ATOS,2021-06-02,3.99,4.0,3.97,3.991,225175,3.991,3.246452384505859,2.9512144709111285,0.2952379135947303,0.23362161723074895
ATOS,2021-06-01,3.32,3.34,3.32,3.34,140205,3.34,3.111080090779652,2.868031628584019,0.2430484621956328,0.2182175431397536
ATOS,2021-06-01,3.32,3.34,3.32,3.34,140205,3.34,3.069458289103225,2.8302741588707403,0.2391841302324846,0.21200981337578367
ATOS,2021-05-28,3.16,3.2,3.16,3.195,54406,3.195,3.020268887121993,2.7894960915803995,0.2307727955415934,0.20521623416160845
ATOS,2021-05-27,3.14,3.16,3.13,3.16,31109,3.16,2.9884995938714463,2.7570557789068317,0.2314438149646149,0.19882709381661218
ATOS,2021-05-26,3.0,3.01,2.96,2.97,236770,2.97,2.9573177018480727,2.7248202412193776,0.2324974606286951,0.1906729135296116
ATOS,2021-05-25,3.17,3.19,3.16,3.18,78568,3.18,2.9550118294568133,2.705205860516928,0.2498059689398859,0.1802167767548407
ATOS,2021-05-24,3.24,3.26,3.23,3.238,77891,3.238,2.914104889358052,2.6672223293582817,0.2468825599997703,0.1628194787085795
ATOS,2021-05-21,3.26,3.3,3.26,3.29,55069,3.29,2.855214869241334,2.621560115706944,0.23365475353439,0.14180370838578174
ATOS,2021-05-20,3.27,3.27,3.24,3.25,29518,3.25,2.776163027285213,2.5680849249635,0.2080781023217133,0.11884094709862966
ATOS,2021-05-19,3.09,3.1,3.0,3.0113,422689,3.0113,2.690010850427979,2.5135317189605795,0.1764791314673996,0.09653165829285873
ATOS,2021-05-18,3.27,3.3,3.1804,3.2021,328889,3.2021,2.6315946414148845,2.473710256477426,0.1578843849374585,0.07654478999922348
ATOS,2021-05-17,3.17,3.18,3.06,3.075,532580,3.075,2.5278663943994086,2.41543907699562,0.1124273174037884,0.05620989126466473
ATOS,2021-05-14,2.41,2.48,2.41,2.4344,87656,2.4344,2.4283875570174827,2.3626742031552697,0.065713353862213,0.042155534729883815
ATOS,2021-05-13,2.56,2.56,2.48,2.5099,125984,2.5099,2.427294385566116,2.3569361394076918,0.0703582461584249,0.03626607994680152
ATOS,2021-05-12,2.59,2.61,2.57,2.61,77573,2.61,2.412275182941774,2.3446990305603066,0.0675761523814673,0.027743038393895778
ATOS,2021-05-11,2.65,2.65,2.535,2.565,258066,2.565,2.3763252162039143,2.3234749530051317,0.052850263198783,0.017784759897002896
ATOS,2021-05-10,2.7019,2.71,2.65,2.655,174352,2.655,2.342020710059172,2.304152949245542,0.0378677608136297,0.009018384071557969
ATOS,2021-05-07,2.35,2.39,2.3166,2.3809,88780,2.3809,2.2851153846153847,2.276085185185185,0.0090301994301995,0.001806039886039912
ATOS,2021-05-06,2.38,2.385,2.25,2.2677,396300,2.2677,2.2677,2.2677,0.0,0.0
