Symbol,Date,Open,High,Low,Close,Volume,LCTX SMA,LCTX spanTwelveEMA,LCTX spanTwntySixEMA,LCTX_x,LCTX_y
LCTX,2021-06-16,2.9,2.9,2.9,2.9,8967,2.9,2.8070636713181893,2.716766244539071,0.0902974267791183,0.05655627335246186
LCTX,2021-06-15,2.98,2.98,2.95,2.9689,14165,2.9689,2.790166157012405,2.702107544102197,0.0880586129102085,0.048120984995797735
LCTX,2021-06-14,2.89,2.9,2.88,2.9,44204,2.9,2.7576690946510247,2.6807641476303727,0.0769049470206519,0.03813657801719514
LCTX,2021-06-11,2.84,2.84,2.82,2.82,5309,2.82,2.731790748223938,2.6632252794408027,0.0685654687831354,0.02844448576633092
LCTX,2021-06-10,2.81,2.81,2.81,2.81,29087,2.81,2.7157527024464723,2.650683301796067,0.0650694006504051,0.018414240012129796
LCTX,2021-06-09,2.76,2.799,2.76,2.78,24463,2.78,2.698616830164013,2.6379379659397526,0.0606788642242603,0.006750449852560964
LCTX,2021-06-08,2.87,2.899,2.86,2.86,9423,2.86,2.683819890193834,2.626573003214933,0.0572468869789011,-0.006731653740363892
LCTX,2021-06-07,2.82,2.8288,2.81,2.8288,27145,2.8288,2.651787142956349,2.6078988434721277,0.0438882994842222,-0.022726288920180145
LCTX,2021-06-04,2.85,2.85,2.844,2.844,22487,2.844,2.6196029871302318,2.5902267509498973,0.029376236180334,-0.03937993602128052
LCTX,2021-06-03,2.73,2.735,2.7201,2.723,22083,2.723,2.578803530244819,2.569924891025889,0.0088786392189299,-0.05656897907168427
LCTX,2021-06-02,3.0,3.0,2.981,2.985,76679,2.985,2.5525859902893315,2.55767888230796,-0.0050928920186286,-0.07293088364433782
LCTX,2021-06-01,2.64,2.659,2.64,2.6423,72157,2.6423,2.473965261251028,2.523493192892597,-0.0495279316415691,-0.08989038155076512
LCTX,2021-06-01,2.64,2.659,2.64,2.6423,72157,2.6423,2.443358945114851,2.513988648324005,-0.0706297032091538,-0.09998099402806411
LCTX,2021-05-28,2.42,2.42,2.4139,2.4139,6067,2.4139,2.4071878442266423,2.5037237401899253,-0.0965358959632829,-0.10731881673279166
LCTX,2021-05-27,2.36,2.4,2.36,2.4,11397,2.4,2.40596745226785,2.51090963940512,-0.1049421871372695,-0.11001454692516882
LCTX,2021-05-26,2.32,2.32,2.32,2.32,5623,2.32,2.407052443589277,2.519782410557529,-0.112729966968252,-0.11128263687214351
LCTX,2021-05-25,2.43,2.43,2.43,2.43,3926,2.43,2.422880160605509,2.535765003402131,-0.1128848427966215,-0.11092080434811638
LCTX,2021-05-24,2.42,2.42,2.42,2.42,6057,2.42,2.421585644351966,2.544226203674301,-0.1226405593223356,-0.11042979473598996
LCTX,2021-05-21,2.38,2.38,2.38,2.38,1526,2.38,2.4218739433250507,2.554164299968245,-0.1322903566431947,-0.10737710358940364
LCTX,2021-05-20,2.34,2.34,2.34,2.34,1927,2.34,2.429487387565969,2.5680974439657054,-0.1386100563997363,-0.10114879032595596
LCTX,2021-05-19,2.24,2.25,2.23,2.25,10025,2.25,2.4457578216688725,2.5863452394829616,-0.1405874178140891,-0.09178347380751087
LCTX,2021-05-18,2.35,2.36,2.35,2.35,7511,2.35,2.4813501528813946,2.613252858641599,-0.1319027057602042,-0.07958248780586628
LCTX,2021-05-17,2.22,2.2301,2.22,2.2301,11588,2.2301,2.5052319988598297,2.634313087332927,-0.129081088473097,-0.0665024333172818
LCTX,2021-05-14,2.3,2.31,2.26,2.27,33100,2.27,2.5552559986525263,2.666650134319561,-0.1113941356670347,-0.05085776952832797
LCTX,2021-05-13,2.3,2.35,2.3,2.35,12521,2.35,2.607120725680258,2.698382145065126,-0.0912614193848679,-0.03572367799365128
LCTX,2021-05-12,2.36,2.36,2.33,2.33,8237,2.33,2.6538699485312143,2.726252716670336,-0.0723827681391218,-0.02183924264584711
LCTX,2021-05-11,2.34,2.36,2.26,2.2622,78206,2.2622,2.7127553937187074,2.757952934003963,-0.0451975402852555,-0.009203361272528432
LCTX,2021-05-10,2.72,2.74,2.71,2.74,16603,2.74,2.794674556213017,2.79761316872428,-0.0029386125112624,-0.00020481651934664666
LCTX,2021-05-07,2.85,2.85,2.807,2.83,11772,2.83,2.8046153846153845,2.8022222222222224,0.0023931623931621,0.0004786324786324237
LCTX,2021-05-06,2.8,2.8,2.7923,2.8,12431,2.8,2.8,2.8,0.0,0.0
