Symbol,Date,Open,High,Low,Close,Volume,SESN SMA,SESN spanTwelveEMA,SESN spanTwntySixEMA,SESN_x,SESN_y
SESN,2021-06-16,4.16,4.168,4.15,4.16,64915,4.16,3.950869098533413,3.562101178960911,0.3887679195725018,0.33450945660615106
SESN,2021-06-15,4.29,4.29,4.2615,4.2695,28855,4.2695,3.912845298266761,3.514269273277784,0.3985760249889765,0.3209448408645633
SESN,2021-06-14,4.35,4.37,4.3,4.33,176703,4.33,3.847998988860717,3.4538508151400067,0.3941481737207102,0.30153704483345994
SESN,2021-06-11,4.279,4.279,4.22,4.22,42041,4.22,3.760362441380847,3.3837588803512078,0.3766035610296399,0.27838426261164734
SESN,2021-06-10,4.19,4.22,4.17,4.17,43520,4.17,3.676791976177365,3.316859590779304,0.3599323853980603,0.2538294380071493
SESN,2021-06-09,4.17,4.18,4.14,4.14,107186,4.14,3.5871177900277944,3.2486083580416487,0.3385094319861457,0.22730370115942145
SESN,2021-06-08,3.9971,4.04,3.9971,4.02,47357,4.02,3.48659375185103,3.1772970266849807,0.3092967251660492,0.19950226845274038
SESN,2021-06-07,3.81,3.85,3.81,3.85,85575,3.85,3.3896107976421264,3.1098807888197797,0.2797300088223471,0.17205365427441316
SESN,2021-06-04,3.74,3.75,3.73,3.75,30396,3.75,3.3059036699406947,3.0506712519253614,0.2552324180153333,0.14513456563742977
SESN,2021-06-03,3.61,3.61,3.585,3.6074,71202,3.6074,3.2251588826571846,2.99472495207939,0.2304339305777945,0.11761010254295387
SESN,2021-06-02,3.9,3.93,3.88,3.88,83529,3.88,3.155660497685764,2.945710948245741,0.2099495494400223,0.08940414553424371
SESN,2021-06-01,3.47,3.475,3.44,3.455,116527,3.455,3.0239624063559027,2.870967824105401,0.1529945822505016,0.059267794557798945
SESN,2021-06-01,3.47,3.475,3.44,3.455,116527,3.455,2.9455919347842485,2.824245250033833,0.1213466847504154,0.035836097634623254
SESN,2021-05-28,3.2,3.2,3.14,3.14,64387,3.14,2.852972286563203,2.77378487003654,0.0791874165266626,0.014458450855675209
SESN,2021-05-27,2.9812,3.01,2.9812,3.0001,29101,3.0001,2.8007854295746943,2.7444876596394634,0.0562977699352309,-0.001723790562071642
SESN,2021-05-26,2.95,2.9639,2.95,2.955,40736,2.955,2.7645464167700933,2.7240386724106203,0.040507744359473,-0.01622918068639729
SESN,2021-05-25,2.92,2.929,2.91,2.9217,19087,2.9217,2.729918492546473,2.70556176620347,0.0243567263430035,-0.030413411947864868
SESN,2021-05-24,2.97,2.98,2.97,2.98,14106,2.98,2.695049127554923,2.688270707499748,0.0067784200551752,-0.04410594652058186
SESN,2021-05-21,2.95,2.95,2.91,2.91,55816,2.91,2.643239878019455,2.664932364099728,-0.0216924860802727,-0.056827038164521136
SESN,2021-05-20,2.83,2.84,2.83,2.8385,17058,2.8385,2.594738037659356,2.645326953227706,-0.0505889155683498,-0.06561067618558312
SESN,2021-05-19,2.6,2.6,2.54,2.57,63538,2.57,2.550417680870148,2.6298731094859225,-0.0794554286157742,-0.06936611633989143
SESN,2021-05-18,2.69,2.69,2.65,2.673,34154,2.673,2.5468572592101757,2.634662958244796,-0.0878056990346207,-0.06684378827092072
SESN,2021-05-17,2.34,2.35,2.34,2.35,14061,2.35,2.5239222154302072,2.63159599490438,-0.1076737794741724,-0.061603310579995824
SESN,2021-05-14,2.3,2.32,2.3,2.31,30949,2.31,2.555544436417517,2.6541236744967303,-0.0985792380792127,-0.05008569335645155
SESN,2021-05-13,2.4,2.47,2.4,2.4425,11713,2.4425,2.6001888794025207,2.6816535684564684,-0.0814646890539476,-0.03796230717576113
SESN,2021-05-12,2.4,2.4557,2.4,2.435,29242,2.435,2.628859584748433,2.700785853932986,-0.0719262691845523,-0.02708671170621449
SESN,2021-05-11,2.25,2.28,2.225,2.225,128439,2.225,2.664106781975421,2.722048722247625,-0.0579419402722036,-0.015876822336629907
SESN,2021-05-10,2.68,2.7,2.63,2.6641,77608,2.6641,2.7439443786982247,2.7618126200274347,-0.0178682413292099,-0.005360542852736466
SESN,2021-05-07,2.645,2.65,2.64,2.64,24574,2.64,2.7584615384615385,2.769629629629629,-0.0111680911680909,-0.0022336182336180955
SESN,2021-05-06,2.8,2.81,2.77,2.78,37282,2.78,2.78,2.78,0.0,0.0
