Symbol,Date,Open,High,Low,Close,Volume,CRVS SMA,CRVS spanTwelveEMA,CRVS spanTwntySixEMA,CRVS_x,CRVS_y
CRVS,2021-02-16,3.56,3.71,3.56,3.665,893407,3.665,3.903779182241996,3.9299611294019794,-0.026181947159983118,0.01966126756037851
CRVS,2021-02-16,3.56,3.71,3.56,3.665,893407,3.665,3.947193579013269,3.951158019754138,-0.003964440740869435,0.031122071240469028
CRVS,2021-02-12,3.51,3.62,3.48,3.535,856986,3.535,3.9985015024702255,3.9740506613344686,0.02445084113575735,0.03989369923580353
CRVS,2021-02-11,4.245,4.32,4.03,4.04,98936,4.04,4.082774502919358,4.009174714241227,0.07359978867813144,0.04375441376081518
CRVS,2021-02-10,4.68,4.71,4.15,4.35,358741,4.3500000000000005,4.0905516852683315,4.006708691380525,0.08384299388780736,0.03629307003148611
CRVS,2021-02-09,4.26,4.34,4.22,4.26,33071,4.26,4.0433792644080295,3.979245386690968,0.06413387771706214,0.024405589067406013
CRVS,2021-02-08,4.1,4.2455,4.1,4.2397,22333,4.239700000000001,4.003993676118581,3.956785017626245,0.04720865849233613,0.01447351690499209
CRVS,2021-02-05,4.09,4.09,3.91,3.91,54322,3.910000000000001,3.9611379808674134,3.934151819036345,0.026986161831069392,0.00628973150815608
CRVS,2021-02-04,4.27,4.4665,4.1,4.15,197095,4.150000000000002,3.9704357955705802,3.9360839645592516,0.03435183101132777,0.0011156239274279752
CRVS,2021-02-03,4.28,4.28,4.09,4.18,118394,4.1800000000000015,3.9377877584015946,3.9189706817239918,0.01881707667760235,-0.007193427843547195
CRVS,2021-02-02,4.06,4.2,3.8801,4.16,246515,4.160000000000002,3.8937491690200665,3.898088336261912,-0.004339167241845132,-0.013696053973834693
CRVS,2021-02-01,3.81,3.81,3.6839999999999997,3.72,3068,3.7200000000000015,3.8453399270237143,3.877135403162864,-0.03179547613914968,-0.016035275656831972
CRVS,2021-01-29,3.71,3.75,3.7,3.735,5626,3.7350000000000017,3.86812900466439,3.889706235415893,-0.021577230751503414,-0.012095225536252543
CRVS,2021-01-28,3.81,3.8899,3.76,3.8379,14819,3.8379000000000016,3.892334278239733,3.9020827342491646,-0.009748456009431195,-0.009724724232439934
CRVS,2021-01-27,3.87,3.88,3.75,3.87,46449,3.8700000000000014,3.9022314197378662,3.9072173529890977,-0.004985933251230978,-0.009718791288192008
CRVS,2021-01-26,3.98,4.06,3.94,3.99,34652,3.990000000000003,3.908091677872024,3.9101947412282256,-0.0021030633562015844,-0.010902005797432153
CRVS,2021-01-25,4.06,4.11,4.01,4.01,9052,4.010000000000003,3.8931992556669375,3.903810320526484,-0.010611064859546104,-0.013101741407739793
CRVS,2021-01-22,3.89,3.97,3.81,3.9,10242,3.900000000000005,3.8719627566972896,3.895315146168602,-0.023352389471312573,-0.013724410544788103
CRVS,2021-01-21,3.86,3.98,3.76,3.76,31164,3.760000000000004,3.8668650760967966,3.8949403578620903,-0.028075281765294058,-0.011317415813156985
CRVS,2021-01-20,3.79,3.8027,3.74,3.74,41732,3.740000000000004,3.8862950899325783,3.905735586491058,-0.019440496558480014,-0.007127949325122828
CRVS,2021-01-19,4.06,4.06,3.85,3.8637,62836,3.8637000000000032,3.9128941971930464,3.9189944334103424,-0.00610023621729594,-0.004049812516783642
CRVS,2021-01-19,4.06,4.06,3.85,3.8637,62836,3.863700000000003,3.9218385966826914,3.9234179880831697,-0.0015793914004782472,-0.0035372065916555668
CRVS,2021-01-15,4.3,4.325,4.1008,4.1008,64655,4.100800000000003,3.932409250624999,3.928195427129823,0.004213823495175628,-0.004026660389449896
CRVS,2021-01-14,3.86,3.91,3.83,3.8753,5519,3.875300000000004,3.901792750738635,3.914387061300209,-0.012594310561573785,-0.006086781360606278
CRVS,2021-01-13,3.89,3.89,3.82,3.8601,5767,3.860100000000004,3.906609614509296,3.9175140262042256,-0.010904411694929284,-0.004459899060364401
CRVS,2021-01-12,3.95,3.98,3.88,3.91,16164,3.910000000000004,3.9150659080564414,3.9221071483005634,-0.007041240244122449,-0.002848770901723068
CRVS,2021-01-11,3.91,3.91,3.7924,3.8643,30118,3.864300000000004,3.9159869822485214,3.9230757201646087,-0.007088737916087774,-0.0018006535661233337
CRVS,2021-01-08,3.89,3.96,3.88,3.9,4244,3.900000000000005,3.925384615384616,3.9277777777777776,-0.0023931623931621178,-0.0004786324786323348
CRVS,2021-01-07,3.87,3.93,3.84,3.93,8975,3.930000000000004,3.93,3.93,0.0,0.0
