Symbol,Date,Open,High,Low,Close,Volume,RUBY SMA,RUBY spanTwelveEMA,RUBY spanTwntySixEMA,RUBY_x,RUBY_y
RUBY,2020-12-03,6.59,6.79,6.59,6.79,8893,6.79,6.164713926521026,5.638766360893571,0.5259475656274546,0.42394613080922045
RUBY,2020-12-02,6.54,6.54,6.3005,6.345,7703,6.345,6.051025549524847,5.546667669765056,0.5043578797597911,0.3984457721046619
RUBY,2020-12-01,6.25,6.39,6.24,6.35,8854,6.3500000000000005,5.997575649438457,5.482801083346262,0.5147745660921954,0.37196774519087966
RUBY,2020-11-30,6.91,6.91,6.6608,6.6608,16229,6.6608,5.933498494790904,5.413425170013962,0.5200733247769413,0.3362660399655507
RUBY,2020-11-27,6.61,6.78,6.57,6.73,13490,6.73,5.801261857480157,5.313635183615079,0.487626673865079,0.2903142187627028
RUBY,2020-11-27,6.61,6.78,6.57,6.73,13490,6.73,5.632400377022004,5.200325998304286,0.4320743787177186,0.24098610498710896
RUBY,2020-11-25,6.44,6.47,6.4,6.46,4028,6.460000000000001,5.432836809207823,5.077952078168629,0.3548847310391947,0.19321403655445651
RUBY,2020-11-24,5.99,6.16,5.9301,6.1,9574,6.1000000000000005,5.2460798654274265,4.96738824442212,0.2786916210053079,0.15279636293327198
RUBY,2020-11-23,5.6,5.76,5.56,5.76,25895,5.76,5.090821659141505,4.876779303975889,0.2140423551656161,0.12132254841526321
RUBY,2020-11-20,5.37,5.37,5.2648,5.31,12225,5.3100000000000005,4.969152869894506,4.80612164829396,0.16303122160054606,0.09814259672767497
RUBY,2020-11-19,5.23,5.263999999999999,5.01,5.21,5971,5.21,4.907180664420781,4.765811380157476,0.14136928426330364,0.08192044050945721
RUBY,2020-11-18,5.28,5.33,5.18,5.28,25399,5.28,4.852122603406376,4.730276290570075,0.12184631283630146,0.06705822957099537
RUBY,2020-11-17,4.98,5.0,4.9238,4.94,7664,4.94,4.7743267131166265,4.6862983938156795,0.08802831930094522,0.05336120875466885
RUBY,2020-11-16,5.04,5.1013,4.935,4.935,44613,4.935,4.744204297319648,4.666002265320935,0.078202031998714,0.0446944311180993
RUBY,2020-11-13,4.94,5.0469,4.86,4.97,87574,4.97,4.709514169559585,4.6444824465466095,0.0650317230129751,0.03631753089794584
RUBY,2020-11-12,4.7,4.815,4.5985,4.5985,3093,4.5985000000000005,4.662153109479509,4.618441042270339,0.04371206720916998,0.02913898286918852
RUBY,2020-11-11,4.8,4.82,4.755,4.82,2676,4.820000000000002,4.6737264021121465,4.620036325651967,0.05369007646017998,0.025495711784193152
RUBY,2020-11-10,4.76,4.81,4.64,4.64,17730,4.6400000000000015,4.6471312024961735,4.6040392317041245,0.04309197079204985,0.018447120615196665
RUBY,2020-11-09,5.07,5.2373,4.7401,4.9401,42346,4.940100000000002,4.648427784768205,4.601162370240454,0.047265414527751126,0.01228590807098359
RUBY,2020-11-06,4.57,4.619,4.51,4.619,1337,4.6190000000000015,4.595396472907878,4.574047359859691,0.021349113048188432,0.0035410314567917048
RUBY,2020-11-05,4.82,4.89,4.64,4.64,3813,4.6400000000000015,4.591104922527492,4.5704511486484645,0.02065377387902689,-0.0009109889410572544
RUBY,2020-11-04,4.91,5.17,4.77,4.89,62702,4.8900000000000015,4.582214908441581,4.564887240540342,0.017327667901239074,-0.006302179646078513
RUBY,2020-11-03,4.73,4.83,4.61,4.78,16497,4.780000000000002,4.526253982703686,4.5388782197835695,-0.012624237079882585,-0.012209641532907909
RUBY,2020-11-02,4.33,4.33,4.2432,4.32,3546,4.320000000000001,4.480118343195267,4.5195884773662565,-0.039470134170989546,-0.012105992646164018
RUBY,2020-10-30,4.35,4.405,4.2,4.23,20791,4.23,4.5092307692307685,4.535555555555557,-0.02632478632478641,-0.005264957264957637
RUBY,2020-10-29,4.63,4.63,4.52,4.56,6523,4.559999999999999,4.56,4.56,0.0,0.0
