Symbol,Date,Open,High,Low,Close,Volume,ZKIN SMA,ZKIN spanTwelveEMA,ZKIN spanTwntySixEMA,ZKIN_x,ZKIN_y
ZKIN,2021-01-06,3.37,3.4,3.07,3.15,333953,3.15,2.632871237868841,2.4094049000109306,0.22346633785791026,0.16347884995244646
ZKIN,2021-01-05,2.7,2.75,2.65,2.73,88884,2.73,2.5388478265722663,2.3501572920118052,0.18869053456046148,0.1484819779760805
ZKIN,2021-01-04,2.7665,2.7665,2.6,2.7,220929,2.7,2.5040928859490417,2.319769875372749,0.1843230105762932,0.13842983882998539
ZKIN,2021-01-04,2.7665,2.7665,2.6,2.7,220929,2.7,2.46847341066705,2.2893514654025684,0.17912194526448166,0.12695654589340852
ZKIN,2020-12-31,2.7,3.14,2.65,3.1115,1479874,3.1115000000000004,2.4263776671519683,2.2564995826347736,0.16987808451719474,0.11391519605064024
ZKIN,2020-12-30,2.4,2.47,2.38,2.4401,114856,2.4401000000000006,2.3018099702705084,2.1880995492455555,0.11371042102495245,0.0999244739340016
ZKIN,2020-12-29,2.5,2.5,2.36,2.37,62436,2.37,2.276666328501509,2.1679395131852,0.10872681531630947,0.09647798716126377
ZKIN,2020-12-28,2.4727,2.54,2.31,2.37,331087,2.37,2.2596965700472382,2.151774674240016,0.10792189580722232,0.09341578012250246
ZKIN,2020-12-28,2.4727,2.54,2.31,2.37,331087,2.37,2.239641400964918,2.1343166481792166,0.10532475278570086,0.08978925120132249
ZKIN,2020-12-24,2.33,2.34,2.26,2.2972,50775,2.2972,2.2159398375039943,2.1154619800335546,0.10047785747043923,0.08590537580522778
ZKIN,2020-12-23,2.31,2.33,2.28,2.3,16973,2.3,2.20116526250472,2.100922938436239,0.1002423240684811,0.08226225538892479
ZKIN,2020-12-22,2.23,2.34,2.19,2.33,110634,2.33,2.1831953102328514,2.084996773511138,0.0981985367217133,0.07776723821903571
ZKIN,2020-12-21,2.24,2.2694,2.17,2.21,75640,2.21,2.1565035484570063,2.0653965153920293,0.09110703306497704,0.0726594135933663
ZKIN,2020-12-18,2.27,2.29,2.2,2.27,177039,2.2700000000000005,2.1467769209037346,2.0538282366233918,0.09294868428034332,0.06804750872546363
ZKIN,2020-12-17,2.23,2.32,2.1999,2.23,36449,2.23,2.124372724704414,2.0365344955532625,0.08783822915115147,0.06182221483674381
ZKIN,2020-12-16,2.23,2.25,2.1601,2.18,30051,2.18,2.105167765559762,2.0210572551975234,0.0841105103622386,0.055318211258141896
ZKIN,2020-12-15,2.3,2.3,2.2,2.2,24836,2.2000000000000006,2.0915619047524463,2.0083418356133254,0.0832200691391205,0.048120136482117715
ZKIN,2020-12-14,2.35,2.4,2.29,2.33,74824,2.330000000000001,2.071845887434709,1.9930091824623917,0.07883670497231754,0.03934515331786691
ZKIN,2020-12-11,2.06,2.19,2.06,2.14,91946,2.140000000000001,2.0249087760592017,1.9660499170593828,0.058858858999818915,0.029472265404254308
ZKIN,2020-12-10,2.55,2.59,2.16,2.28,1552418,2.28,2.0039830989790564,1.952133910424133,0.05184918855492282,0.022125617005363155
ZKIN,2020-12-09,2.03,2.03,1.99,1.99,21108,1.99,1.9537982078843392,1.9259046232580643,0.02789358462627489,0.014694724117973124
ZKIN,2020-12-08,1.96,2.0215,1.95,2.0185,15930,2.0184999999999995,1.9472160638633096,1.9207769931187093,0.026439070744600283,0.011395008990897681
ZKIN,2020-12-07,2.0,2.1,2.0,2.0,38403,2.0,1.9342553482020937,1.912959152568206,0.02129619563388752,0.007633993552472031
ZKIN,2020-12-04,2.02,2.07,1.9601,2.0365,22075,2.0365,1.922301775147929,1.9059958847736629,0.01630589037426633,0.004218443032118105
ZKIN,2020-12-03,1.9807,1.9935,1.92,1.965,31689,1.965,1.9015384615384616,1.895555555555556,0.005982905982905962,0.0011965811965811036
ZKIN,2020-12-02,1.83,1.99,1.83,1.89,57789,1.89,1.89,1.89,0.0,0.0
