Symbol,Date,Open,High,Low,Close,Volume,HBM SMA,HBM spanTwelveEMA,HBM spanTwntySixEMA,HBM_x,HBM_y
HBM,2021-08-31,6.09,6.14,6.09,6.13,17183,6.13,6.070720401252328,6.234376090387113,-0.1636556891347851,-0.17515636205376817
HBM,2021-08-30,6.34,6.3599,6.29,6.29,17492,6.29,6.059942292389115,6.242726177618082,-0.1827838852289671,-0.17803153028351393
HBM,2021-08-27,5.96,5.98,5.95,5.95,19488,5.95,6.018113618278045,6.238944271827529,-0.2208306535494841,-0.1768434415471506
HBM,2021-08-26,5.87,5.87,5.83,5.83,7045,5.83,6.030497912510417,6.262059813573732,-0.2315619010633147,-0.1658466385465672
HBM,2021-08-25,6.04,6.07,6.04,6.05,14863,6.05,6.0669520784214015,6.29662459865963,-0.2296725202382283,-0.1494178229173803
HBM,2021-08-24,5.95,6.02,5.95,5.98,45938,5.98,6.07003427449802,6.316354566552401,-0.2463202920543814,-0.12935414858716826
HBM,2021-08-23,5.57,5.64,5.56,5.6,28598,5.6,6.086404142588568,6.343262931876593,-0.2568587892880245,-0.10011261272036494
HBM,2021-08-20,5.3,5.3,5.28,5.285,33295,5.285,6.174841259422855,6.402723966426721,-0.2278827070038662,-0.06092606857845004
HBM,2021-08-19,5.63,5.63,5.555,5.56,39186,5.56,6.336630579317919,6.492141883740859,-0.1555113044229399,-0.019186908972096198
HBM,2021-08-18,5.92,5.94,5.87,5.8795,31235,5.8795,6.477836139193905,6.566713234440128,-0.0888770952462225,0.014894189890614737
HBM,2021-08-17,6.23,6.25,6.17,6.17,34668,6.17,6.586624528138252,6.621690293195337,-0.0350657650570855,0.04083701117482406
HBM,2021-08-16,6.52,6.52,6.45,6.51,28000,6.51,6.662374442345207,6.657825516650965,0.0045489256942419,0.059812705232801466
HBM,2021-08-13,6.63,6.63,6.59,6.6,7404,6.6,6.690078886407971,6.669651557983042,0.0204273284249287,0.07362865011744113
HBM,2021-08-12,6.68,6.68,6.65,6.65,14302,6.65,6.706456865754875,6.675223682621685,0.0312331831331897,0.08692898054056922
HBM,2021-08-11,6.62,6.71,6.62,6.62,42762,6.62,6.71672175043758,6.67724157723142,0.0394801732061607,0.10085292989241405
HBM,2021-08-10,6.35,6.4,6.3,6.4,31858,6.4,6.7343075232444125,6.681820903409933,0.0524866198344797,0.1161961190639776
HBM,2021-08-09,6.5,6.52,6.42,6.45,14783,6.45,6.795090709288851,6.704366575682728,0.0907241336061233,0.13212349387135205
HBM,2021-08-06,6.78,6.78,6.75,6.75,7115,6.75,6.857834474614097,6.724715901737346,0.133118572876751,0.14247333393765946
HBM,2021-08-05,6.68,6.77,6.68,6.73,34850,6.73,6.877440742725751,6.722693173876333,0.1547475688494177,0.14481202420288658
HBM,2021-08-04,6.95,6.9527,6.95,6.95,4822,6.95,6.904248150494069,6.72210862778644,0.1821395227076285,0.14232813804125377
HBM,2021-08-03,6.94,6.94,6.92,6.92,15699,6.92,6.895929632402082,6.703877318009355,0.1920523143927264,0.13237529187466007
HBM,2021-08-02,7.29,7.29,7.26,7.26,6721,7.26,6.8915532019297325,6.686587503450104,0.2049656984796284,0.1174560362451435
HBM,2021-07-30,7.19,7.21,7.17,7.17,12086,7.17,6.824562875007866,6.640714503726112,0.183848371281754,0.09557862068652226
HBM,2021-07-29,7.29,7.385,7.29,7.37,48052,7.37,6.761756125009297,6.598371664024201,0.163384460985096,0.07351118303771431
HBM,2021-07-28,7.05,7.08,7.0,7.0,34539,7.0,6.6511663295564425,6.536641397146138,0.1145249324103048,0.05104286355086888
HBM,2021-07-27,6.89,6.92,6.84,6.87,37343,6.87,6.587742025839432,6.499572708917829,0.0881693169216024,0.035172346336009894
HBM,2021-07-26,6.79,6.85,6.79,6.85,41586,6.85,6.536422394173874,6.469938525631256,0.0664838685426181,0.02192310368961153
HBM,2021-07-23,6.73,6.7399,6.69,6.73,9975,6.73,6.47940828402367,6.439533607681756,0.0398746763419133,0.010782912476359882
HBM,2021-07-22,6.56,6.65,6.56,6.62,20103,6.62,6.433846153846154,6.416296296296297,0.0175498575498576,0.0035099715099715214
HBM,2021-07-21,6.31,6.41,6.31,6.4,35123,6.4,6.4,6.4,0.0,0.0
