Symbol,Date,Open,High,Low,Close,Volume,CIG SMA,CIG spanTwelveEMA,CIG spanTwntySixEMA,CIG_x,CIG_y
CIG,2021-03-16,2.16,2.16,2.16,2.16,51967,2.16,2.132543053448577,2.2432742270586155,-0.1107311736100382,-0.13063821077405902
CIG,2021-03-15,2.14,2.14,2.13,2.135,36354,2.135,2.1275508813483186,2.2499361652233048,-0.1223852838749861,-0.13561497006506418
CIG,2021-03-12,2.13,2.13,2.13,2.13,32983,2.13,2.126196496138922,2.259131058441169,-0.1329345623022471,-0.13892239161258368
CIG,2021-03-11,2.13,2.13,2.12,2.1211,143717,2.1211,2.125504949982363,2.269461543116463,-0.1439565931341002,-0.14041934894016794
CIG,2021-03-10,2.02,2.02,2.0,2.01,105139,2.01,2.126305849979156,2.2813304665657803,-0.1550246165866244,-0.13953503789168487
CIG,2021-03-09,1.99,1.99,1.9695,1.97,145851,1.97,2.147452368157184,2.3030369038910425,-0.1555845357338583,-0.13566264321794996
CIG,2021-03-08,2.05,2.06,2.04,2.055,62194,2.055,2.179716435094854,2.329679856202326,-0.149963421107472,-0.13068217008897284
CIG,2021-03-05,2.11,2.11,2.095,2.095,37066,2.095,2.202392150566645,2.3516542446985125,-0.1492620941318669,-0.12586185733434802
CIG,2021-03-04,2.13,2.132,2.12,2.13,102279,2.13,2.2219179961242177,2.372186584274393,-0.1502685881501757,-0.12001179813496815
CIG,2021-03-03,2.05,2.05,2.03,2.04,55963,2.04,2.2386303590558936,2.391561511016345,-0.1529311519604514,-0.11244760063116636
CIG,2021-03-02,2.0,2.0001,1.991,2.0001,102043,2.0001,2.274744969793329,2.4196864318976528,-0.1449414621043239,-0.10232671279884507
CIG,2021-03-01,2.11,2.11,2.1,2.1,61694,2.1,2.324680418846661,2.453253346449465,-0.128572927602804,-0.09167302547247536
CIG,2021-02-26,2.2,2.21,2.195,2.21,57572,2.21,2.3655314040915085,2.4815136141654226,-0.115982210073914,-0.0824480499398933
CIG,2021-02-25,2.28,2.28,2.26,2.26,38807,2.26,2.393809841199056,2.5032347032986566,-0.1094248620996007,-0.0740645099063881
CIG,2021-02-24,2.28,2.28,2.26,2.265,42688,2.265,2.418138903235248,2.522693479562549,-0.1045545763273012,-0.06522442185808494
CIG,2021-02-23,2.24,2.25,2.23,2.23,77094,2.23,2.4459823401871112,2.543308957927553,-0.0973266177404417,-0.05539188324078086
CIG,2021-02-22,2.2,2.22,2.19,2.21,185247,2.21,2.4852518565847674,2.5683736745617574,-0.0831218179769899,-0.044908199615865646
CIG,2021-02-19,2.38,2.38,2.375,2.375,8789,2.375,2.5352976486910888,2.597043568526698,-0.0617459198356091,-0.03535479502558457
CIG,2021-02-18,2.43,2.43,2.42,2.43,65152,2.43,2.5644426757258323,2.6148070540088337,-0.0503643782830014,-0.02875701382307842
CIG,2021-02-17,2.46,2.48,2.46,2.48,70977,2.48,2.5888867985850745,2.6295916183295405,-0.0407048197444659,-0.02335517270809766
CIG,2021-02-16,2.54,2.56,2.54,2.56,28630,2.56,2.6086843983278154,2.641558947795904,-0.0328745494680884,-0.01901776094900559
CIG,2021-02-16,2.54,2.56,2.54,2.56,28630,2.56,2.6175361071146908,2.648083663619576,-0.0305475565048851,-0.015553563819234879
CIG,2021-02-12,2.53,2.55,2.52,2.52,188889,2.52,2.62799721749918,2.655130356709141,-0.0271331392099614,-0.011805065647822306
CIG,2021-02-11,2.6,2.61,2.6,2.61,14906,2.61,2.647633075226304,2.665940785245873,-0.0183077100195694,-0.00797304725728764
CIG,2021-02-10,2.59,2.59,2.57,2.575,63188,2.575,2.654475452540177,2.670416048065543,-0.0159405955253659,-0.005389381566717301
CIG,2021-02-09,2.62,2.63,2.61,2.615,26751,2.615,2.668925534820209,2.6780493319107865,-0.0091237970905773,-0.0027515780770551324
CIG,2021-02-08,2.64,2.6501,2.64,2.65,16376,2.65,2.6787301775147925,2.683093278463649,-0.0043631009488565,-0.0011585233236744764
CIG,2021-02-05,2.65,2.665,2.65,2.665,35380,2.665,2.683953846153846,2.6857407407407408,-0.0017868945868948,-0.0003573789173789699
CIG,2021-02-04,2.68,2.69,2.68,2.6874,21999,2.6874,2.6874,2.6874,0.0,0.0
