Symbol,Date,Open,High,Low,Close,Volume,AGRX SMA,AGRX spanTwelveEMA,AGRX spanTwntySixEMA,AGRX_x,AGRX_y
AGRX,2021-03-16,2.18,2.18,2.17,2.18,11490,2.18,2.407288031795174,2.6603115249224745,-0.2530234931273005,-0.19858584545285152
AGRX,2021-03-15,2.2465,2.26,2.22,2.22,48484,2.22,2.448613128485205,2.698736446916272,-0.2501233184310671,-0.18497643353423926
AGRX,2021-03-12,2.23,2.23,2.2,2.22,43877,2.22,2.490179151846152,2.737035362669574,-0.2468562108234224,-0.16868971231003238
AGRX,2021-03-11,2.3882,2.3905,2.3882,2.39,25695,2.39,2.5393026339999976,2.77839819168314,-0.2390955576831426,-0.14914808768168494
AGRX,2021-03-10,2.24,2.24,2.21,2.22,29715,2.22,2.5664485674545428,2.809470047017792,-0.2430214795632488,-0.12666122018132053
AGRX,2021-03-09,2.14,2.15,2.13,2.13,34613,2.13,2.629439216082641,2.856627650779215,-0.2271884346965738,-0.09757115533583832
AGRX,2021-03-08,2.22,2.26,2.15,2.1581,164290,2.1581,2.720246346279485,2.914757862841552,-0.1945115165620667,-0.06516683549565444
AGRX,2021-03-05,2.28,2.28,2.2701,2.2783,16281,2.2783,2.822454772875756,2.9752904918688765,-0.1528357189931206,-0.03283066522905134
AGRX,2021-03-04,2.35,2.35,2.3008,2.3008,21576,2.3008,2.9213920043077115,3.0310497312183866,-0.1096577269106751,-0.0028294017880340153
AGRX,2021-03-03,2.65,2.6691,2.65,2.6691,39345,2.6691,3.034226914181841,3.089469709715857,-0.0552427955340162,0.023877679492626258
AGRX,2021-03-02,2.87,2.88,2.84,2.84,58531,2.84,3.100613625851267,3.1230992864931264,-0.0224856606418595,0.04365779824928677
AGRX,2021-03-01,2.91,2.95,2.9,2.93,11589,2.93,3.147997921460588,3.145747229412576,0.0022506920480118,0.06019366297207334
AGRX,2021-02-26,2.99,3.01,2.9601,2.9601,8129,2.9601,3.187633907180695,3.1630070077655823,0.0246268994151126,0.0746794057030887
AGRX,2021-02-25,3.1335,3.19,3.13,3.15,41454,3.15,3.229003708486276,3.179239568386829,0.0497641400994468,0.08719253227508272
AGRX,2021-02-24,2.97,3.03,2.9623,2.97,9684,2.97,3.2433680191201444,3.1815787338577755,0.0617892852623689,0.09654963031899168
AGRX,2021-02-23,3.08,3.08,3.04,3.05,15001,3.05,3.293071295323807,3.198505032566397,0.0945662627574099,0.10523971658314735
AGRX,2021-02-22,3.34,3.34,3.33,3.33,8448,3.33,3.337266076291772,3.210385435171709,0.1268806411200627,0.10790808003958167
AGRX,2021-02-19,3.37,3.4388,3.37,3.3982,14176,3.3982,3.3385871810720937,3.2008162699854457,0.137770911086648,0.10316493976946131
AGRX,2021-02-18,3.48,3.55,3.48,3.532,13236,3.532,3.327748486721565,3.185025571584281,0.1427229151372842,0.0945134469401646
AGRX,2021-02-17,3.61,3.66,3.56,3.6,51320,3.6,3.2906118479436683,3.157267617311024,0.1333442306326442,0.08246107989088469
AGRX,2021-02-16,3.38,3.38,3.37,3.3718,19579,3.3718,3.2343594566606986,3.121849026695906,0.1125104299647925,0.06974029220544481
AGRX,2021-02-16,3.38,3.38,3.37,3.3718,19579,3.3718,3.209370266962644,3.1018529488315787,0.1075173181310651,0.05904775776560787
AGRX,2021-02-12,3.33,3.33,3.3055,3.3055,6949,3.3055,3.179837588228579,3.0802571847381053,0.0995804034904739,0.04693036767424355
AGRX,2021-02-11,3.46,3.5,3.442,3.4451,16493,3.4451,3.156989876997412,3.0622377595171537,0.0947521174802581,0.03376785872018595
AGRX,2021-02-10,3.74,3.74,3.69,3.6998,25121,3.6998,3.1046062182696685,3.031608780278526,0.0729974379911424,0.018521794030167897
AGRX,2021-02-09,3.14,3.15,3.1323,3.14,38038,3.14,2.996389167045972,2.978153482700808,0.0182356843451638,0.004902883039924259
AGRX,2021-02-08,3.0,3.0,2.99,2.99,19146,2.99,2.970278106508876,2.9652057613168727,0.0050723451920031,0.0015696827136143555
AGRX,2021-02-05,3.02,3.02,3.0035,3.0035,42657,3.0035,2.966692307692308,2.9632222222222224,0.0034700854700853,0.000694017094017152
AGRX,2021-02-04,3.0,3.0,2.96,2.96,41124,2.96,2.96,2.96,0.0,0.0
