Symbol,Date,Open,High,Low,Close,Volume,OPK SMA,OPK spanTwelveEMA,OPK spanTwntySixEMA,OPK_x,OPK_y
OPK,2021-03-16,4.7,4.72,4.7,4.71,37152,4.71,4.530591833804443,4.7418096352958425,-0.2112178014913999,-0.2449102713143687
OPK,2021-03-15,4.53,4.55,4.455,4.52,214924,4.52,4.497972167223432,4.744354406119509,-0.2463822388960768,-0.2533333887701109
OPK,2021-03-12,4.4,4.41,4.31,4.32,92235,4.32,4.493967106718602,4.76230275860907,-0.2683356518904674,-0.25507117623861947
OPK,2021-03-11,4.4,4.4,4.3484,4.3484,70227,4.3484,4.525597489758348,4.797686979297795,-0.2720894895394474,-0.2517550573256572
OPK,2021-03-10,4.54,4.57,4.527,4.54,87675,4.54,4.557815215168957,4.833629937641619,-0.2758147224726617,-0.24667144927220963
OPK,2021-03-09,4.47,4.47,4.45,4.45,56218,4.45,4.561054345199676,4.857120332652949,-0.2960659874532725,-0.23938563097209659
OPK,2021-03-08,4.23,4.24,4.2,4.2084,71109,4.2084,4.581246044326891,4.889689959265184,-0.3084439149382936,-0.2252155418518026
OPK,2021-03-05,4.18,4.19,4.15,4.15,82052,4.15,4.649036234204507,4.944193156006398,-0.2951569218018912,-0.2044084485801798
OPK,2021-03-04,4.3,4.3,4.23,4.25,168133,4.25,4.7397700949689625,5.00772860848691,-0.2679585135179474,-0.18172133027475196
OPK,2021-03-03,4.58,4.58,4.552,4.5716,37485,4.5716,4.828819203145137,5.068346897165863,-0.2395276940207251,-0.16016203446395308
OPK,2021-03-02,4.68,4.69,4.62,4.6301,62575,4.6301,4.875586330989708,5.108086648939132,-0.232500317949424,-0.14032061957475983
OPK,2021-03-01,4.57,4.58,4.56,4.5733,67651,4.5733,4.920220209351473,5.146325580854263,-0.2261053715027898,-0.11727569498109375
OPK,2021-02-26,4.61,4.6334,4.55,4.56,99450,4.56,4.98329661105174,5.192167627322604,-0.208871016270864,-0.09006827585066948
OPK,2021-02-25,4.52,4.53,4.49,4.52,93386,4.52,5.060259631242965,5.242741037508413,-0.182481406265448,-0.06036759074562084
OPK,2021-02-24,4.62,4.64,4.5801,4.5801,121447,4.5801,5.158488655105322,5.300560320509086,-0.1420716654037637,-0.029839136865664032
OPK,2021-02-23,4.6,4.63,4.48,4.52,332229,4.52,5.263650228760834,5.358197146149812,-0.0945469173889774,-0.0017810047311391138
OPK,2021-02-22,4.97,5.0,4.95,4.98,241529,4.98,5.398859361262804,5.425252917841798,-0.0263935565789932,0.021410473433320476
OPK,2021-02-19,5.09,5.15,5.05,5.135,356496,5.135,5.4750156087651325,5.4608731512691415,0.0141424574959909,0.0333614809363989
OPK,2021-02-18,5.49,5.5,5.46,5.49,41688,5.49,5.536836628540611,5.486943003370674,0.0498936251699371,0.038166236796500885
OPK,2021-02-17,5.64,5.66,5.541,5.595,103764,5.595,5.545352379184358,5.486698443640328,0.0586539355440303,0.03523438970314183
OPK,2021-02-16,5.66,5.69,5.63,5.66,113804,5.66,5.53632553903606,5.478034319131554,0.0582912199045058,0.029379503242919706
OPK,2021-02-16,5.66,5.69,5.63,5.66,113804,5.66,5.513839273406253,5.463477064662078,0.0503622087441755,0.022151574077523176
OPK,2021-02-12,5.52,5.53,5.45,5.48,77057,5.48,5.487264595843754,5.447755229835044,0.0395093660087093,0.01509891541086009
OPK,2021-02-11,5.67,5.73,5.66,5.675,82349,5.675,5.488585431451709,5.445175648221848,0.043409783229861,0.008996302761397772
OPK,2021-02-10,5.7883,5.82,5.78,5.81,120817,5.81,5.454691873533839,5.426789700079596,0.027902173454243,0.00039293264428196494
OPK,2021-02-09,5.51,5.53,5.46,5.4998,76157,5.4998,5.390090395994537,5.396132876085964,-0.006042480091426,-0.00648437755820831
OPK,2021-02-08,5.37,5.4,5.34,5.37,108167,5.37,5.370143195266271,5.38783950617284,-0.0176963109065688,-0.006594851924903652
OPK,2021-02-05,5.19,5.2,5.14,5.1676,98580,5.1676,5.37016923076923,5.389266666666667,-0.0190974358974367,-0.0038194871794873467
OPK,2021-02-04,5.34,5.42,5.34,5.407,67086,5.407,5.407,5.407,0.0,0.0
