Symbol,Date,Open,High,Low,Close,Volume,CRVS SMA,CRVS spanTwelveEMA,CRVS spanTwntySixEMA,CRVS_x,CRVS_y
CRVS,2021-02-19,3.82,3.84,3.6415,3.75,273004,3.75,3.817731707317351,3.877014165914638,-0.059282458597286876,-0.016201721379430954
CRVS,2021-02-18,3.7,3.75,3.61,3.72,520340,3.7200000000000006,3.8300465631932332,3.887175299187809,-0.05712873599457646,-0.005431537074966975
CRVS,2021-02-17,3.63,3.65,3.515,3.555,462161,3.555,3.850055029228366,3.900549323122834,-0.05049429389446791,0.007492762654935176
CRVS,2021-02-16,3.56,3.71,3.56,3.665,893407,3.6650000000000014,3.903701398178978,3.928193268972661,-0.02449187079368276,0.021989526792285947
CRVS,2021-02-16,3.56,3.71,3.56,3.665,893407,3.665,3.947101652393338,3.9492487304904738,-0.0021470780971357684,0.03360987618877812
CRVS,2021-02-12,3.51,3.62,3.48,3.535,856986,3.535,3.9983928619194,3.971988628929712,0.02640423298968786,0.04254911476025659
CRVS,2021-02-11,4.245,4.32,4.03,4.04,98936,4.04,4.082646109541108,4.0069477192440885,0.07569839029701964,0.04658533520289877
CRVS,2021-02-10,4.68,4.71,4.15,4.35,358741,4.3500000000000005,4.090399947639492,4.004303536783616,0.08609641085587594,0.039307071429368554
CRVS,2021-02-09,4.26,4.34,4.22,4.26,33071,4.26,4.0431999381194,3.976647819726305,0.06655211839309416,0.027609736572741708
CRVS,2021-02-08,4.1,4.2455,4.1,4.2397,22333,4.239700000000001,4.0037817450501985,3.95397964530441,0.04980209974578953,0.01787414111765326
CRVS,2021-02-05,4.09,4.09,3.91,3.91,54322,3.910000000000001,3.960887516877509,3.9311220169287626,0.029765499948745774,0.009892151460619412
CRVS,2021-02-04,4.27,4.4665,4.1,4.15,197095,4.150000000000002,3.970139792673419,3.932811778283064,0.037328014390355164,0.00492381433858771
CRVS,2021-02-03,4.28,4.28,4.09,4.18,118394,4.1800000000000015,3.9374379367958583,3.915436720545709,0.022001216250149724,-0.003177235674354151
CRVS,2021-02-02,4.06,4.2,3.8801,4.16,246515,4.160000000000002,3.8933357434860154,3.8942716581893664,-0.0009359147033509707,-0.009471848655480009
CRVS,2021-02-01,3.81,3.81,3.6839999999999997,3.72,3068,3.7200000000000015,3.844851333210745,3.8730133908445152,-0.028162057633770218,-0.011605832143512268
CRVS,2021-01-29,3.71,3.75,3.7,3.735,5626,3.7350000000000017,3.8675515756126986,3.885254462112077,-0.01770288649937779,-0.007466775770947778
CRVS,2021-01-28,3.81,3.8899,3.76,3.8379,14819,3.8379000000000016,3.891651862087735,3.897274819081043,-0.005622956993307947,-0.004907748088840164
CRVS,2021-01-27,3.87,3.88,3.75,3.87,46449,3.8700000000000014,3.9014249279218687,3.9020248046075263,-0.0005998766856571969,-0.0047289458627232175
CRVS,2021-01-26,3.98,4.06,3.94,3.99,34652,3.990000000000003,3.9071385511803913,3.904586788976129,0.0025517622042623427,-0.005761213156989612
CRVS,2021-01-25,4.06,4.11,4.01,4.01,9052,4.010000000000003,3.8920728332131893,3.897753732094219,-0.005680898881029961,-0.0078394569973026
CRVS,2021-01-22,3.89,3.97,3.81,3.9,10242,3.900000000000005,3.8706315301610417,3.888774030661757,-0.018142500500714757,-0.00837909652637087
CRVS,2021-01-21,3.86,3.98,3.76,3.76,31164,3.760000000000004,3.86529180837214,3.8878759531146967,-0.02258414474255721,-0.005938245532784787
CRVS,2021-01-20,3.79,3.8027,3.74,3.74,41732,3.740000000000004,3.8844357735307113,3.898106029363873,-0.01367025583316206,-0.0017767707303417914
CRVS,2021-01-19,4.06,4.06,3.85,3.8637,62836,3.8637000000000032,3.910696823263568,3.9107545117129825,-5.768844941522744e-05,0.001196600545363165
CRVS,2021-01-19,4.06,4.06,3.85,3.8637,62836,3.863700000000003,3.91924170022058,3.9145188726500217,0.004722827570558419,0.0015101727940575408
CRVS,2021-01-15,4.3,4.325,4.1008,4.1008,64655,4.100800000000003,3.9293401911697767,3.918584382462024,0.010755808707753278,0.0007070090999323213
CRVS,2021-01-14,3.86,3.91,3.83,3.8753,5519,3.875300000000004,3.898165680473373,3.9040071330589847,-0.0058414525856123065,-0.001805190802022807
CRVS,2021-01-13,3.89,3.89,3.82,3.8601,5767,3.860100000000004,3.9023230769230763,3.906303703703704,-0.003980626780627272,-0.0007961253561255433
CRVS,2021-01-12,3.95,3.98,3.88,3.91,16164,3.910000000000004,3.91,3.91,0.0,0.0
