Symbol,Date,Open,High,Low,Close,Volume,REFR SMA,REFR spanTwelveEMA,REFR spanTwntySixEMA,REFR_x,REFR_y
REFR,2021-02-19,5.33,5.45,5.25,5.26,28704,5.26,4.788258482536863,4.436822047054666,0.3514364354821966,0.3355217923513195
REFR,2021-02-18,5.12,5.228,5.02,5.2,36823,5.200000000000001,4.702487297543565,4.37096781081904,0.3315194867245257,0.3315431315686002
REFR,2021-02-17,4.72,4.79,4.65,4.68,13952,4.6800000000000015,4.612030442551487,4.304645235684563,0.3073852068669236,0.33154904277961883
REFR,2021-02-16,4.79,4.8899,4.72,4.79,12831,4.790000000000001,4.599672341197212,4.274616854539328,0.32505548665788364,0.33759000175779263
REFR,2021-02-16,4.79,4.8899,4.72,4.79,12831,4.790000000000002,4.5650673123239764,4.233386202902475,0.33168110942150264,0.3407236305327699
REFR,2021-02-12,4.46,4.53,4.4,4.5,10057,4.500000000000003,4.5241704600192465,4.1888570991346725,0.3353133608845731,0.3429842608105869
REFR,2021-02-11,4.53,4.65,4.53,4.61,5978,4.610000000000003,4.528565089113654,4.163965667065447,0.3645994220482072,0.34490198579209014
REFR,2021-02-10,4.99,4.99,4.83,4.83,27257,4.830000000000003,4.513758741679774,4.1282829204306815,0.3854758212490905,0.33997762672806087
REFR,2021-02-09,4.91,5.1,4.81,5.1,70418,5.100000000000003,4.456260331076097,4.072145554065137,0.38411477701095903,0.328603078097803
REFR,2021-02-08,5.39,5.4899,5.18,5.21,44865,5.210000000000003,4.339216754908113,3.989917198390348,0.34929955651776545,0.31472515336951373
REFR,2021-02-05,4.95,5.1,4.78,4.8051,97878,4.805100000000004,4.18089252852777,3.892310574261576,0.28858195426619426,0.3060815525824508
REFR,2021-02-04,4.05,4.08,3.95,3.965,22098,3.9650000000000025,4.067400260987364,3.8192874202025022,0.2481128407848625,0.3104564521615149
REFR,2021-02-03,3.97,4.02,3.92,4.01,26420,4.0100000000000025,4.0860184902577945,3.8076304138187016,0.2783880764390925,0.32604235500567813
REFR,2021-02-02,4.15,4.15,3.95,3.95,27016,3.950000000000003,4.09984003394103,3.7914408469241985,0.3083991870168319,0.33795592464732443
REFR,2021-02-01,4.1,4.27,3.92,3.92,50999,3.9200000000000026,4.127083676475763,3.7787561146781337,0.3483275617976296,0.34534510905494764
REFR,2021-01-29,3.93,4.15,3.8712,4.15,41374,4.150000000000004,4.1647352540168106,3.7674566038523847,0.3972786501644259,0.34459949586927713
REFR,2021-01-28,4.28,4.2868,4.21,4.28,19414,4.280000000000003,4.167414391110777,3.736853132160576,0.4305612589502004,0.33142970729548993
REFR,2021-01-27,4.78,4.81,4.6401,4.79,40232,4.7900000000000045,4.146944280403644,3.6934013827334216,0.4535428976702223,0.3066468193818122
REFR,2021-01-26,4.99,5.02,4.81,4.84,105160,4.8400000000000025,4.03002505865885,3.6056734933520955,0.4243515653067562,0.2699227998097097
REFR,2021-01-25,4.61,4.68,4.42,4.6,82699,4.600000000000001,3.882756887505914,3.506927372820263,0.37582951468565184,0.2313156084354484
REFR,2021-01-22,4.45,4.49,4.25,4.49,29487,4.490000000000002,3.7523490488706255,3.4194815626458834,0.3328674862247425,0.19518713187289766
REFR,2021-01-21,4.3,4.35,4.04,4.2695,77804,4.2695000000000025,3.6182306941198314,3.3338400876575545,0.2843906064622765,0.16076704328493657
REFR,2021-01-20,3.94,4.0,3.87,3.9181,22030,3.9181000000000044,3.499818093050709,3.258987294670159,0.24083079838055044,0.12986115249060148
REFR,2021-01-19,3.94,4.05,3.9075,3.9075,65133,3.9075000000000033,3.4237668372417467,3.206258278243772,0.2175085589979755,0.10211874101811436
REFR,2021-01-19,3.94,4.05,3.9075,3.9075,65133,3.907500000000003,3.335815353103883,3.1501589405032733,0.18565641260060994,0.07327128652314929
REFR,2021-01-15,3.95,3.95,3.845,3.8833,29256,3.8833000000000015,3.2318726900318615,3.0895716557435358,0.14230103428832666,0.045175005003784116
REFR,2021-01-14,3.91,3.95,3.56,3.83,311302,3.830000000000002,3.1134313609467457,3.0260733882030184,0.0873579727437277,0.02089349768264871
REFR,2021-01-13,3.13,3.24,3.13,3.21,54862,3.2100000000000017,2.9831461538461537,2.9617592592592583,0.021386894586894908,0.004277378917379071
REFR,2021-01-12,2.94,2.96,2.94,2.9419,1056,2.9419000000000013,2.9419,2.9419,0.0,0.0
