Symbol,Date,Open,High,Low,Close,Volume,ATAX SMA,ATAX spanTwelveEMA,ATAX spanTwntySixEMA,ATAX_x,ATAX_y
ATAX,2021-02-19,4.78,4.8078,4.7706,4.7902,4764,4.7902,4.647010481229887,4.567694618792992,0.0793158624368937,0.06967983776776444
ATAX,2021-02-18,4.69,4.72,4.651,4.72,3104,4.72,4.620976023271684,4.549894188296432,0.07108183497525289,0.0672708316004819
ATAX,2021-02-17,4.67,4.7,4.66,4.66,11477,4.659999999999998,4.602971663866535,4.5362857233601455,0.06668594050638976,0.06631808075678938
ATAX,2021-02-16,4.65,4.7299,4.62,4.62,27704,4.619999999999999,4.592602875478633,4.526388581228957,0.06621429424967573,0.06622611581938928
ATAX,2021-02-16,4.65,4.7299,4.62,4.62,27704,4.619999999999998,4.587621580111112,4.518899667727274,0.06872191238383785,0.06622907121181767
ATAX,2021-02-12,4.58,4.5899,4.58,4.5899,6074,4.589899999999997,4.581734594676769,4.510811641145455,0.07092295353131295,0.0656058609188124
ATAX,2021-02-11,4.59,4.63,4.56,4.6129,5066,4.612899999999996,4.58024997552709,4.504484572437092,0.07576540308999746,0.06427658776568705
ATAX,2021-02-10,4.65,4.7,4.5804,4.7,16231,4.699999999999996,4.5743136074411055,4.495811338232059,0.07850226920904646,0.06140438393460944
ATAX,2021-02-09,4.67,4.75,4.67,4.7,14761,4.699999999999995,4.5514615360667605,4.479476245290623,0.07198529077613712,0.05712991261600018
ATAX,2021-02-08,4.6,4.65,4.57,4.61,77695,4.609999999999995,4.524454542624354,4.461834344913873,0.06262019771048077,0.05341606807596594
ATAX,2021-02-05,4.59,4.643,4.581,4.61,20607,4.609999999999995,4.508900823101508,4.449981092506984,0.0589197305945266,0.05111503566733723
ATAX,2021-02-04,4.55,4.58,4.55,4.56,36679,4.559999999999994,4.490519154574511,4.437179579907541,0.053339574666970264,0.04916386193554033
ATAX,2021-02-03,4.51,4.52,4.4701,4.48,22981,4.479999999999996,4.477886273588059,4.427353946300143,0.05053232728791457,0.04811993375268284
ATAX,2021-02-02,4.6,4.6,4.49,4.51,34141,4.5099999999999945,4.477501959694979,4.4231422620041565,0.054359697690822266,0.04751683536887469
ATAX,2021-02-01,4.48,4.5,4.4501,4.476,4785,4.475999999999994,4.4715932250940655,4.416193642964489,0.05539958212957696,0.04580611978838779
ATAX,2021-01-29,4.61,4.7,4.5364,4.55,35056,4.549999999999994,4.470791993292986,4.411409134401646,0.05938285889133876,0.043407754203090496
ATAX,2021-01-28,4.4,4.49,4.4,4.44,18248,4.439999999999993,4.456390537528074,4.400321865153778,0.05606867237429558,0.0394139780310282
ATAX,2021-01-27,4.59,4.59,4.494,4.5101,31612,4.510099999999993,4.459370635260451,4.397147614366081,0.06222302089437015,0.035250304445211135
ATAX,2021-01-26,4.7,4.8,4.67,4.79,196796,4.789999999999994,4.450147114398715,4.388111423515367,0.0620356908833477,0.02850712533292138
ATAX,2021-01-25,4.45,4.55,4.45,4.51,27089,4.5099999999999945,4.388355680653026,4.3559603373965965,0.03239534325642968,0.020124983945314798
ATAX,2021-01-22,4.37,4.391,4.3535,4.39,50183,4.3899999999999935,4.366238531680849,4.343637164388324,0.022601367292525158,0.017057394117536075
ATAX,2021-01-21,4.39,4.39,4.35,4.35,3363,4.349999999999993,4.36191826471373,4.33992813753939,0.021990127174340124,0.015671400823788803
ATAX,2021-01-20,4.41,4.4139,4.4,4.4,3612,4.399999999999993,4.364085221934409,4.339122388542542,0.024962833391867,0.01409171923615097
ATAX,2021-01-19,4.39,4.42,4.39,4.42,4968,4.419999999999994,4.3575552622861204,4.3342521796259454,0.023303082660174116,0.011373940697221962
ATAX,2021-01-19,4.39,4.42,4.39,4.42,4968,4.419999999999994,4.346201673610868,4.3273923539960215,0.01880931961484666,0.008391655206483701
ATAX,2021-01-15,4.31,4.33,4.31,4.33,7807,4.329999999999994,4.332783796085572,4.319983742315704,0.012800053769868036,0.00578723910439296
ATAX,2021-01-14,4.38,4.43,4.38,4.4085,13996,4.408499999999994,4.3332899408284025,4.31918244170096,0.014107499127442582,0.004034035438024191
ATAX,2021-01-13,4.44,4.45,4.4,4.4,11219,4.399999999999993,4.319615384615385,4.312037037037037,0.007578347578347966,0.0015156695156695933
ATAX,2021-01-12,4.36,4.36,4.3,4.305,5513,4.3049999999999935,4.305,4.305,0.0,0.0
