Symbol,Date,Open,High,Low,Close,Volume,BXRX SMA,BXRX spanTwelveEMA,BXRX spanTwntySixEMA,BXRX_x,BXRX_y
BXRX,2021-02-19,1.62,1.68,1.614,1.6711,589339,1.6711,1.7197710600613858,1.6258300460668154,0.09394101399457044,0.10668579921552929
BXRX,2021-02-18,1.64,1.665,1.58,1.599,1211440,1.5990000000000002,1.7286203437089105,1.6222084497521605,0.10641189395675,0.10987199552076898
BXRX,2021-02-17,1.79,1.81,1.68,1.7089,1838003,1.7089,1.7521876789287123,1.6240651257323335,0.12812255319637875,0.11073702091177372
BXRX,2021-02-16,1.88,1.96,1.86,1.9,1982766,1.9,1.7600581660066599,1.6172783357909202,0.14277983021573992,0.10639063784062244
BXRX,2021-02-16,1.88,1.96,1.86,1.9,1982766,1.9,1.7346141961896893,1.5946606026541938,0.1399535935354954,0.09729333974684312
BXRX,2021-02-12,1.81,1.84,1.75,1.7889,925646,1.7889,1.70454405004236,1.5702334508665294,0.13431059917583044,0.08662827629968005
BXRX,2021-02-11,2.0,2.0,1.88,1.885,780743,1.885,1.6892066045955156,1.5527401269358518,0.13646647765966424,0.07470769558064239
BXRX,2021-02-10,2.0,2.06,1.95,1.9987,1928362,1.9987,1.6536078054310646,1.52615933709072,0.1274484683403445,0.05926800006088703
BXRX,2021-02-09,2.01,2.1,1.96,2.025,4685647,2.025,1.5908637700548944,1.4883560840579777,0.10250768599691673,0.042222882991022656
BXRX,2021-02-08,1.77,1.95,1.7,1.9299,3112570,1.9299,1.511929910064875,1.4454245707826159,0.06650533928225921,0.027151682239549134
BXRX,2021-02-05,1.6,1.63,1.57,1.5911,744567,1.5911,1.4359353482584891,1.406666536445225,0.029268811813263795,0.017313267978871612
BXRX,2021-02-04,1.58,1.63,1.5,1.52,930541,1.52,1.4077235933963963,1.3919118593608433,0.015811734035553027,0.01432438202027351
BXRX,2021-02-03,1.45,1.46,1.43,1.44,400974,1.44,1.3873097012866502,1.3816648081097107,0.005644893176939503,0.013952544016453631
BXRX,2021-02-02,1.32,1.33,1.29,1.315,477185,1.315,1.377729646975132,1.3769979927584874,0.0007316542166446728,0.016029456726332162
BXRX,2021-02-01,1.35,1.35,1.28,1.3,595101,1.3000000000000005,1.389135037334247,1.3819578321791663,0.00717720515508069,0.01985390735375409
BXRX,2021-01-29,1.38,1.38,1.31,1.3499,566574,1.3499000000000003,1.4053414077586557,1.3885144587534997,0.016826949005156022,0.02302308290342244
BXRX,2021-01-28,1.36,1.36,1.31,1.335,643948,1.3350000000000006,1.415421663714775,1.3916036154537796,0.023818048260995317,0.024572116377989048
BXRX,2021-01-27,1.42,1.45,1.21,1.3702,2155126,1.3702000000000003,1.4300437843901883,1.3961319046900822,0.03391187970010634,0.024760633407237477
BXRX,2021-01-26,1.54,1.5548,1.5,1.5,879982,1.5000000000000004,1.440924472461132,1.3982064570652888,0.04271801539584308,0.022472821834020315
BXRX,2021-01-25,1.5,1.57,1.5,1.52,605701,1.5200000000000005,1.430183467454065,1.3900629736305121,0.04012049382355309,0.017411523443564565
BXRX,2021-01-22,1.51,1.53,1.39,1.4601,1338293,1.4601000000000002,1.4138531888093495,1.3796680115209528,0.03418517728839676,0.01173428084856749
BXRX,2021-01-21,1.72,1.85,1.64,1.65,2807947,1.65,1.4054446776837768,1.373233452442629,0.032211225241147716,0.006121556738610172
BXRX,2021-01-20,1.5507,1.59,1.46,1.5090000000000001,1964191,1.5090000000000003,1.3609800736262818,1.3510921286380393,0.009887944988242523,-0.00040086038702421547
BXRX,2021-01-19,1.32,1.34,1.31,1.3312,501394,1.3312000000000002,1.3340673597401511,1.3384594989290823,-0.004392139188930999,-0.0029730617308409008
BXRX,2021-01-19,1.32,1.34,1.31,1.3312,501394,1.3312,1.334588697874724,1.3390402588434092,-0.00445156096868482,-0.0026182923663183207
BXRX,2021-01-15,1.31,1.37,1.3,1.35,416923,1.35,1.3352048247610375,1.3396674795508816,-0.004462654789844089,-0.0021599752157265848
BXRX,2021-01-14,1.29,1.3,1.27,1.285,532913,1.2849999999999997,1.3325147928994079,1.338840877914952,-0.006326085015543992,-0.0015843053221972084
BXRX,2021-01-13,1.37,1.38,1.3,1.32,903747,1.3199999999999996,1.341153846153846,1.3431481481481482,-0.001994301994302061,-0.00039886039886045667
BXRX,2021-01-12,1.41,1.44,1.33,1.345,2912102,1.3449999999999995,1.345,1.345,0.0,0.0
