Symbol,Date,Open,High,Low,Close,Volume,AXU SMA,AXU spanTwelveEMA,AXU spanTwntySixEMA,AXU_x,AXU_y
AXU,2021-07-29,2.31,2.31,2.23,2.26,121321,2.26,2.1733757370867317,2.290687830978006,-0.1173120938912748,-0.13094562297417633
AXU,2021-07-28,2.07,2.07,2.0643,2.0643,6764,2.0643,2.1576258711025007,2.293142857456247,-0.1355169863537462,-0.13435400524490182
AXU,2021-07-27,2.15,2.15,2.13,2.13,3275,2.13,2.174594211302955,2.3114502860527466,-0.1368560747497915,-0.1340632599676907
AXU,2021-07-26,2.05,2.1,2.05,2.08,11573,2.08,2.1827022497216744,2.3259663089369664,-0.143264059215292,-0.1333650562721655
AXU,2021-07-23,2.08,2.09,2.08,2.09,14298,2.09,2.201375386034706,2.345643613651924,-0.1442682276172178,-0.13089030553638387
AXU,2021-07-22,2.18,2.18,2.18,2.18,4821,2.18,2.2216254562228346,2.3660951027440777,-0.1444696465212431,-0.12754582501617537
AXU,2021-07-21,2.03,2.07,2.03,2.07,17615,2.07,2.2291937209906227,2.380982710963604,-0.1517889899729811,-0.12331486963990843
AXU,2021-07-20,2.0,2.03,2.0,2.03,18529,2.03,2.2581380338980086,2.405861327840692,-0.1477232939426835,-0.11619633955664024
AXU,2021-07-19,2.05,2.06,2.0,2.06,58591,2.06,2.299617676424919,2.435930234067948,-0.1363125576430284,-0.10831460096012942
AXU,2021-07-16,2.21,2.22,2.21,2.22,2969,2.22,2.3431845266839955,2.466004652793383,-0.1228201261093877,-0.10131511178940454
AXU,2021-07-15,2.27,2.27,2.26,2.27,10165,2.27,2.365581713353813,2.485685025016854,-0.120103311663041,-0.09593885820940873
AXU,2021-07-14,2.29,2.29,2.28,2.28,9022,2.28,2.38296020669087,2.502939827018203,-0.1199796203273328,-0.08989774484600065
AXU,2021-07-13,2.2,2.2,2.19,2.19,11001,2.19,2.401680244271028,2.520775013179659,-0.119094768908631,-0.08237727597566759
AXU,2021-07-12,2.26,2.27,2.15,2.21,115903,2.21,2.440167561411215,2.547237014234032,-0.1070694528228166,-0.07319790274242673
AXU,2021-07-09,2.26,2.26,2.26,2.26,29395,2.26,2.4820162089405278,2.5742159753727543,-0.0921997664322269,-0.06473001522232913
AXU,2021-07-08,2.36,2.36,2.36,2.36,5579,2.36,2.52238279238426,2.5993532534025747,-0.0769704610183148,-0.05786257741985478
AXU,2021-07-07,2.43,2.455,2.43,2.455,7603,2.455,2.5519069364541256,2.6185015136747807,-0.0665945772206551,-0.05308560652023976
AXU,2021-07-06,2.53,2.53,2.51,2.53,13798,2.53,2.5695263794457848,2.6315816347687635,-0.0620552553229787,-0.049708363845135925
AXU,2021-07-06,2.53,2.53,2.51,2.53,13798,2.53,2.576712993890473,2.6397081655502648,-0.0629951716597916,-0.04662164097567523
AXU,2021-07-02,2.59,2.59,2.5,2.5,30661,2.5,2.5852062655069226,2.648484818794286,-0.0632785532873634,-0.04252825830464613
AXU,2021-07-01,2.51,2.55,2.51,2.55,16009,2.55,2.6006983137809088,2.660363604297829,-0.0596652905169201,-0.0373406845589668
AXU,2021-06-30,2.48,2.5,2.48,2.48,16729,2.48,2.609916189013801,2.669192692641656,-0.0592765036278541,-0.03175953306947846
AXU,2021-06-29,2.45,2.47,2.45,2.45,15589,2.45,2.633537314289037,2.684328108052988,-0.0507907937639502,-0.024880290429884412
AXU,2021-06-28,2.55,2.56,2.55,2.55,8759,2.55,2.6669077350688624,2.7030743566972264,-0.036166621628364,-0.018402664596367732
AXU,2021-06-25,2.68,2.68,2.62,2.63,12081,2.63,2.6881636868995646,2.715320305233005,-0.0271566183334401,-0.013961675338368652
AXU,2021-06-24,2.66,2.68,2.66,2.66,9027,2.66,2.698738902699485,2.7221459296516453,-0.0234070269521597,-0.010662939589600767
AXU,2021-06-23,2.61,2.6201,2.61,2.6201,5647,2.6201,2.705782339553937,2.727117604023777,-0.0213352644698394,-0.007476917748960898
AXU,2021-06-22,2.68,2.68,2.64,2.64,17630,2.64,2.7213609467455626,2.735679012345679,-0.0143180656001162,-0.004012331068741144
AXU,2021-06-21,2.65,2.66,2.65,2.66,37034,2.66,2.7361538461538464,2.743333333333333,-0.0071794871794867,-0.0014358974358973599
AXU,2021-06-18,2.77,2.77,2.74,2.75,38177,2.75,2.75,2.75,0.0,0.0
