Symbol,Date,Open,High,Low,Close,Volume,GMHIW SMA,GMHIW spanTwelveEMA,GMHIW spanTwntySixEMA,GMHIW_x,GMHIW_y
GMHIW,2020-09-22,4.01,4.2,4.0,4.0,9392,4.0,3.9007122775578553,3.4007501164490224,0.499962161108833,0.49878726414275887
GMHIW,2020-09-21,3.99,3.9999,3.79,3.8,44622,3.8,3.882659964386556,3.352810125764944,0.5298498386216122,0.49849353990124035
GMHIW,2020-09-18,4.39,4.39,4.08,4.2194,22242,4.219400000000001,3.8976890488204754,3.3170349358261397,0.5806541129943361,0.4906544652211474
GMHIW,2020-09-17,4.05,4.23,4.0,4.12,36060,4.120000000000001,3.839196148606016,3.2448457306922305,0.5943504179137853,0.4681545532778503
GMHIW,2020-09-16,4.6,4.74,4.51,4.6571,46722,4.657100000000002,3.7881409028980184,3.174833389147609,0.61330751375041,0.43660558711886643
GMHIW,2020-09-15,5.0,5.0,4.61,4.65,54288,4.650000000000002,3.630148339788568,3.0562520602794176,0.57389627950915,0.3924301054609806
GMHIW,2020-09-14,4.4,4.5,4.2,4.4999,125775,4.499900000000002,3.4447207652046714,2.9287522251017712,0.5159685401029002,0.34706356194893817
GMHIW,2020-09-11,4.25,4.25,4.02,4.15,71431,4.150000000000002,3.252869995241884,2.8030604031099124,0.4498095921319716,0.3048373174104477
GMHIW,2020-09-10,4.18,4.18,3.78,3.9932,131846,3.9932000000000016,3.0897554489222268,2.6953052353587053,0.3944502135635215,0.26859424873006665
GMHIW,2020-09-09,3.4,3.66,3.35,3.66,102632,3.660000000000002,2.9254928032717222,2.5914736541874017,0.3340191490843205,0.23713025752170297
GMHIW,2020-09-08,3.25,3.25,3.09,3.1,41455,3.1000000000000014,2.791946040230217,2.5059915465223943,0.2859544937078229,0.2129080346310486
GMHIW,2020-09-08,3.25,3.25,3.09,3.1,41455,3.100000000000001,2.735936229362984,2.4584708702441858,0.2774653591187977,0.19464641986185502
GMHIW,2020-09-04,3.35,3.35,2.98,2.98,89697,2.9800000000000013,2.66974281651989,2.4071485398637207,0.2625942766561695,0.17394168504761923
GMHIW,2020-09-03,3.3,3.3,3.1,3.15,40746,3.150000000000001,2.6133324195235064,2.3613204230528186,0.25201199647068817,0.15177853714548165
GMHIW,2020-09-02,3.12,3.5,2.9,2.9,154699,2.900000000000001,2.5157564958005074,2.298226056897044,0.2175304389034638,0.12672017231418012
GMHIW,2020-09-01,2.75,2.75,2.6,2.63,29140,2.630000000000001,2.4458940404915084,2.2500841414488066,0.1958098990427013,0.1040176056668593
GMHIW,2020-08-31,2.9,2.9,2.6647,2.7,27208,2.700000000000002,2.412420229671783,2.219690872764712,0.19272935690707135,0.08106953232289868
GMHIW,2020-08-28,2.96,2.96,2.75,2.75,29086,2.7500000000000018,2.3601329987030164,2.1812661425858884,0.17886685611712805,0.0531545761768556
GMHIW,2020-08-27,3.0,3.0,2.7,2.76,36401,2.7600000000000016,2.2892480893762923,2.1357674339927595,0.15348065538353284,0.021726506191787488
GMHIW,2020-08-26,3.42,3.42,2.91,2.91,47292,2.910000000000002,2.2036568328992545,2.0858288287121804,0.11782800418707405,-0.011212031106148854
GMHIW,2020-08-25,3.2,3.3,2.94,2.98,201611,2.9800000000000018,2.0752308025173005,2.019895135009155,0.055335667508145565,-0.04347203992945458
GMHIW,2020-08-24,2.59,2.6,2.1,2.3645,212390,2.3645000000000023,1.9107273120659003,1.9430867458098875,-0.032359433743986754,-0.06817396678885461
GMHIW,2020-08-21,1.73,2.1,1.73,1.9502,25432,1.9502000000000024,1.8282231869869732,1.9093736854746783,-0.08115049848770495,-0.07712760005007147
GMHIW,2020-08-20,1.6913,1.6913,1.65,1.6801,1500,1.680100000000002,1.8060455846209684,1.9061075803126528,-0.10006199569168417,-0.07612187544066304
GMHIW,2020-08-19,1.725,1.725,1.725,1.725,333,1.725000000000002,1.828944781824781,1.924188186737665,-0.09524340491288386,-0.0701368453779077
GMHIW,2020-08-18,1.74,1.74,1.74,1.74,7781,1.7400000000000015,1.8478438330656504,1.9401232416766783,-0.09227940861102768,-0.06386020549416366
GMHIW,2020-08-17,1.72,1.76,1.72,1.75,10164,1.7500000000000016,1.8674518027139504,1.9561331010108125,-0.08868129829686189,-0.05675540471494759
GMHIW,2020-08-14,1.75,1.75,1.75,1.75,300,1.7500000000000018,1.8888066759346684,1.9726237490916771,-0.08381707315700893,-0.04877393131946896
GMHIW,2020-08-13,1.85,1.85,1.75,1.75,5300,1.7500000000000018,1.9140442533773352,1.990433649019012,-0.07638939564167657,-0.04001314586008402
GMHIW,2020-08-13,1.85,1.85,1.75,1.75,5300,1.7500000000000018,1.9438704812641232,2.0096683409405327,-0.0657978596764095,-0.03091908341468582
GMHIW,2020-08-11,1.9,1.9,1.9,1.9,200,1.9000000000000017,1.9791196596757816,2.030441808215776,-0.05132214853999351,-0.022199389349254903
GMHIW,2020-08-10,1.91,1.91,1.75,1.75,3877,1.7500000000000018,1.9935050523441056,2.0408771528730374,-0.047372100528931586,-0.014918699551570085
GMHIW,2020-08-07,1.95,1.95,1.85,1.8521,51352,1.8521000000000016,2.0377786982248516,2.0641473251028803,-0.026368626878028326,-0.006805349307229652
GMHIW,2020-08-06,1.97,1.97,1.97,1.97,500,1.9700000000000013,2.0715384615384616,2.081111111111111,-0.00957264957264936,-0.0019145299145298723
GMHIW,2020-08-05,1.98,2.09,1.98,2.09,47000,2.0900000000000016,2.09,2.09,0.0,0.0
