Symbol,Date,Open,High,Low,Close,Volume,PHX SMA,PHX spanTwelveEMA,PHX spanTwntySixEMA,PHX_x,PHX_y
PHX,2020-09-22,1.72,1.76,1.72,1.74,3048,1.74,1.800346846114714,1.9042290641511013,-0.10388221803638764,-0.10913715096356337
PHX,2020-09-21,1.77,1.77,1.73,1.739,4325,1.739,1.8113189999537531,1.9173673892831895,-0.10604838932943683,-0.11045088419535741
PHX,2020-09-18,1.74,1.74,1.74,1.74,3329,1.74,1.8244679090362532,1.9316367804258447,-0.1071688713895913,-0.11155150791183766
PHX,2020-09-17,1.76,1.8,1.7590000000000001,1.8,3395,1.8,1.8398257106792089,1.9469677228599125,-0.10714201218070384,-0.11264716704239919
PHX,2020-09-16,1.78,1.8116,1.77,1.81,9456,1.8100000000000005,1.8470667489845196,1.9587251406887052,-0.111658391704186,-0.11402345575782308
PHX,2020-09-15,1.79,1.8,1.7899,1.8,7729,1.8000000000000005,1.853806157890796,1.9706231519438016,-0.11681699405300637,-0.11461472177123244
PHX,2020-09-14,1.82,1.82,1.7993,1.7993,1876,1.7993000000000003,1.8635890956891217,1.9842730040993064,-0.12068390841018428,-0.11406415370078918
PHX,2020-09-11,1.77,1.77,1.73,1.73,2873,1.7300000000000002,1.8752780221780527,1.9990708444272507,-0.12379282224919752,-0.11240921502344028
PHX,2020-09-10,1.78,1.81,1.75,1.7866,12954,1.7866000000000004,1.9016922080286085,2.020596511981431,-0.1189043039528226,-0.10956331321700086
PHX,2020-09-09,1.92,1.92,1.82,1.84,15893,1.8400000000000007,1.9226180640338095,2.039316232939945,-0.11669816890613573,-0.10722806553304547
PHX,2020-09-08,1.89,1.91,1.82,1.82,27517,1.820000000000001,1.9376395302217757,2.055261531575141,-0.11762200135336574,-0.10486053968977295
PHX,2020-09-08,1.89,1.91,1.82,1.82,27517,1.820000000000001,1.9590285357166437,2.0740824541011524,-0.11505391838450894,-0.10167017427387484
PHX,2020-09-04,1.97,2.0,1.93,1.964,37984,1.9640000000000009,1.984306451301488,2.0944090504292445,-0.11010259912775666,-0.09832423824621636
PHX,2020-09-03,2.04,2.2,1.8693,1.92,463656,1.9200000000000004,1.987998533356304,2.1048417744635843,-0.11684324110728063,-0.09537964802583133
PHX,2020-09-02,1.8,1.8201,1.8,1.81,14728,1.8100000000000005,2.00036190305745,2.119629116420671,-0.1192672133632211,-0.09001374975546907
PHX,2020-09-01,1.89,1.89,1.8,1.8301,15989,1.8301000000000005,2.0349731581588046,2.1443994457343245,-0.10942628757551986,-0.08270038385353105
PHX,2020-08-31,1.91,1.93,1.87,1.88,10468,1.88,2.0722228232785866,2.1695434013930703,-0.09732057811448323,-0.07601890792303384
PHX,2020-08-28,1.95,2.08,1.87,1.9,178505,1.9000000000000004,2.107172427511057,2.192706873504516,-0.08553444599345816,-0.07069349037517136
PHX,2020-08-27,2.22,2.22,2.15,2.15,7515,2.150000000000001,2.1448401416039773,2.216123423384877,-0.07128328178089928,-0.06698325147059944
PHX,2020-08-26,2.11,2.11,2.0773,2.0773,3713,2.077300000000001,2.1439019855319734,2.2214132972556664,-0.07751131172369341,-0.06590824389302437
PHX,2020-08-25,2.02,2.05,2.01,2.05,8114,2.0500000000000016,2.1560114374468773,2.23294236103612,-0.07693092358924236,-0.06300747693535722
PHX,2020-08-24,2.07,2.1,2.05,2.07,19994,2.0700000000000007,2.1752862442554,2.2475777499190093,-0.07229150566360909,-0.05952661527188581
PHX,2020-08-21,2.13,2.13,2.07,2.11,5936,2.1100000000000017,2.194429197756382,2.2617839699125297,-0.06735477215614827,-0.05633539267395499
PHX,2020-08-20,2.12,2.134,2.0725,2.1092,16545,2.1092000000000017,2.209779960984815,2.2739266875055333,-0.06414672652071783,-0.05358054780340677
PHX,2020-08-19,2.15,2.1708,2.15,2.16,6433,2.160000000000001,2.2280672266184176,2.287104822505976,-0.05903759588755798,-0.05093900312407888
PHX,2020-08-18,2.15,2.19,2.15,2.1701,6495,2.170100000000001,2.2404430860035847,2.297273208306453,-0.05683012230286887,-0.048914354933208996
PHX,2020-08-17,2.2,2.2,2.11,2.15,32218,2.1500000000000017,2.2532327380042365,2.3074470649709697,-0.05421432696673323,-0.04693541309079413
PHX,2020-08-14,2.21,2.29,2.15,2.2081,25159,2.208100000000002,2.2720023267322795,2.3200428301686467,-0.048040503436367565,-0.04511568462180936
PHX,2020-08-13,2.34,2.34,2.26,2.2968,7255,2.296800000000003,2.283620931592694,2.328998256582139,-0.04537732498944491,-0.04438447991816991
PHX,2020-08-12,2.41,2.41,2.3,2.31,7923,2.310000000000003,2.28122473733682,2.3315741171087097,-0.050349379771890135,-0.04413626865035116
PHX,2020-08-11,2.43,2.48,2.42,2.45,5333,2.450000000000004,2.27599287139806,2.3333000464774067,-0.0573071750793468,-0.04258299086996653
PHX,2020-08-10,2.39,2.4,2.36,2.3718,3922,2.371800000000003,2.2443552116522527,2.3239640501956,-0.07960883854334666,-0.03890194481762146
PHX,2020-09-23,1.7,1.72,1.7,1.72,1436,1.7200000000000029,2.2211834319526624,2.3201371742112475,-0.09895374225858512,-0.028725221386190044
PHX,2020-09-23,1.7,1.72,1.7,1.72,1436,1.7200000000000033,2.3123076923076917,2.368148148148148,-0.05584045584045549,-0.011168091168091277
PHX,2020-08-05,2.42,2.44,2.4,2.42,11433,2.4200000000000035,2.42,2.42,0.0,0.0
