Symbol,Date,Open,High,Low,Close,Volume
IBM,2020-06-03,127.15,128.39,127.0,128.005,326932
IBM,2020-06-02,125.67,125.7503,124.66,125.21,266348
IBM,2020-06-01,124.64,125.195,124.03,124.43,317197
IBM,2020-05-29,123.67,123.67,122.33,122.72,328129
IBM,2020-05-28,126.87,126.97,125.31,125.62,557209
IBM,2020-05-27,123.94,125.18,123.47,124.5,759199
IBM,2020-05-26,121.3,122.35,121.02,122.14,672144
IBM,2020-05-26,121.3,122.35,121.02,122.14,672144
IBM,2020-05-22,119.38,119.465,117.72,118.02,431505
IBM,2020-05-21,120.99,121.44,120.02,121.2708,389277
IBM,2020-05-20,120.93,121.76,120.6,121.44,446490
IBM,2020-05-19,121.19,121.29,120.7,121.01,311571
IBM,2020-05-18,119.88,120.86,119.75,120.28,482675
IBM,2020-05-15,115.93,117.04,115.25,116.97,478251
IBM,2020-05-14,114.57,114.57,112.31,112.44,627560
IBM,2020-05-13,119.95,119.99,117.7,118.29,590195
IBM,2020-05-12,123.01,123.68,122.81,123.59,422392
IBM,2020-05-11,121.81,122.01,120.95,121.07,379541
IBM,2020-05-08,122.67,122.8,121.06,121.64,463694
IBM,2020-05-07,122.98,123.26,121.91,122.1,435959
IBM,2020-05-06,123.24,124.05,122.6301,122.77,280770
IBM,2020-05-05,123.39,124.1858,122.89,124.1858,364823
IBM,2020-05-04,120.82,120.93,119.391,119.96,450676
IBM,2020-05-01,123.19,123.19,122.11,122.41,509199
IBM,2020-04-30,126.56,126.83,125.22,126.695,718778
IBM,2020-04-29,128.88,129.31,128.2371,128.39,438501
IBM,2020-04-28,128.03,128.2,126.71,126.78,723883
IBM,2020-04-27,125.56,126.93,125.47,126.47,521754
IBM,2020-04-24,122.41,122.83,121.49,121.64,336669
IBM,2020-04-23,119.57,121.19,119.38,119.7775,384762
IBM,2020-04-22,119.87,120.33,118.15,118.79,983298
IBM,2020-04-21,114.0,115.24,112.06,115.07,2988376
IBM,2020-04-20,119.15,119.3299,118.14,119.15,467072
IBM,2020-04-17,119.3,120.39,119.0702,119.97,688165
IBM,2020-04-16,119.01,119.75,117.36,117.37,374341
