Symbol,Date,Open,High,Low,Close,Volume
KO,2020-06-03,47.27,47.76,47.12,47.7,1582040
KO,2020-06-02,47.16,47.28,46.815,46.91,1375558
KO,2020-06-01,46.66,46.99,46.63,46.7957,1245910
KO,2020-05-29,46.68,46.9,46.555,46.5604,1449207
KO,2020-05-28,47.33,47.42,46.82,46.91,1996867
KO,2020-05-27,47.0,47.09,46.665,46.83,2703492
KO,2020-05-26,46.92,46.93,46.0875,46.105,3465751
KO,2020-05-26,46.92,46.93,46.0875,46.105,3465751
KO,2020-05-22,45.22,45.305,44.815,44.87,1400536
KO,2020-05-21,46.08,46.09,45.76,45.89,1593871
KO,2020-05-20,45.2,45.84,45.02,45.5201,2799358
KO,2020-05-19,45.01,45.03,44.25,44.4783,1790109
KO,2020-05-18,44.82,44.92,44.13,44.545,2827928
KO,2020-05-15,43.96,44.69,43.72,44.555,2103845
KO,2020-05-14,43.38,43.74,43.36,43.445,1844113
KO,2020-05-13,44.71,44.78,44.22,44.34,1628782
KO,2020-05-12,45.6,45.85,45.56,45.775,1380578
KO,2020-05-11,45.69,45.88,45.53,45.61,1279573
KO,2020-05-08,45.08,45.47,44.88,45.42,1462380
KO,2020-05-07,45.15,45.24,44.8,44.94,1638355
KO,2020-05-06,45.4,45.63,45.1,45.2701,1312239
KO,2020-05-05,45.36,45.6363,45.16,45.455,1236811
KO,2020-05-04,45.32,45.48,44.6,44.87,1933858
KO,2020-05-01,45.62,45.98,45.21,45.9779,1533729
KO,2020-04-30,47.0,47.0,45.96,46.45,2365906
KO,2020-04-29,47.3,47.4,46.88,47.095,1302314
KO,2020-04-28,47.9,48.0,47.14,47.21,2652038
KO,2020-04-27,46.0,46.05,45.71,45.94,1644516
KO,2020-04-24,45.5,45.625,45.205,45.24,1209362
KO,2020-04-23,45.95,46.1,45.624,45.6901,1508281
KO,2020-04-22,46.05,46.1,45.5,45.815,1606041
KO,2020-04-21,45.88,46.45,44.26,46.14,4857498
KO,2020-04-20,47.79,47.79,47.21,47.64,1355870
KO,2020-04-17,48.3,48.3,47.9,47.985,2628263
KO,2020-04-16,47.4,47.85,47.02,47.095,1370584
