Symbol,Date,Open,High,Low,Close,Volume,SLS SMA,SLS spanTwelveEMA,SLS spanTwntySixEMA,SLS_x,SLS_y
SLS,2020-12-02,3.52,3.53,3.37,3.38,22758,3.38,3.3317941765993795,3.0537947748173733,0.27799940178200666,0.19673856721027833
SLS,2020-12-01,3.88,3.9,3.75,3.79,31953,3.79,3.3230294814356305,3.0276983568027624,0.29533112463286804,0.17642335856734637
SLS,2020-11-30,3.79,3.96,3.7548,3.8065,56544,3.8065000000000007,3.238125750787564,2.966714225346984,0.27141152544058,0.14669641705096592
SLS,2020-11-27,3.59,3.8,3.59,3.7880000000000003,49649,3.7880000000000007,3.134784978203484,2.8995313633747415,0.2352536148287423,0.11551763995356237
SLS,2020-11-27,3.59,3.8,3.59,3.7880000000000003,49649,3.7880000000000003,3.0160186106041182,2.8284538724447215,0.1875647381593968,0.08558364623476739
SLS,2020-11-25,3.17,3.29,3.1279,3.2527,86304,3.2527,2.8756583579866852,2.7516901822402984,0.1239681757463864,0.060088373253610036
SLS,2020-11-24,3.03,3.1199,2.9,2.92,64013,2.92,2.807105332166082,2.7116093968195223,0.09549593534655987,0.044118422630415835
SLS,2020-11-23,3.17,3.19,3.08,3.0954,69737,3.0954,2.786579028923552,2.6949381485650843,0.0916408803584674,0.03127404445137982
SLS,2020-11-20,3.06,3.1,3.03,3.09,106872,3.0899999999999994,2.7304297614551065,2.6629012004502908,0.06752856100481575,0.016182335474607817
SLS,2020-11-19,2.82,2.93,2.78,2.8464,64782,2.8463999999999987,2.6650533544469437,2.628733296486314,0.03632005796062998,0.003345779092055836
SLS,2020-11-18,2.8,2.93,2.8,2.8501,69639,2.8500999999999985,2.632081237073661,2.6113199602052197,0.0207612768684422,-0.00489779062508759
SLS,2020-11-17,2.64,2.78,2.56,2.7312,28227,2.731199999999999,2.5924414619961453,2.5922175570216366,0.0002239049745087485,-0.011312557498469817
SLS,2020-11-16,2.52,2.68,2.52,2.5972,12896,2.5971999999999986,2.5672126369045354,2.5810989615833684,-0.013886324678832551,-0.014196673116714456
SLS,2020-11-13,2.57,2.575,2.47,2.5,10610,2.499999999999999,2.561760389068996,2.5798108785100373,-0.01805048944104115,-0.01427426022618482
SLS,2020-11-12,2.54,2.5403,2.5,2.5,20902,2.499999999999999,2.572989550717905,2.5861957487908405,-0.01320619807293566,-0.013330202922470735
SLS,2020-11-11,2.65,2.65,2.5403,2.6073,6143,2.6072999999999986,2.5862603781211604,2.593091408694108,-0.0068310305729473155,-0.013361204134854504
SLS,2020-11-10,2.65,2.65,2.5712,2.5906,5765,2.590599999999999,2.582434992325008,2.5919547213896363,-0.009519729064628724,-0.01499374752533119
SLS,2020-11-09,2.69,2.7,2.5178,2.69,5547,2.6899999999999986,2.5809504454750094,2.5920630991008067,-0.011112653625798163,-0.016362252140506916
SLS,2020-11-06,2.68,2.68,2.625,2.6579,1345,2.6579,2.561123253743192,2.5842281470288717,-0.023104893285679214,-0.017674651769184327
SLS,2020-11-05,2.5,2.5,2.44,2.4968,1791,2.496799999999999,2.5435274816965,2.5783343987911813,-0.0348069170946812,-0.016317091390060493
SLS,2020-11-04,2.47,2.5101,2.4198,2.4198,3915,2.419799999999999,2.5520233874594997,2.584857150694475,-0.032833763234975784,-0.011694634963905317
SLS,2020-11-03,2.39,2.44,2.39,2.44,960,2.439999999999999,2.5760640033612265,2.598061722750033,-0.02199771938880657,-0.006409852896137812
SLS,2020-11-02,2.58,2.58,2.43,2.5224,5803,2.5223999999999998,2.600802913063268,2.6107066605700355,-0.00990374750676759,-0.002512886272970622
SLS,2020-10-30,2.59,2.5938,2.59,2.5938,267,2.593799999999999,2.6150579881656806,2.617771193415638,-0.00271320524995744,-0.00066517096452138
SLS,2020-10-29,2.63,2.63,2.54,2.6108,8658,2.6108,2.618923076923077,2.6196888888888887,-0.0007658119658118245,-0.00015316239316236492
SLS,2020-10-28,2.67,2.6815,2.6204,2.6204,2463,2.6204,2.6204,2.6204,0.0,0.0
