Symbol,Date,Open,High,Low,Close,Volume,OPK SMA,OPK spanTwelveEMA,OPK spanTwntySixEMA,OPK_x,OPK_y
OPK,2021-03-19,4.64,4.6701,4.64,4.65,1380605,4.65,4.584478586514744,4.724123055583979,-0.1396444690692346,-0.20108210077899252
OPK,2021-03-18,4.84,4.85,4.76,4.77,73048,4.77,4.572565602244698,4.730052900030698,-0.157487297786,-0.21644150870643195
OPK,2021-03-17,4.59,4.62,4.57,4.5701,44450,4.5701,4.53666843901646,4.726857132033153,-0.1901886930166929,-0.2311800614365399
OPK,2021-03-16,4.7,4.72,4.7,4.71,37152,4.71,4.53058997338309,4.739397702595805,-0.2088077292127153,-0.24142790354150162
OPK,2021-03-15,4.53,4.55,4.455,4.52,214924,4.52,4.497969968543651,4.741749518803469,-0.2437795502598181,-0.24958294712369822
OPK,2021-03-12,4.4,4.41,4.31,4.32,92235,4.32,4.493964508278861,4.759489480307747,-0.2655249720288859,-0.2510337963396682
OPK,2021-03-11,4.4,4.4,4.3484,4.3484,70227,4.3484,4.525594418875017,4.794648638732366,-0.2690542198573489,-0.24741100241736375
OPK,2021-03-10,4.54,4.57,4.527,4.54,87675,4.54,4.5578115859432025,4.830348529830956,-0.2725369438877534,-0.24200019805736744
OPK,2021-03-09,4.47,4.47,4.45,4.45,56218,4.45,4.561050056114694,4.853576412217433,-0.2925263561027389,-0.23436601159977094
OPK,2021-03-08,4.23,4.24,4.2,4.2084,71109,4.2084,4.581240975408275,4.885862525194828,-0.3046215497865523,-0.21982592547402896
OPK,2021-03-05,4.18,4.19,4.15,4.15,82052,4.15,4.649030243664325,4.940059527210414,-0.2910292835460888,-0.19862701939589789
OPK,2021-03-04,4.3,4.3,4.23,4.25,168133,4.25,4.739763015239657,5.003264289387246,-0.2635012741475897,-0.17552645335835015
OPK,2021-03-03,4.58,4.58,4.552,4.5716,37485,4.5716,4.828810836192321,5.063525432538226,-0.2347145963459045,-0.15353274816104023
OPK,2021-03-02,4.68,4.69,4.62,4.6301,62575,4.6301,4.875576442772744,5.1028794671412845,-0.227303024368541,-0.13323728611482416
OPK,2021-03-01,4.57,4.58,4.56,4.5733,67651,4.5733,4.920208523276878,5.140701824512587,-0.2204933012357086,-0.10972085155139519
OPK,2021-02-26,4.61,4.6334,4.55,4.56,99450,4.56,4.983282800236311,5.186093970473594,-0.2028111702372834,-0.08202773913031682
OPK,2021-02-25,4.52,4.53,4.49,4.52,93386,4.52,5.060243309370185,5.236181488111482,-0.1759381787412968,-0.05183188135357515
OPK,2021-02-24,4.62,4.64,4.5801,4.5801,121447,4.5801,5.15846936561931,5.293476007160401,-0.1350066415410911,-0.02080530700664474
OPK,2021-02-23,4.6,4.63,4.48,4.52,332229,4.52,5.263627432095548,5.350546087733233,-0.0869186556376844,0.007745026626966852
OPK,2021-02-22,4.97,5.0,4.95,4.98,241529,4.98,5.398832419749285,5.416989774751892,-0.0181573550026072,0.03141094719312967
OPK,2021-02-19,5.09,5.15,5.05,5.135,356496,5.135,5.474983768794608,5.451948956732044,0.0230348120625647,0.0438030227420639
OPK,2021-02-18,5.49,5.5,5.46,5.49,41688,5.49,5.536798999484537,5.477304873270607,0.0594941262139299,0.04899507541193869
OPK,2021-02-17,5.64,5.66,5.541,5.595,103764,5.595,5.545307908481725,5.476289263132256,0.0690186453494687,0.04637031271144089
OPK,2021-02-16,5.66,5.69,5.63,5.66,113804,5.66,5.53627298275113,5.466792404182836,0.0694805785682932,0.040708229551933914
OPK,2021-02-16,5.66,5.69,5.63,5.66,113804,5.66,5.513777161433154,5.451335796517464,0.0624413649156903,0.033515142297844074
OPK,2021-02-12,5.52,5.53,5.45,5.48,77057,5.48,5.487191190784637,5.43464266023886,0.0525485305457769,0.02628358664338251
OPK,2021-02-11,5.67,5.73,5.66,5.675,82349,5.675,5.488498680018207,5.431014073057969,0.0574846069602381,0.019717350667783913
OPK,2021-02-10,5.7883,5.82,5.78,5.81,120817,5.81,5.4545893491124255,5.411495198902607,0.0430941502098187,0.01027553659467035
OPK,2021-02-09,5.51,5.53,5.46,5.4998,76157,5.4998,5.389969230769231,5.379614814814815,0.0103544159544162,0.0020708831908832436
OPK,2021-02-08,5.37,5.4,5.34,5.37,108167,5.37,5.37,5.37,0.0,0.0
