Symbol,Date,Open,High,Low,Close,Volume,TRCH SMA,TRCH spanTwelveEMA,TRCH spanTwntySixEMA,TRCH_x,TRCH_y
TRCH,2020-09-11,0.2601,0.2714,0.2601,0.2708,20609,0.2708,0.2790850722986811,0.2952975759492231,-0.016212503650541943,-0.013915129964840714
TRCH,2020-09-10,0.26899999999999996,0.276,0.26,0.26,63420,0.25999999999999995,0.2805914490802595,0.2972573820251609,-0.016665932944901374,-0.013340786543415393
TRCH,2020-09-09,0.2611,0.268,0.2611,0.2677,10138,0.26769999999999994,0.284335348913034,0.3002379725871738,-0.015902623674139804,-0.012509499943043897
TRCH,2020-09-08,0.27,0.27,0.26,0.26000100000000004,98531,0.26000100000000004,0.28735995780631285,0.3028410103941477,-0.015481052587834832,-0.011661219010269933
TRCH,2020-09-08,0.27,0.27,0.26,0.26000100000000004,98531,0.26000100000000004,0.292334313771097,0.3062682112256795,-0.013933897454582513,-0.010706260615878708
TRCH,2020-09-04,0.27899999999999997,0.2798,0.271,0.2748,54709,0.27480000000000004,0.2982130980931146,0.3099695881237338,-0.011756490030619238,-0.009899351406202758
TRCH,2020-09-03,0.29,0.292299,0.28,0.284,74575,0.284,0.3024700250191354,0.3127831551736325,-0.010313130154497084,-0.009435066750098637
TRCH,2020-09-02,0.29,0.29,0.2811,0.2897,150958,0.2897,0.3058282113862509,0.3150858075875231,-0.009257596201272143,-0.009215550898999024
TRCH,2020-09-01,0.308,0.3081,0.2988,0.2988,198928,0.2988,0.3087606134564784,0.3171166721945249,-0.008356058738046512,-0.00920503957343073
TRCH,2020-08-31,0.31,0.3151,0.3031,0.309799,410831,0.309799,0.31057163408492905,0.3185820059700869,-0.008010371885157852,-0.009417284782276799
TRCH,2020-08-28,0.34,0.3589,0.3103,0.314799,1782424,0.314799,0.3107121130094616,0.31928464644769383,-0.008572533438232222,-0.009769013006556535
TRCH,2020-08-27,0.313,0.313,0.3031,0.30591,279021,0.30591,0.3099690426475455,0.3196434981635093,-0.009674455515963852,-0.010068132898637613
TRCH,2020-08-26,0.306,0.31,0.306,0.3095,68735,0.3095,0.31070705040164465,0.32074217801659005,-0.010035127614945405,-0.010166552244306066
TRCH,2020-08-25,0.315,0.315,0.3,0.305,150354,0.30500000000000005,0.31092651411103456,0.3216415522579173,-0.010715038146882738,-0.01019940840164623
TRCH,2020-08-24,0.32,0.325,0.307,0.308,134510,0.308,0.3120040621312227,0.32297287643855066,-0.01096881430732799,-0.010070500965337102
TRCH,2020-08-21,0.3,0.307,0.29251,0.2949,38141,0.2949,0.31273207342780857,0.3241707065536347,-0.011438633125826159,-0.009845922629839392
TRCH,2020-08-20,0.3,0.3046,0.3,0.3,82700,0.3,0.3159742685965011,0.3265123630779255,-0.010538094481424455,-0.0094477450058427
TRCH,2020-08-19,0.3034,0.3101,0.3002,0.30171,54601,0.30171,0.3188786810685921,0.3286333521241596,-0.009754671055567432,-0.009175157636947262
TRCH,2020-08-18,0.32,0.32095100000000004,0.309,0.31,240894,0.31,0.3220002594446998,0.33078722029409235,-0.008786960849392567,-0.009030279282292192
TRCH,2020-08-17,0.345,0.345,0.3081,0.3081,455686,0.3081,0.3241821247982816,0.33245019791761976,-0.008268073119338193,-0.009091108890517098
TRCH,2020-08-14,0.31,0.32,0.306,0.316,175902,0.316,0.32710614748887823,0.3343982137510293,-0.0072920662621510654,-0.009296867833311838
TRCH,2020-08-13,0.4198,0.4198,0.35,0.38299999999999995,2042698,0.38299999999999995,0.3291254470323106,0.3358700708511116,-0.0067446238188009775,-0.009798068226102031
TRCH,2020-08-12,0.3149,0.315,0.31,0.31,66000,0.31,0.319330073765458,0.3320996765192005,-0.012769602753742504,-0.010561429327927294
TRCH,2020-08-11,0.3161,0.3194,0.3013,0.3082,142095,0.3082,0.3210264508137231,0.3338676506407366,-0.012841199827013485,-0.010009385971473491
TRCH,2020-08-10,0.3151,0.3151,0.306,0.30990100000000004,167882,0.30990100000000004,0.3233585327798545,0.3359210626919955,-0.012562529912140965,-0.009301432507588492
TRCH,2020-08-07,0.311,0.3111,0.302,0.302,90753,0.302,0.3258053569216463,0.33800266770735515,-0.012197310785708848,-0.00848615815645036
TRCH,2020-08-06,0.32,0.32,0.3169,0.3197,87338,0.31969999999999993,0.3301336036346729,0.34088288112394355,-0.010749277489270627,-0.007558369999135738
TRCH,2020-08-05,0.3343,0.335,0.3245,0.3261,100381,0.32609999999999995,0.3320306224773407,0.342577511613859,-0.0105468891365183,-0.0067606431266020155
