Symbol,Date,Open,High,Low,Close,Volume,RGRX SMA,RGRX spanTwelveEMA,RGRX spanTwntySixEMA,RGRX_x,RGRX_y
RGRX,2020-12-29,0.49,0.49,0.4315,0.455,15938,0.455,0.50421474197958,0.5271089188457221,-0.02289417686614204,-0.025214273509620005
RGRX,2020-12-28,0.53,0.54,0.53,0.54,10990,0.54,0.5131628768849582,0.5328776323533798,-0.01971475546842161,-0.025794297670489498
RGRX,2020-12-28,0.53,0.54,0.53,0.54,10990,0.54,0.5082833999549506,0.5323078429416502,-0.02402444298669959,-0.02731418322100647
RGRX,2020-12-24,0.4123,0.54,0.4123,0.54,3025,0.54,0.5025167454013053,0.5316924703769822,-0.029175724975676887,-0.02813661827958319
RGRX,2020-12-23,0.56,0.56,0.52,0.52,4794,0.52,0.4957016082015426,0.5310278680071407,-0.03532625980559812,-0.02787684160555976
RGRX,2020-12-22,0.51145,0.51145,0.445,0.5,38225,0.5,0.4912837187836413,0.531910097447712,-0.04062637866407071,-0.026014487055550158
RGRX,2020-12-21,0.37,0.44,0.37,0.37,37996,0.37,0.489698940380667,0.5344629052435289,-0.04476396486286194,-0.022361514153420015
RGRX,2020-12-18,0.4,0.4,0.354,0.38,60134,0.38,0.5114623840862428,0.5476199376630112,-0.03615755357676842,-0.016760901476059548
RGRX,2020-12-17,0.444,0.45,0.4383,0.45,17647,0.4500000000000001,0.5353646357382871,0.561029532676052,-0.02566489693776508,-0.011911738450882331
RGRX,2020-12-16,0.5299,0.5299,0.446,0.48,8692,0.48,0.5508854785997936,0.5699118952901362,-0.01902641669034255,-0.008473448829161671
RGRX,2020-12-15,0.48,0.528,0.48,0.528,1200,0.528,0.5637737474361197,0.5771048469133471,-0.013331099477227326,-0.00583520686386645
RGRX,2020-12-14,0.49,0.524,0.49,0.524,2125,0.524,0.5702780651517779,0.5810332346664149,-0.010755169514636951,-0.00396123371052623
RGRX,2020-12-11,0.55,0.55,0.55,0.55,2000,0.55,0.5786922588157375,0.5855958934397281,-0.006903634623990572,-0.002262749759498549
RGRX,2020-12-10,0.56,0.56,0.55,0.55,8768,0.55,0.5839090331458716,0.5884435649149063,-0.004534531769034733,-0.0011025285433755422
RGRX,2020-12-09,0.61,0.61,0.5501,0.5999,12212,0.5999000000000001,0.5900743118996664,0.5915190501080988,-0.0014447382084323836,-0.00024452773696074435
RGRX,2020-12-08,0.5565,0.5615,0.4432,0.5479999999999999,46101,0.5479999999999999,0.5882878231541512,0.5908485741167466,-0.0025607509625954483,5.55248809071654e-05
RGRX,2020-12-07,0.5979,0.5979,0.596,0.596,2100,0.596,0.5956128819094514,0.5942764600460864,0.0013364218633650227,0.0007095938417828188
RGRX,2020-12-04,0.6,0.6,0.6,0.6,1000,0.6,0.5955424968020788,0.5941385768497732,0.001403919952305599,0.0005528868363872678
RGRX,2020-12-03,0.6,0.6,0.57,0.6,4100,0.6,0.5947320416751841,0.5936696629977551,0.0010623786774289767,0.00034012855740768493
RGRX,2020-12-02,0.6,0.6,0.6,0.6,15000,0.6,0.5937742310706722,0.5931632360375756,0.0006109950330965841,0.00015956602740236194
RGRX,2020-12-01,0.58,0.595,0.58,0.595,8000,0.5949999999999999,0.5926422730835217,0.5926162949205817,2.597816294003241e-05,4.6708775978806385e-05
RGRX,2020-11-30,0.57,0.595,0.57,0.59,3353,0.5899999999999999,0.5922135954623438,0.5924255985142282,-0.00021200305188440183,5.1891429238499875e-05
RGRX,2020-11-27,0.59,0.59,0.59,0.59,1400,0.5899999999999997,0.5926160673645882,0.5926196463953665,-3.5790307783001296e-06,0.00011786504951922529
RGRX,2020-11-27,0.59,0.59,0.59,0.59,1400,0.5899999999999997,0.5930917159763314,0.5928292181069958,0.00026249786933552066,0.00014822606959360665
RGRX,2020-11-25,0.58,0.6,0.58,0.6,82757,0.5999999999999998,0.5936538461538462,0.5930555555555556,0.0005982905982906406,0.00011965811965812812
RGRX,2020-11-24,0.59,0.595,0.59,0.5925,2800,0.5924999999999999,0.5925,0.5925,0.0,0.0
