Symbol,Date,Open,High,Low,Close,Volume,OCX SMA,OCX spanTwelveEMA,OCX spanTwntySixEMA,OCX_x,OCX_y
OCX,2020-12-29,2.28,2.38,2.21,2.245,119130,2.245,2.3754710894174447,2.2388965464275183,0.13657454298992722,0.16088835250371555
OCX,2020-12-28,2.45,2.45,2.39,2.4155,84624,2.4155000000000006,2.3991931056751623,2.2384082701417194,0.16078483553344292,0.16696680488216284
OCX,2020-12-28,2.45,2.45,2.39,2.4155,84624,2.415500000000001,2.396228215797919,2.2242409317530565,0.17198728404486194,0.1685122972193428
OCX,2020-12-24,2.5,2.5033,2.47,2.48,26914,2.480000000000001,2.3927242550339045,2.208940206293301,0.18378404874060286,0.16764355051296287
OCX,2020-12-23,2.55,2.55,2.45,2.5298,260399,2.5298000000000003,2.376855937767341,2.187255422796765,0.18960051497057595,0.16360842595605263
OCX,2020-12-22,2.46,2.53,2.45,2.52,75157,2.5200000000000005,2.3490479264523123,2.1598518566205063,0.18919606983180606,0.1571104037024218
OCX,2020-12-21,2.39,2.45,2.36,2.43,86870,2.430000000000001,2.317965731261824,2.131040005150147,0.18692572611167654,0.14908898717007574
OCX,2020-12-18,2.54,2.56,2.4,2.42,300502,2.4200000000000013,2.2975958642185192,2.1071232055621585,0.19047265865636032,0.1396298024346754
OCX,2020-12-17,2.6,2.61,2.5,2.532,226731,2.5320000000000022,2.2753405668037043,2.082093062007131,0.19324750479657293,0.12691908837925406
OCX,2020-12-16,2.52,2.58,2.4,2.43,753932,2.430000000000001,2.2286752153134683,2.046100506967701,0.1825747083457672,0.11033698427492421
OCX,2020-12-15,3.45,3.51,2.97,3.045,18548202,3.0450000000000013,2.1920707090068263,2.015388547525117,0.1766821614817089,0.09227755325721346
OCX,2020-12-14,2.25,2.28,2.23,2.27,54328,2.2700000000000014,2.0369926560989766,1.9330196313271264,0.10397302477185,0.07117640120108948
OCX,2020-12-11,2.17,2.1836,2.13,2.15,18727,2.1500000000000017,1.9946276844806088,1.9060612018332967,0.08856648264731183,0.0629772453083993
OCX,2020-12-10,2.01,2.05,1.98,2.05,36505,2.0500000000000007,1.9663781725679919,1.8865460979799609,0.07983207458803142,0.056579935973671114
OCX,2020-12-09,2.08,2.18,2.08,2.1,149177,2.1000000000000014,1.9511742039439903,1.873469785818357,0.07770441812563299,0.050766901320081145
OCX,2020-12-08,2.0,2.04,1.99,2.025,126828,2.0250000000000017,1.9241149682974437,1.8553473686838264,0.06876759961361723,0.04403252211869313
OCX,2020-12-07,2.0,2.025,1.99,2.0,30243,2.000000000000002,1.905772235260615,1.8417751581785324,0.06399707708208258,0.037848752744962105
OCX,2020-12-04,1.92,2.0095,1.92,2.0,49751,2.0000000000000018,1.8886399143989083,1.8291171708328149,0.05952274356609344,0.03131167166068199
OCX,2020-12-03,1.96,2.0,1.93,1.96,21079,1.9600000000000013,1.868392626107801,1.8154465444994403,0.052946081608360666,0.024258903684329126
OCX,2020-12-02,1.96,2.01,1.89,2.01,80775,2.0100000000000016,1.851736739945583,1.803882268059396,0.04785447188618752,0.017087109203321238
OCX,2020-12-01,2.03,2.14,2.02,2.11,435153,2.1100000000000008,1.8229616017538708,1.7873928495041471,0.03556875224972389,0.009395268532604776
OCX,2020-11-30,1.91,1.91,1.81,1.835,136458,1.8350000000000013,1.770772802072757,1.7615842774644788,0.009188524608277905,0.002851897603325053
OCX,2020-11-27,1.73,1.8,1.73,1.77,26796,1.7700000000000014,1.7590951297223487,1.755711019661637,0.003384110060711709,0.001267740852086785
OCX,2020-11-27,1.73,1.8,1.73,1.77,26796,1.7700000000000014,1.7571124260355029,1.754567901234568,0.002544524800935033,0.000738648549930554
OCX,2020-11-25,1.77,1.78,1.72,1.77,39979,1.7700000000000014,1.7547692307692306,1.7533333333333332,0.0014358974358974483,0.0002871794871794897
OCX,2020-11-24,1.67,1.76,1.67,1.7519999999999998,61955,1.7520000000000011,1.7519999999999998,1.7519999999999998,0.0,0.0
