Symbol,Date,Open,High,Low,Close,Volume,QTT SMA,QTT spanTwelveEMA,QTT spanTwntySixEMA,QTT_x,QTT_y
QTT,2021-01-11,1.88,1.93,1.85,1.93,337206,1.93,1.8984637510540423,2.0405860180259223,-0.1421222669718798,-0.1859554953737701
QTT,2021-01-08,1.96,1.98,1.93,1.97,394006,1.97,1.8927298876093233,2.0494328994679964,-0.1567030118586734,-0.1969138024742426
QTT,2021-01-07,1.9,1.92,1.82,1.87,710617,1.87,1.878680776265564,2.055787531425436,-0.1771067551598724,-0.20696650012813492
QTT,2021-01-06,1.92,1.9518,1.86,1.9,506793,1.9,1.880259099222939,2.070650533939471,-0.19039143471653186,-0.2144314363702006
QTT,2021-01-05,2.18,2.1896,2.05,2.08,1839611,2.08,1.876669844536201,2.0843025766546286,-0.20763273211842792,-0.22044143678361777
QTT,2021-01-04,1.65,1.77,1.65,1.77,1550026,1.7699999999999996,1.8397007253609643,2.084646782786999,-0.2449460574260347,-0.2236436129499153
QTT,2021-01-04,1.65,1.77,1.65,1.77,1550026,1.7699999999999996,1.8523735845175036,2.109818525409959,-0.2574449408924555,-0.21831800183088546
QTT,2020-12-31,1.63,1.65,1.6,1.65,443760,1.6499999999999997,1.8673505998843216,2.1370040074427554,-0.26965340755843337,-0.20853626706549297
QTT,2020-12-30,1.57,1.61,1.56,1.6,465755,1.5999999999999996,1.9068688907723803,2.175964328038176,-0.2690954372657952,-0.19325698194225777
QTT,2020-12-29,1.69,1.69,1.57,1.65,630721,1.6499999999999997,1.9626632345491768,2.22204147428123,-0.2593782397320528,-0.17429736811137322
QTT,2020-12-28,1.64,1.65,1.54,1.61,1226410,1.61,2.0195110953763,2.2678047922237283,-0.2482936968474281,-0.15302715020620328
QTT,2020-12-28,1.64,1.65,1.54,1.61,1226410,1.6099999999999997,2.0939676581719917,2.3204291756016264,-0.2264615174296352,-0.12921051354589697
QTT,2020-12-24,1.75,1.77,1.68,1.68,1063962,1.6799999999999995,2.181961777839626,2.3772635096497563,-0.19530173181013044,-0.1048977625749625
QTT,2020-12-23,1.9,1.92,1.76,1.8,1423190,1.7999999999999996,2.2732275556286488,2.433044590421737,-0.1598170347930883,-0.08229677026617052
QTT,2020-12-22,1.99,2.05,1.98,2.035,396412,2.035,2.3592689293793123,2.483688157655476,-0.1244192282761638,-0.06291670413444109
QTT,2020-12-21,2.16,2.2,2.05,2.055,1411299,2.055,2.4182269165391874,2.5195832102679145,-0.10135629372872712,-0.0475410730990104
QTT,2020-12-18,2.32,2.3235,2.24,2.24,447000,2.24,2.484268174091768,2.5567498670893483,-0.07248169299758045,-0.03408726794158122
QTT,2020-12-17,2.34,2.36,2.25,2.3,838519,2.299999999999999,2.52868056938118,2.5820898564564962,-0.05340928707531623,-0.02448866167758141
QTT,2020-12-16,2.51,2.5265,2.43,2.45,193643,2.45,2.5702588547232117,2.6046570449730155,-0.034398190249803395,-0.017258505328147707
QTT,2020-12-15,2.55,2.57,2.47,2.495,128386,2.494999999999999,2.5921241010365232,2.617029608570857,-0.024905507534333626,-0.012973584097733673
QTT,2020-12-14,2.67,2.67,2.53,2.595,221481,2.595,2.6097830284977093,2.6267919772565254,-0.01700894875881609,-0.009990603238583685
QTT,2020-12-11,2.65,2.65,2.56,2.6,137139,2.6,2.612470851860929,2.629335335437048,-0.016864483576118694,-0.008236016858525583
QTT,2020-12-10,2.63,2.65,2.45,2.55,400503,2.5500000000000003,2.6147382794720078,2.6316821622720115,-0.01694388280000414,-0.006078900179127193
QTT,2020-12-09,2.5696,2.6,2.53,2.565,155799,2.5650000000000004,2.626508875739645,2.6382167352537724,-0.01170785951412734,-0.0033626545239080667
QTT,2020-12-08,2.62,2.6283,2.54,2.57,121546,2.57,2.637692307692308,2.6440740740740742,-0.006381766381766685,-0.0012763532763532483
QTT,2020-12-07,2.58,2.68,2.58,2.65,226955,2.65,2.65,2.65,0.0,0.0
