Symbol,Date,Open,High,Low,Close,Volume,AWLCF SMA,AWLCF spanTwelveEMA,AWLCF spanTwntySixEMA,AWLCF_x,AWLCF_y
AWLCF,2020-09-14,0.32,0.32,0.32,0.32,4000,0.32,0.324794609439427,0.3330713811951594,-0.008276771755732382,-0.006490499113006441
AWLCF,2020-09-14,0.32,0.32,0.32,0.32,4000,0.32,0.3256663566102319,0.3341170916907721,-0.008450735080540228,-0.006043930952324955
AWLCF,2020-09-10,0.3124,0.3124,0.3124,0.3124,500,0.3124000000000001,0.3266966032666377,0.3352464590260339,-0.008549855759396208,-0.005442229920271151
AWLCF,2020-09-09,0.3175,0.3175,0.315,0.315,2000,0.3150000000000001,0.3292959856787536,0.3370741757481166,-0.007778190069362978,-0.0046653234604898865
AWLCF,2020-09-08,0.322,0.322,0.322,0.322,410,0.322,0.3318952558021634,0.338840109807966,-0.006944854005802581,-0.0038871068082716137
AWLCF,2020-09-08,0.322,0.322,0.322,0.322,410,0.322,0.33369439322073857,0.3401873185926033,-0.006492925371864688,-0.0031226700088888715
AWLCF,2020-09-04,0.31,0.31,0.31,0.31,100,0.31,0.33582064653360016,0.3416423040800115,-0.005821657546411341,-0.0022801061681449034
AWLCF,2020-09-03,0.32799999999999996,0.32799999999999996,0.32799999999999996,0.32799999999999996,100,0.3279999999999999,0.3405153095397093,0.34417368840641244,-0.003658378866703171,-0.001394718323578294
AWLCF,2020-09-02,0.327,0.327,0.327,0.327,2000,0.327,0.342790820365111,0.3454675834789254,-0.0026767631138144288,-0.0008288031877970886
AWLCF,2020-09-01,0.3465,0.3465,0.3465,0.3465,229,0.3465,0.345661878613313,0.34694499015723945,-0.0012831115439264627,-0.00036681320629275356
AWLCF,2020-08-31,0.35,0.35,0.35,0.35,500,0.3499999999999999,0.3455094929066427,0.3469805893698186,-0.0014710964631759473,-0.00013773862188432617
AWLCF,2020-08-31,0.35,0.35,0.35,0.35,500,0.35,0.3446930370714868,0.3467390365194041,-0.0020459994479173353,0.00019560083843857907
AWLCF,2020-08-27,0.3278,0.3278,0.3278,0.3278,520,0.3278,0.3437281347208481,0.3464781594409565,-0.0027500247201084353,0.0007560009100275437
AWLCF,2020-08-26,0.33,0.345,0.33,0.345,17826,0.345,0.3466241592155477,0.34797241219623304,-0.0013482529806853052,0.0016325073175615244
AWLCF,2020-08-25,0.331,0.331,0.331,0.331,700,0.331,0.3469194608911019,0.3482102051719317,-0.0012907442808298142,0.0023776973921232456
AWLCF,2020-08-24,0.33,0.345,0.33,0.345,203,0.3449999999999999,0.3498139083258477,0.3495870215856862,0.00022688674016146934,0.003294807810361496
AWLCF,2020-08-21,0.34,0.34,0.34,0.34,300,0.34,0.35068916438509273,0.34995398331254113,0.000735181072551605,0.004061788077911502
AWLCF,2020-08-21,0.34,0.34,0.34,0.34,300,0.3399999999999999,0.35263264881874595,0.3507503019775444,0.001882346841201532,0.004893439829251477
AWLCF,2020-08-19,0.3416,0.3416,0.3416,0.3416,100,0.3416,0.3549294940585179,0.35161032613574794,0.0033191679227699837,0.005646213076263963
AWLCF,2020-08-19,0.3416,0.3416,0.3416,0.3416,100,0.3416,0.3573530384327939,0.3524111522266077,0.004941886206186129,0.006227974364637458
AWLCF,2020-08-17,0.355,0.355,0.355,0.355,230,0.355,0.3602172272387564,0.3532760444047364,0.00694118283402001,0.006549496404250262
AWLCF,2020-08-14,0.35,0.35,0.35,0.35,8852,0.35,0.36116581400943937,0.35313812795711524,0.008027686052324123,0.006451574796807838
AWLCF,2020-08-13,0.373,0.373,0.36208,0.37,10000,0.37,0.3631959620111556,0.3533891781936845,0.009806783817471132,0.006057546982928767
AWLCF,2020-08-13,0.373,0.373,0.36208,0.37,10000,0.37,0.3619588641950021,0.3520603124491793,0.009898551745822827,0.005120237774293175
AWLCF,2020-08-11,0.39,0.39,0.39,0.39,326,0.39,0.3604968395031843,0.35062513744511364,0.009871702058070695,0.0039256592814107625
AWLCF,2020-08-10,0.355,0.38,0.355,0.38,1945,0.38,0.3551326285037633,0.3474751484407227,0.007657480063040622,0.0024391485872457923
AWLCF,2020-08-10,0.355,0.38,0.355,0.38,1945,0.38,0.3506112882317203,0.3448731603159805,0.005738127915739744,0.0011345657182970845
AWLCF,2020-08-10,0.355,0.38,0.355,0.38,1945,0.38,0.3452678860920331,0.342063013141259,0.0032048729507740963,-1.6324831063594097e-05
AWLCF,2020-08-05,0.36,0.36,0.36,0.36,200,0.36,0.3389529562905845,0.3390280541925597,-7.509790197518518e-05,-0.0008216242765230304
AWLCF,2020-08-04,0.33,0.33,0.33,0.33,130,0.33,0.33512622107069084,0.3373502985279645,-0.002224077457273655,-0.0010082558701599777
AWLCF,2020-08-04,0.33,0.33,0.33,0.33,130,0.3299999999999999,0.3360582612653619,0.3379383224102017,-0.0018800611448397953,-0.0007043004733815584
AWLCF,2020-08-04,0.33,0.33,0.33,0.33,130,0.3299999999999999,0.3371597633136095,0.3385733882030178,-0.001413624889408327,-0.0004103603055169991
AWLCF,2020-08-04,0.33,0.33,0.33,0.33,130,0.3299999999999999,0.3384615384615385,0.3392592592592593,-0.0007977207977207801,-0.00015954415954416712
AWLCF,2020-07-29,0.34,0.34,0.34,0.34,1000,0.3399999999999999,0.34,0.34,0.0,0.0
AWLCF,2020-07-29,0.34,0.34,0.34,0.34,1000,0.3399999999999999,0.34,0.34,0.0,0.0
