Symbol,Date,Open,High,Low,Close,Volume,VBIV SMA,VBIV spanTwelveEMA,VBIV spanTwntySixEMA,VBIV_x,VBIV_y
VBIV,2021-06-22,3.82,3.87,3.8,3.8,21469,3.8,3.802240933450734,3.556584466266127,0.2456564671846068,0.2548382566219094
VBIV,2021-06-21,3.92,3.92,3.91,3.92,35293,3.92,3.8026483758963217,3.537111223567417,0.2655371523289047,0.25713370398123503
VBIV,2021-06-18,3.91,3.92,3.9,3.91,188434,3.91,3.78131171696838,3.5064801214528103,0.27483159551557,0.25503284189431763
VBIV,2021-06-17,3.9,3.9,3.86,3.86,15588,3.86,3.757913847326267,3.4741985311690358,0.2837153161572319,0.2500831534890047
VBIV,2021-06-16,3.94,3.96,3.94,3.95,44056,3.95,3.7393527286583153,3.443334413662558,0.2960183149957571,0.24167511282194798
VBIV,2021-06-15,4.0979,4.13,4.0979,4.125,34657,4.125,3.701053224778009,3.4028011667555624,0.2982520580224466,0.22808931227849566
VBIV,2021-06-14,3.91,3.95,3.91,3.93,118668,3.93,3.623971992919466,3.3450252600960075,0.2789467328234578,0.21054862584250794
VBIV,2021-06-11,4.11,4.11,4.06,4.06,37218,4.06,3.5683305370866405,3.298227280903688,0.2701032561829524,0.19344909909727037
VBIV,2021-06-10,3.91,3.92,3.88,3.8962,40237,3.8962,3.478936089284212,3.2372854633759838,0.2416506259082287,0.17428555982584987
VBIV,2021-06-09,3.99,4.05,3.96,4.01,196407,4.01,3.4030699236995234,3.184572300446062,0.2184976232534614,0.15744429330525522
VBIV,2021-06-08,3.62,3.65,3.57,3.65,196611,3.65,3.2927190007358007,3.118538084481747,0.1741809162540537,0.14218096081820364
VBIV,2021-06-07,3.26,3.32,3.26,3.2811,26103,3.2811,3.2277588190514006,3.0760211312402865,0.151737687811114,0.1341809719592411
VBIV,2021-06-04,3.35,3.36,3.35,3.3599,27365,3.3599,3.218060422515292,3.059614821739509,0.1584456007757828,0.1297917929962729
VBIV,2021-06-03,3.45,3.4642,3.44,3.45,55629,3.45,3.1922714084271635,3.03559200747867,0.1566794009484935,0.12262834105139539
VBIV,2021-06-02,3.35,3.35,3.33,3.34,6552,3.34,3.14541166450483,3.0024393680769634,0.1429722964278665,0.11411557607712086
VBIV,2021-06-01,3.25,3.2518,3.23,3.23,30380,3.23,3.110031967142072,2.9754345175231207,0.1345974496189512,0.10690139598943442
VBIV,2021-06-01,3.25,3.2518,3.23,3.23,30380,3.23,3.0882195975315394,2.9550692789249706,0.1331503186065687,0.0999773825820552
VBIV,2021-05-28,3.34,3.34,3.3,3.3,31068,3.3,3.062441342537274,2.9330748212389683,0.1293665212983055,0.0916841485759268
VBIV,2021-05-27,3.21,3.21,3.19,3.2009,27253,3.2009,3.0192488593622326,2.903720806938086,0.1155280524241466,0.08226355539533212
VBIV,2021-05-26,3.05,3.05,3.02,3.02,39828,3.02,2.9862213792462757,2.879946471493133,0.1062749077531424,0.07394743113812847
VBIV,2021-05-25,3.11,3.115,3.09,3.1,67906,3.1,2.9800798118365077,2.8687421892125835,0.1113376226239237,0.06586556198437488
VBIV,2021-05-24,3.21,3.25,3.21,3.21,42940,3.21,2.9582761412613268,2.85024156434959,0.1080345769117365,0.05449754682448753
VBIV,2021-05-21,3.22,3.24,3.21,3.24,59823,3.24,2.912508166945204,2.821460889497557,0.0910472774476467,0.04111328930267526
VBIV,2021-05-20,3.08,3.08,3.06,3.07,27249,3.07,2.8529641972988777,2.787977760657362,0.0649864366415156,0.028629792266432273
VBIV,2021-05-19,2.99,3.04,2.97,2.98,40987,2.98,2.8135031422623102,2.765415981509951,0.0480871607523591,0.01954063117266144
VBIV,2021-05-18,2.9708,2.99,2.96,2.98,65151,2.98,2.783230986310003,2.748249260030747,0.034981726279256,0.012403998777737001
VBIV,2021-05-17,2.8679,2.9,2.82,2.8389,58322,2.8389,2.747454802002731,2.7297092008332067,0.0177456011695245,0.006759566902357251
VBIV,2021-05-14,2.6846,2.74,2.68,2.71,40708,2.71,2.730828402366864,2.720973936899863,0.0098544654670011,0.0040130583355654365
VBIV,2021-05-13,2.86,2.89,2.84,2.87,53681,2.87,2.7346153846153847,2.721851851851852,0.0127635327635329,0.0025527065527064965
VBIV,2021-05-12,2.73,2.73,2.69,2.71,40572,2.71,2.71,2.71,0.0,0.0
